dedup_id,title,status,decision,decision_basis,candidate_topics,reason,module_decisions,module_exclusion_codes,screening_mode,title_only_decision,title_only_exclusion_code
D0000160,The phenomenology of posttraumatic stress disorders following a natural disaster.,complete,REVIEW,topic_unclear,,"Records firefighter PTSD following a natural disaster, but no specific hazard named.",{},{},title_abstract,,
D0000175,Injuries associated with downhill sledding,complete,REVIEW,topic_unclear,temperature,"Sledding injuries in cold winter conditions; temperature is contextual, not primary exposure.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0000195,Asymptomatic myocardial ischemia following cold provocation,complete,REVIEW,topic_unclear,temperature,"Laboratory cold pressor study in cardiac patients; not ambient temperature exposure, requires wrong_exposure review.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000196,Life events and psychiatric disorder: the role of a natural disaster.,complete,REVIEW,eligibility_unclear,wildfire,wildfire: REVIEW - Likely on-topic but design ambiguous; cross-sectional post-disaster assessment of exposed firefighters.,"{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
D0000207,Family functioning and overprotection following a natural disaster: The longitudinal effects of post-traumatic morbidity,complete,REVIEW,topic_unclear,,Unspecified natural disaster; mental health impacts on families; no specific hazard topic named.,{},{},title_abstract,,
D0000208,Life events and relapse in bipolar disorder: The impact of a catastrophic event,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Hurricane-relapse study; review language plus retrospective case-control requires clarification.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0000230,Distraction during flooding (exposure): concordance between results in animals and man.,complete,REVIEW,title_only_unclear,,Title ambiguous: 'flooding' may not be natural disaster; human relevance unclear.,{},{},title_only,REVIEW,NA
D0000231,Psychological response of firefighters to a chemical fire.,complete,REVIEW,topic_unclear,,Chemical fire exposure with psychological distress measures; no registered hazard topic identified.,{},{},title_abstract,,
D0000232,Exploring the impact of a natural disaster on the health and psychological well-being of older adults,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Hurricane Alicia exposure, psychological wellbeing outcome, but design unclear whether exposure contrast exists.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0000236,The phenomenon of famine.,complete,REVIEW,topic_unclear,,"Abstract describes famine, mentions natural disasters and poor weather generally but no specific hazard; includes depression and apathy symptoms.",{},{},title_abstract,,
D0000253,Seasonal hypomania in a patient with cold urticaria,complete,REVIEW,topic_unclear,temperature,Seasonal hypomania and cold urticaria suggest possible cold-temperature-related mental health effects.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000254,Psychological and physical morbidity in the aftermath of a cyclone,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Post-cyclone comparison of affected vs unaffected communities with repeated follow-up, but design unclear due to no pre-event baseline.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0000269,Mass psychogenic systemic illness in school children in relation to the Tokyo photochemical smog.,complete,REVIEW,topic_unclear,,Photochemical smog air pollution epidemic; no named registered hazard; mental health signal present.,{},{},title_abstract,,
D0000282,Treating a severely disturbed self-destructive adolescent with cold wet sheet packs,complete,REVIEW,topic_unclear,temperature,"Cold wet sheet packs are manufactured cold therapeutic exposure; self-destructive adolescent case, not an environmental hazard.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000300,Exercise-induced blood prolactin variations in trained adult males: a thermic stress more than an osmotic stress.,complete,REVIEW,topic_unclear,temperature,Exercise-induced heat stress study targeting core temperature in laboratory; candidate temperature exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000301,Posttraumatic morbidity of a disaster. A study of cases presenting for psychiatric treatment.,complete,REVIEW,topic_unclear,,Abstract references 'natural disaster' only; mental health focus but no specific hazard topic named.,{},{},title_abstract,,
D0000303,Evaluation of beta-adrenergic influences on cardiovascular and metabolic adjustments to physical and psychological stress,complete,REVIEW,topic_unclear,temperature,Cold pressor test present; no clear environmental temperature hazard.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000327,Regional cerebral blood flow (rCBF) in man during perception of radiant warmth and heat pain,complete,REVIEW,topic_unclear,temperature,Experimental heat pain study mentioning anxiety; candidate temperature via manufactured thermal exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000329,The seasonality of schizophrenic births in Alberta.,complete,REVIEW,topic_unclear,temperature,"Seasonal birth study in Alberta; temperature mentioned regarding winter, but topic ambiguous.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0000410,Prevalence of vasospastic ischaemia induced by the cold pressor test or hyperventilation in patients with severe angina.,complete,REVIEW,topic_unclear,temperature,Cardiac study uses cold pressor test as manufactured cold stress; not environmental temperature exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000414,Prevalence of headache among Nigerian university students,complete,REVIEW,topic_unclear,temperature,Headache prevalence study lists heat as a precipitating factor; possible but weak environmental heat relevance.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0000431,"Type A behavior, heart rate and pupillary response: Effects of cold pressor and ego threat",complete,REVIEW,topic_unclear,temperature,"Lab study of Type A/B responses to cold pressor and ego threat, with anxiety outcomes; temperature topic flagged for wrong-exposure review.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000447,Influence of triazolam on thermal heat balance in poor sleepers,complete,REVIEW,topic_unclear,temperature,Human climate-chamber drug study at constant 20°C; body temperature context likely wrong_exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000462,Psychotherapy with survivors of the Beverly Hills Supper Club fire.,complete,REVIEW,topic_unclear,,Psychotherapy after structural supper club fire; no natural hazard topic implicated.,{},{},title_abstract,,
D0000493,Prolactin response to the cold pressor test in patients with panic attacks,complete,REVIEW,topic_unclear,temperature,Cold pressor test as thermal challenge; not ambient temperature but manufactured thermal study.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000500,Autonomic reactivity in the premenstrual phase,complete,REVIEW,topic_unclear,,No environmental hazard named; study of menstrual cycle and stress reactivity.,{},{},title_abstract,,
D0000528,Accidental hypothermia treated with rapid rewarming by immersion.,complete,REVIEW,topic_unclear,temperature,"Clinical treatment of hypothermia, a cold-related condition; ambiguous if exposure is studied.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000555,[On vibration hazards of chipping-hammer operators in an iron foundry. Part 2. Results of the hygienic control].,complete,REVIEW,topic_unclear,temperature,Occupational vibration study with cold protective measures; no clear primary heat/cold exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000591,Canoeists' disorientation following cold immersion.,complete,REVIEW,topic_unclear,temperature,Canoeists' cold water immersion disorientation; suggests temperature/wrong_exposure and psychological distress.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000595,The effect of swimming on patients with ischemic heart disease,complete,REVIEW,topic_unclear,temperature,Cardiac rehab study uses different water temperatures; not true ambient but plausibly manufactured thermal exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000601,Cyclone '78 in Sri Lanka--the mental health trail.,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Longitudinal post-cyclone study without clear exposure contrast; repeated follow-ups lacking pre-event baseline.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0000611,A pilot study of some associations between behavioural stressors and physiological processes in healthy men.,complete,REVIEW,topic_unclear,temperature,Study examines physiological responses to heat as a stressor; no named hazard beyond temperature.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0000615,Circulatory effects of stress in essential hypertension.,complete,REVIEW,topic_unclear,temperature,"Cold pressor test is manufactured cold stress, not ambient temperature; no mental health outcomes.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000624,"Sensory information, fear level, and reactions to pain",complete,REVIEW,topic_unclear,temperature,"Cold pressor experiment on distress and fear; manufactured cold exposure, mental-health relevant.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000652,Psychotherapy with wives of sexual deviants.,complete,REVIEW,topic_unclear,,Record about wives of sexual deviants; no environmental hazard topic mentioned.,{},{},title_abstract,,
D0000704,"Type A behavior, self-involvement, and cardiovascular response",complete,REVIEW,topic_unclear,temperature,"Lab study using cold pressor stressor, no environmental hazard topic.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000722,Anxiety and plasma cortisol at the crest of the circadian cycle: Reappraisal of a classical hypothesis,complete,REVIEW,topic_unclear,,Phobia treatment study on anxiety and cortisol; no environmental hazard topic mentioned.,{},{},title_abstract,,
D0000725,Stress in fire fighters.,complete,REVIEW,title_only_unclear,,Title suggests possible occupational stress in firefighters; eligible hazard and design unclear.,{},{},title_only,REVIEW,NA
D0000726,Hypersensitivity pneumonitis and extrinsic asthma. An unusual association.,complete,REVIEW,topic_unclear,,Occupational farm dust exposure causing pneumonitis and asthma; no registered hazard topic.,{},{},title_abstract,,
D0000731,Feeling of improvement in flooding: some analogue data.,complete,REVIEW,title_only_unclear,,Title ambiguous; insufficient information to determine eligibility.,{},{},title_only,REVIEW,NA
D0000744,Some age-related effects of the 1974 Brisbane floods,complete,REVIEW,eligibility_unclear,flood,"flood: REVIEW - Flooded vs nonflooded area comparison with psychiatric symptoms; likely cross-sectional, design not clearly specified.","{""flood"":""REVIEW""}","{""flood"":""NA""}",title_abstract,,
D0000747,[Toxic rhabdomyolysis after alcohol and drug intoxications (author's transl)].,complete,REVIEW,topic_unclear,temperature,Rhabdomyolysis case mentions cold influence; no clear climate hazard focus.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000773,Neuropsychic factors in physical urticaria.,complete,REVIEW,topic_unclear,temperature,"Study of psychosomatic factors in physical urticaria, including cold urticaria, but no direct temperature exposure measurements.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000812,Loss of communality at Buffalo Creek,complete,REVIEW,eligibility_unclear,flood,flood: REVIEW - Focuses on loss of communality after Buffalo Creek flood; no measured mental-health outcome or design described.,"{""flood"":""REVIEW""}","{""flood"":""NA""}",title_abstract,,
D0000844,Biochemical responses to stress in the environment.,complete,REVIEW,title_only_unclear,,"Title suggests biochemical stress responses but unclear if human, hazard, or mental-health outcome.",{},{},title_only,REVIEW,NA
D0000874,NaCl-induzierter crassulaceen-Säurestoffwechsel bei der salzpflanze Mesembryanthemum crystallinum - Abhängigkeit des CO2-gaswechsels von der Tag/Nacht-temperatur und von der wasserversorgung der pflanzen,complete,REVIEW,topic_unclear,temperature|drought,"Plant physiology study on CAM induction; experimental temperatures and drought stress mentioned, no human or mental health relevance.","{""drought"":""EXCLUDE"",""temperature"":""EXCLUDE""}","{""drought"":""not_human_empirical"",""temperature"":""not_human_empirical""}",title_abstract,,
D0000916,Later responses of alcoholics to crisis.,complete,REVIEW,title_only_unclear,,Title ambiguous; no explicit eligible hazard or measured outcome.,{},{},title_only,REVIEW,NA
D0000922,Review of flooding procedures (implosion) in animals and man,complete,REVIEW,topic_unclear,,"Flooding here refers to psychological therapy, not environmental flood hazard.",{},{},title_abstract,,
D0000926,Drug induced heat stroke,complete,REVIEW,topic_unclear,temperature,Ambient heat exposure associated with drug-induced heat stroke in psychiatric patients; potential wrong exposure for temperature module.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000940,Prolonged flooding in cases with obsessive-compulsive neurosis,complete,REVIEW,topic_unclear,,Psychological flooding therapy for OCD; no environmental hazard topic.,{},{},title_abstract,,
D0000949,Phenocopies.,complete,REVIEW,title_only_unclear,,Title too vague to determine eligibility; no abstract available.,{},{},title_only,REVIEW,NA
D0000955,An arid place.,complete,REVIEW,title_only_unclear,,Title too ambiguous; no abstract available.,{},{},title_only,REVIEW,NA
D0000978,Flooding versus desensitization in the treatment of phobic patients: A crossover study,complete,REVIEW,topic_unclear,,"Record describes flooding psychotherapy for phobias, not environmental flood or climate hazard.",{},{},title_abstract,,
D0000991,"On the urinary output of vasopressin, epinephrine and norepinephrine during different stress situations",complete,REVIEW,topic_unclear,temperature,"Lab cold-stress study in healthy students; cold used as stressor, not environmental temperature.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001009,Autonomic response patterning of chronic schizophrenics,complete,REVIEW,topic_unclear,temperature,"Cold pressor test is a manufactured cold exposure; participants are schizophrenics, so topic ambiguous.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001041,Biologic responsiveness to environmental stimuli in schizophrenia.,complete,REVIEW,title_only_unclear,,No abstract available; title unclear for hazard/outcome eligibility.,{},{},title_only,REVIEW,NA
D0001044,Experimental pain.,complete,REVIEW,title_only_unclear,,Title too short to determine relevance; no abstract.,{},{},title_only,REVIEW,NA
D0001068,"Acclimatization, habituation, motivation, and cold exposure.",complete,REVIEW,title_only_unclear,,Title ambiguous; no abstract to confirm eligible outcome/design.,{},{},title_only,REVIEW,NA
D0001073,Some psychological aspects of isolated Antarctic living,complete,REVIEW,topic_unclear,temperature,Study of Antarctic living considers cold as contextual exposure but focuses on psychological effects; needs review.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001074,Personality problems in Antarctica.,complete,REVIEW,title_only_unclear,,Title ambiguous; possible mental health in cold environment but no design/exposure details.,{},{},title_only,REVIEW,NA
D0001082,Cold pressor test in functional psychiatric syndromes,complete,REVIEW,topic_unclear,temperature,Cold pressor test uses manufactured cold exposure; psychiatric comparison study.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001085,Psychological reactions in an emergency (flood).,complete,REVIEW,title_only_unclear,,"Title suggests flood exposure and psychological reactions but lacks detail; potential relevance, no clear exclusion.",{},{},title_only,REVIEW,NA
D0001107,Awareness of hypertension increases blood pressure and sympathetic responses to cold pressor test,complete,REVIEW,topic_unclear,temperature,"Controlled cold pressor test, not ambient hazard; mentions psychological stress from awareness.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001117,Caring for the caretakers in times of disaster. The Hurricane Hugo experience.,complete,REVIEW,title_only_unclear,,Title mentions Hurricane Hugo and caretakers; outcome and design unclear without abstract.,{},{},title_only,REVIEW,NA
D0001172,The relationship between cardiovascular responses in the laboratory and in the field,complete,REVIEW,topic_unclear,temperature,"Laboratory stress study using cold pressor; no environmental hazards, but mental health and manufactured thermal exposure flag.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001237,The British journal of not just alcohol and drugs.,complete,REVIEW,title_only_unclear,,Title does not indicate a relevant hazard-outcome study; insufficient information.,{},{},title_only,REVIEW,NA
D0001302,Pain perception in self-injurious patients with borderline personality disorder,complete,REVIEW,topic_unclear,temperature,Cold pressor test (manufactured cold) used to assess pain in borderline personality disorder; temperature topic routed for wrong_exposure review.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001310,Management of post-incident trauma: a fire service perspective.,complete,REVIEW,topic_unclear,,Post-incident trauma from fire service perspective; no specific natural hazard topic identified.,{},{},title_abstract,,
D0001311,Multiple diagnoses in posttraumatic stress disorder in the victims of a natural disaster.,complete,REVIEW,topic_unclear,,Generic natural disaster; no specific hazard identified; mental health study.,{},{},title_abstract,,
D0001315,Avoidance and intrusion in posttraumatic stress disorder.,complete,REVIEW,topic_unclear,,"Generic natural disaster only; no named hazard, PTSD in firefighters.",{},{},title_abstract,,
D0001319,Psychological responses of rescue workers: Fire fighters and trauma,complete,REVIEW,topic_unclear,,No named climate hazard; psychological responses of firefighters to rescue work.,{},{},title_abstract,,
D0001322,Psychological adaptation of nurses post-disaster,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Repeated post-hurricane follow-up with no pre-event baseline or exposure contrast.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0001336,Psychiatric morbidity and substance abuse among residents of a cold weather shelter.,complete,REVIEW,title_only_unclear,,Title mentions cold weather shelter and psychiatric morbidity; insufficient for clear exclusion.,{},{},title_only,REVIEW,NA
D0001338,"Alcohol and sauna bathing: effects on cardiac rhythm, blood pressure, and serum electrolyte and cortisol concentrations.",complete,REVIEW,topic_unclear,temperature,Sauna bathing is a manufactured thermal study; no natural disaster or mental health outcome.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001340,Stress test reactivity in panic disorder.,complete,REVIEW,topic_unclear,temperature,Study uses cold pressor (manufactured cold stressor) to assess stress reactivity; strong mental health signals.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001344,Mediterranean spotted fever in Marseille: Descriptive epidemiology and the influence of climatic factors,complete,REVIEW,topic_unclear,temperature,"Describes climate-related statistics for spotted fever; temperature and frost mentioned but context is infectious disease, not direct thermal health impact.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0001371,Does distraction reduce pain-produced distress among college students?,complete,REVIEW,topic_unclear,temperature,"Laboratory cold-pressor pain study with distress; manufactured thermal exposure, not environmental hazard.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001377,"Flood, sweat, and tears--trying to build 'emotional levees'.",complete,REVIEW,title_only_unclear,,Title mentions flood and emotional response but unclear if original empirical research with eligible outcome and design.,{},{},title_only,REVIEW,NA
D0001378,Age differences in the psychological consequences of Hurricane Hugo.,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Post-hurricane repeated survey of psychological distress, but pre-event baseline absent.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0001386,Time trends and seasonal variation in hospital admissions for childhood asthma in the Athens region of Greece: 1978-88,complete,REVIEW,topic_unclear,temperature,Asthma admissions vary seasonally with cold damp period; possible temperature influence.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0001404,Post-traumatic stress disorder in adolescents after a hurricane,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Single-wave post-disaster survey with exposure contrast; design not clearly eligible.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0001407,Cold urticaria and HIV infection.,complete,REVIEW,topic_unclear,temperature,Cold urticaria triggered by cold exposure in HIV patients; may be temperature-related.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0001430,Post-traumatic stress disorder and coping after a natural disaster,complete,REVIEW,eligibility_unclear,wildfire,wildfire: REVIEW - Longitudinal post-bushfire PTSD follow-up; no exposure contrast or pre-event baseline; coping focus.,"{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
D0001431,Structural adjustment: the wrong prescription for Africa?,complete,REVIEW,topic_unclear,drought,Drought is named as one of several factors in Africa's economic and social decline.,"{""drought"":""EXCLUDE""}","{""drought"":""non_original""}",title_abstract,,
D0001437,Attenuated cortisol response to biobehavioral stressors in sober alcoholics.,complete,REVIEW,topic_unclear,temperature,"Study uses cold pressor test, a manufactured cold exposure; focuses on cortisol stress response in alcoholics.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001442,The World Trade Center disaster. Healing the unseen wounds.,complete,REVIEW,topic_unclear,,No environmental hazard; bombing-related psychological trauma and coping.,{},{},title_abstract,,
D0001479,Transient impairment in P50 auditory sensory gating induced by a cold-pressor test.,complete,REVIEW,topic_unclear,temperature,Cold-pressor test is manufactured cold stress; mental health signal unclear.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001482,Does body temperature mediate anxiolytic effects of acute exercise?,complete,REVIEW,topic_unclear,temperature,Human experimental thermal water exposure and anxiety; not environmental temperature but likely wrong_exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001503,Etiological aspects of insulin-dependent diabetes mellitus: an epidemiological perspective.,complete,REVIEW,topic_unclear,temperature,Diabetes etiology review lists cold environment as a risk factor; no other hazard topics.,"{""temperature"":""EXCLUDE""}","{""temperature"":""non_original""}",title_abstract,,
D0001504,Hyperthermia and endorphins.,complete,REVIEW,topic_unclear,temperature,Study of hyperthermia via sauna thermal stress and endorphin response; route as manufactured thermal exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""non_original""}",title_abstract,,
D0001522,Physical symptoms in post-traumatic stress disorder,complete,REVIEW,eligibility_unclear,wildfire,wildfire: REVIEW - Repeated post-event follow-up of bushfire-exposed firefighters without pre-event baseline or exposure contrast.,"{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
D0001528,"A shooting incident in an elementary school: effects of worker stress on public safety, mental health, and medical personnel.",complete,REVIEW,topic_unclear,,Shooting incident; no environmental hazard topic; mental health stress signals present.,{},{},title_abstract,,
D0001533,Responses of state hospital patients to Hurricane Iniki.,complete,REVIEW,title_only_unclear,,"No abstract; title suggests hurricane exposure and hospital patient responses, but design/outcome unclear.",{},{},title_only,REVIEW,NA
D0001538,A sudden outbreak of illness suggestive of mass hysteria in schoolchildren.,complete,REVIEW,topic_unclear,,Mass hysteria in schoolchildren triggered by gaseous odor; no named hazard topic.,{},{},title_abstract,,
D0001539,Psychological distress of adolescents exposed to Hurricane Hugo,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Cross-sectional post-hurricane survey with exposure contrast; design eligibility ambiguous.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0001545,Intertask consistency of hemodynamic responses to laboratory stressors in a biracial sample of men and women.,complete,REVIEW,topic_unclear,temperature,"Cold pressor test is a lab stressor, not environmental temperature; likely wrong exposure.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001554,"Predictors of posttraumatic stress symptoms among survivors of the Oakland/Berkeley, Calif., Firestorm",complete,REVIEW,eligibility_unclear,wildfire,"wildfire: REVIEW - Longitudinal post-fire cohort, but no pre-event baseline; design requires review.","{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
D0001583,Perniosis in association with anorexia nervosa.,complete,REVIEW,topic_unclear,temperature,Case series links cold exposure to perniosis in anorexia patients; no direct environmental temperature data.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0001611,Left ventricular mass and cardiovascular reactivity in young men.,complete,REVIEW,topic_unclear,temperature,"Cold pressor test is manufactured thermal stress; study examines cardiac reactivity, not environmental exposure.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001615,Fire--'good servant--bad master'.,complete,REVIEW,title_only_unclear,,Title ambiguous: mentions fire but no clear study relevance.,{},{},title_only,REVIEW,NA
D0001622,Psychosocial correlates of fire disaster among children and adolescents,complete,REVIEW,eligibility_unclear,wildfire,"wildfire: REVIEW - Wildfire study of psychosocial maladjustment in children, but outcome not clearly specified.","{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
D0001632,A case of life-threatening lactic acidosis after smoke inhalation - interference between beta-adrenergic agents and ethanol?,complete,REVIEW,topic_unclear,wildfire,"Case report of smoke inhalation; fire type ambiguous, flagged for topic review.","{""wildfire"":""EXCLUDE""}","{""wildfire"":""wrong_outcome""}",title_abstract,,
D0001643,"Prothrombotic effects of environmental stress: changes in platelet function, hematocrit, and total plasma protein.",complete,REVIEW,topic_unclear,temperature,Cold pressor as manufactured thermal stressor; not ambient environmental temperature exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0001665,Psychological Effects of Hurricane Andrew on an Elementary School Population,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Longitudinal post-hurricane comparison of high/low impact areas lacks pre-event baseline for PTS.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0001666,Long‐Term Effects of Hurricane Andrew: Revisiting Mental Health Indicators,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Repeated post-event surveys without pre-event baseline; evaluates outreach team impact, not hurricane exposure contrast.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0001673,Cell mediated immunity in Antarctic wintering personnel; 1984-1992.,complete,REVIEW,topic_unclear,temperature,"Antarctic wintering personnel studied for immune responses; cold environment plausible but not central, plus anxiety signal.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
