dedup_id,title,status,decision,decision_basis,candidate_topics,reason,module_decisions,module_exclusion_codes,screening_mode,title_only_decision,title_only_exclusion_code
D0000812,Loss of communality at Buffalo Creek,complete,REVIEW,eligibility_unclear,flood,flood: REVIEW - Flood-related abstract describes psychological effects but no explicit measurement or design; ambiguous.,"{""flood"":""REVIEW""}","{""flood"":""NA""}",title_abstract,,
D0000844,Biochemical responses to stress in the environment.,complete,REVIEW,title_only_unclear,,Title unclear; no abstract; insufficient info to determine eligibility.,{},{},title_only,REVIEW,NA
D0000916,Later responses of alcoholics to crisis.,complete,REVIEW,title_only_unclear,,"Title suggests a study of alcoholics' responses to crisis, but hazard and outcome are unclear.",{},{},title_only,REVIEW,NA
D0000949,Phenocopies.,complete,REVIEW,title_only_unclear,,"Title alone is uninformative; no clear hazard, outcome, or design.",{},{},title_only,REVIEW,NA
D0000955,An arid place.,complete,REVIEW,title_only_unclear,,"Title is vague; no eligible exposure, outcome, or design can be determined.",{},{},title_only,REVIEW,NA
D0001041,Biologic responsiveness to environmental stimuli in schizophrenia.,complete,REVIEW,title_only_unclear,,Title unclear; no abstract available.,{},{},title_only,REVIEW,NA
D0001074,Personality problems in Antarctica.,complete,REVIEW,title_only_unclear,,Title suggests possible mental health issues in Antarctica but does not clearly indicate an eligible climate hazard or empirical design.,{},{},title_only,REVIEW,NA
D0001085,Psychological reactions in an emergency (flood).,complete,REVIEW,title_only_unclear,,"Title indicates flood exposure and psychological reactions, but lacks abstract and design details.",{},{},title_only,REVIEW,NA
D0001117,Caring for the caretakers in times of disaster. The Hurricane Hugo experience.,complete,REVIEW,title_only_unclear,,Title suggests disaster-related mental health/caregiving but lacks clear exposure/outcome/design detail.,{},{},title_only,REVIEW,NA
D0001311,Multiple diagnoses in posttraumatic stress disorder in the victims of a natural disaster.,complete,REVIEW,topic_unclear,,PTSD and comorbidity after a natural disaster; disaster type is not identified.,{},{},title_abstract,,
D0001315,Avoidance and intrusion in posttraumatic stress disorder.,complete,REVIEW,topic_unclear,,PTSD after a natural disaster; disaster type is not identified.,{},{},title_abstract,,
D0001322,Psychological adaptation of nurses post-disaster,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Repeated post-event follow-ups without pre-event baseline; design ambiguity warrants review.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0001336,Psychiatric morbidity and substance abuse among residents of a cold weather shelter.,complete,REVIEW,title_only_unclear,,Title suggests study of psychiatric morbidity in cold weather shelter residents; exposure/design unclear.,{},{},title_only,REVIEW,NA
D0001377,"Flood, sweat, and tears--trying to build 'emotional levees'.",complete,REVIEW,title_only_unclear,,Title hints at flood and emotional wellbeing but no abstract; insufficient information.,{},{},title_only,REVIEW,NA
D0001378,Age differences in the psychological consequences of Hurricane Hugo.,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Longitudinal post-hurricane study with repeated post-event follow-ups but no pre-event baseline.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0001533,Responses of state hospital patients to Hurricane Iniki.,complete,REVIEW,title_only_unclear,,Title suggests hurricane exposure with possible mental-health responses; insufficient information without abstract.,{},{},title_only,REVIEW,NA
D0001615,Fire--'good servant--bad master'.,complete,REVIEW,title_only_unclear,,Title is metaphorical; unclear relevance to climate hazard and mental health.,{},{},title_only,REVIEW,NA
D0001622,Psychosocial correlates of fire disaster among children and adolescents,complete,REVIEW,eligibility_unclear,wildfire,wildfire: REVIEW - Cross-sectional post-disaster comparison with exposed vs unexposed group; design eligibility unclear.,"{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
D0001731,Environmental exposures: psychological stress.,complete,REVIEW,title_only_unclear,,"Title-only, ambiguous environmental exposure and psychological stress outcome; no design info.",{},{},title_only,REVIEW,NA
D0001776,Received and perceived social support in times of stress: a test of the social support deterioration deterrence model.,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Hurricane victims with distress outcome; repeated post-event follow-ups lack pre-event baseline.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0001787,Symptoms of posttraumatic stress in children after Hurricane Andrew: A prospective study,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Prospective study of PTSD in children after Hurricane Andrew with repeated post-event measures but no pre-disaster baseline.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0001865,Impact of a natural disaster on preschool children: Adjustment 14 months after a hurricane,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Post-hurricane exposed vs control children; design unclear for estimating hazard effect.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0002204,The spectrum of illness during heat waves.,complete,REVIEW,title_only_unclear,,Title suggests heat waves and illness; potential relevance unclear without abstract.,{},{},title_only,REVIEW,NA
D0002209,Effects of negative life experiences on phobia onset,complete,REVIEW,topic_unclear,flood|wildfire,Phobia onset after fire/flood or other natural disaster; specific disaster type not identified.,"{""flood"":""REVIEW"",""wildfire"":""EXCLUDE""}","{""flood"":""NA"",""wildfire"":""wrong_exposure""}",title_abstract,,
D0002295,"Stability and change in stress, resources, and psychological distress following natural disaster: Findings from Hurricane Andrew",complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Post-hurricane longitudinal cohort without pre-event baseline; design unclear for causal inference.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0002300,Out in the cold.,complete,REVIEW,title_only_unclear,,"Title alone gives no clear information on exposure, outcome, or design.",{},{},title_only,REVIEW,NA
D0002348,'Poor Tom' was a-cold but not schizophrenic.,complete,REVIEW,title_only_unclear,,"Title-only record, ambiguous relevance; no abstract available.",{},{},title_only,REVIEW,NA
D0002407,Psychosocial resource loss as a mediator of the effects of flood exposure on psychological distress and physical symptoms,complete,REVIEW,eligibility_unclear,flood,flood: REVIEW - Longitudinal post-flood design without pre-event baseline; design needs human review.,"{""flood"":""REVIEW""}","{""flood"":""NA""}",title_abstract,,
D0002646,"Depression: common, but not a cold.",complete,REVIEW,title_only_unclear,,Title mentions depression but no exposure or design details; insufficient information.,{},{},title_only,REVIEW,NA
D0002769,Coping self-efficacy perceptions as a mediator between acute stress response and long-term distress following natural disasters,complete,REVIEW,topic_unclear,,Distress after natural disasters; disaster types are not identified.,{},{},title_abstract,,
D0002965,Fire-related post-traumatic stress disorder: brain 1H-MR spectroscopic findings.,complete,REVIEW,topic_unclear,,Fire-related PTSD; type of fire exposure is not specified.,{},{},title_abstract,,
D0003100,The Effect of a Disastrous Flood on the Quality of Life in Dongting Lake Area in China,complete,REVIEW,eligibility_unclear,flood,"flood: REVIEW - Flood exposure clear; outcome is generic quality of life, unclear if mental-health-specific.","{""flood"":""REVIEW""}","{""flood"":""NA""}",title_abstract,,
D0003161,Postdisaster PTSD over four waves of a panel study of Mexico's 1999 flood,complete,REVIEW,eligibility_unclear,flood,flood: REVIEW - Panel study after flood with repeated PTSD/MDD measures but no pre-event baseline.,"{""flood"":""REVIEW""}","{""flood"":""NA""}",title_abstract,,
D0003280,More than a passing interest.,complete,REVIEW,title_only_unclear,,"No abstract; title ambiguous with no clear exposure, outcome, or design.",{},{},title_only,REVIEW,NA
D0003355,[Health survey among flood victims in the Somme area].,complete,REVIEW,title_only_unclear,,Title suggests flood victims health survey; mental health outcome unclear.,{},{},title_only,REVIEW,NA
D0003377,Gray matter density reduction in the insula in fire survivors with posttraumatic stress disorder: A voxel-based morphometric study,complete,REVIEW,topic_unclear,,PTSD after a fire disaster; fire type (wildfire vs structural) is not identified.,{},{},title_abstract,,
D0003394,The Impact of Flooding on the Mental Health of Affected People in South Korea,complete,REVIEW,eligibility_unclear,flood,flood: REVIEW - Flood exposure and mental health outcomes present; design unclear (exposed vs non-exposed group).,"{""flood"":""REVIEW""}","{""flood"":""NA""}",title_abstract,,
D0003432,Mental health research emerges from hurricane ruin.,complete,REVIEW,title_only_unclear,,Title suggests hurricane-related mental health research but lacks clarity on original empirical evidence or design.,{},{},title_only,REVIEW,NA
D0003449,Hurricane Katrina. Aftershocks.,complete,REVIEW,title_only_unclear,,Title suggests hurricane-related content but no abstract; outcome and design unclear.,{},{},title_only,REVIEW,NA
D0003466,Hurricane Katrina: left behind.,complete,REVIEW,title_only_unclear,,"Title suggests Hurricane Katrina but outcome, design, and empirical basis are unclear.",{},{},title_only,REVIEW,NA
D0003567,Global health impacts of floods: epidemiologic evidence.,complete,REVIEW,title_only_unclear,,Title is broad and ambiguous; no abstract to assess eligibility.,{},{},title_only,REVIEW,NA
D0003747,Mental health and psychosocial aspects of disaster preparedness in Bangladesh,complete,REVIEW,topic_unclear,,"Psychosocial consequences of disaster; specific hazard is tornado, not a registered topic.",{},{},title_abstract,,
D0003763,Posttraumatic stress disorder after the hurricanes.,complete,REVIEW,title_only_unclear,,Title suggests hurricane exposure and PTSD outcome but no abstract to determine original design.,{},{},title_only,REVIEW,NA
D0003793,Psychiatric effects of heat waves.,complete,REVIEW,title_only_unclear,,"Title suggests heat wave and psychiatric effects, but no abstract; eligibility unclear.",{},{},title_only,REVIEW,NA
D0003841,Heatwaves and hospital staff: Highest level was not reached [8],complete,REVIEW,title_only_unclear,,Title mentions heatwaves and hospital staff but no eligible outcome or design clear; no abstract.,{},{},title_only,REVIEW,NA
D0003852,Flooding: calming the storm within.,complete,REVIEW,title_only_unclear,,"Title ambiguous; may refer to flood exposure and psychological impact, but no abstract to confirm.",{},{},title_only,REVIEW,NA
D0003865,Crisis not over for hurricane victims.,complete,REVIEW,title_only_unclear,,Title mentions hurricane victims but no abstract; unclear outcome and design.,{},{},title_only,REVIEW,NA
D0003925,Challenges in meeting immediate emotional needs: short-term impact of a major disaster on children's mental health: building resiliency in the aftermath of Hurricane Katrina.,complete,REVIEW,title_only_unclear,,Title suggests Hurricane Katrina impact on children's mental health but lacks abstract to confirm eligibility.,{},{},title_only,REVIEW,NA
D0003935,"Disaster and Subsequent Healthcare Utilization: A Longitudinal Study Among Victims, Their Family Members, and Control Subjects",complete,REVIEW,topic_unclear,,Catastrophic fire disaster and subsequent mental healthcare utilization; fire type is unspecified.,{},{},title_abstract,,
D0004039,A smouldering epidemic.,complete,REVIEW,title_only_unclear,,"Title is vague; no clear hazard, outcome, or design information available.",{},{},title_only,REVIEW,NA
D0004265,"The relationship between quality of life and posttraumatic stress disorder or major depression for firefighters in Kaohsiung, Taiwan",complete,REVIEW,topic_unclear,,Firefighter PTSD/depression associated with emotional shock from disasters; disaster type is unidentified.,{},{},title_abstract,,
D0004537,Variant inRGS2 moderates posttraumatic stress symptoms following potentially traumatic event exposure,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Post-hurricane PTSD gene-environment study; design ambiguous.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0004616,Mental health and the psychosocial consequences of natural disasters in Asia,complete,REVIEW,topic_unclear,,Natural disasters in Asia with PTSD; tsunami mentioned but hazard not covered by registered topics.,{},{},title_abstract,,
D0004751,China's children of smoke.,complete,REVIEW,title_only_unclear,,Title unclear; possible smoke exposure but no clear outcome or design.,{},{},title_only,REVIEW,NA
D0004768,A test of the Family Stress Model on toddler-aged children's adjustment among Hurricane Katrina impacted and nonimpacted low-income families,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Hurricane exposure compared pre/post; cross-sectional comparative design unclear for hazard effect.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0004832,Prevalence and predictors of mental health distress post-katrina: Findings from the gulf coast child and family health study,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Longitudinal cohort of hurricane survivors with repeated post-event waves, no pre-event baseline/exposure contrast; design ambiguous.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0004956,Traumatic reactions in firefighters after wildfires in Greece.,complete,REVIEW,title_only_unclear,,Title suggests human study of traumatic reactions to wildfire; design not specified.,{},{},title_only,REVIEW,NA
D0004993,Trends in mental illness and suicidality after Hurricane Katrina,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Two-wave post-hurricane survey without pre-event baseline; design not clearly eligible.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0005061,"Climate change, direct heat exposure, health and well-being in low and middle-income countries.",complete,REVIEW,title_only_unclear,,"Title suggests potential heat exposure and wellbeing study, but insufficient information for eligibility.",{},{},title_only,REVIEW,NA
D0005072,Hurricane Katrina and perinatal health,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Review with some original data; design unclear for hazard-outcome effect.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0005329,Fire-related cognitions moderate the impact of risk factors on adjustment following wildfire disaster,complete,REVIEW,eligibility_unclear,wildfire,wildfire: REVIEW - Post-disaster study of cognitions and mental health; design ambiguous without explicit baseline or temporal contrast.,"{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
D0005438,Looking for resilience: Understanding the longitudinal trajectories of responses to stress,complete,REVIEW,eligibility_unclear,flood,flood: REVIEW - Longitudinal trajectories after floods; lacks clear pre-event baseline or unexposed comparison.,"{""flood"":""REVIEW""}","{""flood"":""NA""}",title_abstract,,
D0005443,Physical and mental health status of hurricane Katrina evacuees in Houston in 2005 and 2006,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Repeated post-evacuation surveys of Katrina evacuees; no pre-event baseline or hazard contrast.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0005505,After the fires: looking to the future using the lessons from the past.,complete,REVIEW,title_only_unclear,,Title suggests wildfire topic but lacks details on empirical human mental-health outcome or design.,{},{},title_only,REVIEW,NA
D0005572,Factor structure of the Impact of Event Scale-Revised in two different peruvian samples,complete,REVIEW,topic_unclear,,PTSD in survivors of a fire; fire type (wildfire vs structural) is not identified.,{},{},title_abstract,,
D0005618,"Hurricanes, stress, and mindfulness.",complete,REVIEW,title_only_unclear,,"No abstract; title suggests hurricane exposure and stress outcome, but design and empirical status are unclear.",{},{},title_only,REVIEW,NA
D0005653,Non-heat related impacts of climate change on working populations.,complete,REVIEW,topic_unclear,,Extreme weather events and related mental stress on working populations; specific disaster type unresolved.,{},{},title_abstract,,
D0005758,"Hurricane-related exposure experiences and stressors, other life events, and social support: Concurrent and prospective impact on children's persistent posttraumatic stress symptoms",complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Two-wave post-disaster design without pre-event baseline; needs human review for hazard-outcome contrast.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0005767,Predicting posttraumatic stress symptoms in children following Hurricane Katrina: A prospective analysis of the effect of parental distress and parenting practices,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Longitudinal post-hurricane study with repeated post-event follow-ups but no pre-event baseline.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0005776,"Promoting recovery and providing trauma treatment for students and their families after Hurricane Katrina: St. Bernard Family Resiliency Project, Louisiana State University Health Sciences Center, Department of Psychiatry, New Orleans, Louisiana.",complete,REVIEW,title_only_unclear,,"Title describes a trauma treatment project after Hurricane Katrina; no abstract available, eligibility ambiguous.",{},{},title_only,REVIEW,NA
D0005890,Children of Katrina: Lessons learned about postdisaster symptoms and recovery patterns,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Post-Katrina longitudinal assessment without pre-event baseline or clear exposure contrast.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0005891,"Sex Differences in salivary cortisol, alpha-amylase, and psychological functioning following Hurricane Katrina",complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Single-wave post-disaster comparison with control group; design eligibility unclear.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0006004,"The association between overall health, psychological distress, and occupational heat stress among a large national cohort of 40,913 Thai workers.",complete,REVIEW,eligibility_unclear,temperature,"temperature: REVIEW - Occupational heat stress and psychological distress; cohort label but cross-sectional analysis, design unclear.","{""temperature"":""REVIEW""}","{""temperature"":""NA""}",title_abstract,,
D0006226,NPY moderates the relation between hurricane exposure and generalized anxiety disorder in an epidemiologic sample of hurricane-exposed adults,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Hurricane exposure and GAD diagnosis; design unclear, possibly cross-sectional without clear exposure contrast.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0006230,Women's and children's exposure to mass disaster and terrorist attacks,complete,REVIEW,topic_unclear,,Exposure to mass disasters and terrorist attacks; disaster type not specified.,{},{},title_abstract,,
D0006247,"Post traumatic stress, context, and the lingering effects of the Hurricane Katrina disaster among ethnic minority youth",complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Repeated post-event PTSD measures after hurricane, no pre-event baseline or exposure contrast.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0006262,The impact of child-related stressors on the psychological functioning of lower-income mothers after Hurricane Katrina,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Hurricane exposure and mental health outcomes present, but design for estimating hazard effect is unclear.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0006300,Weather to evacuate?,complete,REVIEW,title_only_unclear,,"No abstract; title ambiguous about hazard, outcome, and design.",{},{},title_only,REVIEW,NA
D0006366,Climate change and health effects in Northwest Alaska.,complete,REVIEW,topic_unclear,,Climate change health effects including mental stress; specific climate hazard type not identified.,{},{},title_abstract,,
D0006434,Reexamining the role of the traumatic stressor and the trajectory of posttraumatic distress in the wake of disaster.,complete,REVIEW,title_only_unclear,,"Title suggests disaster-related PTSD trajectory study; no abstract, insufficient info.",{},{},title_only,REVIEW,NA
D0006457,Surveying the ashes: experience from the 2007 Peloponnese wildfires six months after the disaster.,complete,REVIEW,eligibility_unclear,wildfire,wildfire: REVIEW - Post-disaster cross-sectional comparison of fire vs non-fire areas; design eligibility ambiguous.,"{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
D0006474,Hurricane Katrina's first responders: The struggle to protect and serve in the aftermath of the disaster,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Longitudinal post-disaster study of first responders' PTSD/depression after Hurricane Katrina, but lacks pre-event baseline or exposure contrast.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0006517,Disaster care: Children of Hurricane Katrina,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Mental health effects after Hurricane Katrina in children, but design and outcome specifics are unclear.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0006689,Global health and climate change: moving from denial and catastrophic fatalism to positive action.,complete,REVIEW,topic_unclear,temperature,Identifies heat stress but also references unspecified extreme weather events; stress and depression are mentioned as co-benefits.,"{""temperature"":""EXCLUDE""}","{""temperature"":""non_original""}",title_abstract,,
D0006701,Farming fit? Dispelling the Australian agrarian myth.,complete,REVIEW,topic_unclear,,Climate variability proposed as a stressor for farmers' distress; specific hazard type unresolved.,{},{},title_abstract,,
D0006807,Natural disaster and risk of psychiatric disorders in Puerto Rican children,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Post-hurricane longitudinal study with exposed vs non-exposed comparison; no pre-event baseline, so design ambiguous.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0006843,After the fire: The mental health consequences of fire disasters,complete,REVIEW,topic_unclear,,"Fire disasters may include wildfires, but the specific fire type is not reported.",{},{},title_abstract,,
D0006884,Risk factors for suicide in Japan: A model of predicting suicide in 2008 by risk factors of 2007,complete,REVIEW,eligibility_unclear,temperature,"temperature: REVIEW - Longitudinal prediction of suicide by annual mean temperature, design details unclear.","{""temperature"":""REVIEW""}","{""temperature"":""NA""}",title_abstract,,
D0006910,Posttraumatic stress disorder symptom trajectories in Hurricane Katrina affected youth,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Repeated post-event PTSD trajectories without pre-event baseline; exposure contrast unclear.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0006947,The storm and the aftermath.,complete,REVIEW,title_only_unclear,,Title is vague but may refer to a storm and aftermath; no clear exclusion.,{},{},title_only,REVIEW,NA
D0006961,Impact of coping styles on post-traumatic stress disorder and depressive symptoms among pregnant women exposed to Hurricane Katrina.,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Hurricane Katrina exposure; PTSD/depression outcomes; design not clearly stated.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0007047,Empirical evidence suggests adverse climate events have not affected Australian women's health and well-being,complete,REVIEW,eligibility_unclear,drought|flood|wildfire,"drought: REVIEW - Exposure is mixed drought/flood/fire via EC declaration; drought not isolated. | flood: EXCLUDE - Exposure is combined drought/flood/fire EC declaration, not flood-specific; cross-sectional design. | wildfire: EXCLUDE - Exposure is composite drought/flood/fire not specifically wildfire; cross-sectional design.","{""drought"":""REVIEW"",""flood"":""EXCLUDE"",""wildfire"":""EXCLUDE""}","{""drought"":""NA"",""flood"":""wrong_exposure"",""wildfire"":""wrong_exposure""}",title_abstract,,
D0007087,Children's symptoms of posttraumatic stress and depression after a natural disaster: Comorbidity and risk factors,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Post-hurricane repeated measures without pre-disaster baseline or exposure contrast.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0007148,Post- and peritraumatic stress in disaster survivors: An explorative study about the influence of individual and event characteristics across different types of disasters,complete,REVIEW,topic_unclear,flood,Study includes flood survivors and an unspecified fire disaster; fire may be wildfire but is not specified.,"{""flood"":""EXCLUDE""}","{""flood"":""wrong_exposure""}",title_abstract,,
D0007223,Resilience in the face of disaster: Prevalence and longitudinal course of mental disorders following Hurricane Ike,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Longitudinal post-hurricane prevalence study without pre-event baseline or exposure contrast.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0007349,Possible effects of changes in the meteorological state over semi-arid areas on the general well-being of weather-sensitive patients,complete,REVIEW,eligibility_unclear,temperature,"temperature: REVIEW - Studies temperature among weather variables, but composite outcome and design are ambiguous.","{""temperature"":""REVIEW""}","{""temperature"":""NA""}",title_abstract,,
D0007402,Anxiety in predicting suicide-related symptom of typhoon disaster victims: A one-year follow-up study in Southern Taiwan,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Two-wave post-typhoon follow-up without pre-event baseline or exposure contrast; design unclear.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0007461,Grief and trauma intervention for children after disaster: Exploring coping skills versus trauma narration,complete,REVIEW,topic_unclear,,Children after a disaster with trauma; disaster type is not identified.,{},{},title_abstract,,
D0007500,Cultural mechanisms in the exchange of social support among Puerto Ricans after a natural disaster.,complete,REVIEW,topic_unclear,,Unspecified natural disaster; disaster type not identified.,{},{},title_abstract,,
D0007544,Children’s postdisaster trajectories of PTS symptoms: Predicting chronic distress,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Longitudinal post-disaster study without pre-event baseline; trajectory analysis of hurricane exposure effects.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0007562,The association of disaster-related experiences and self-reported recollections of national trauma with posttraumatic stress disorder symptoms following Hurricane Sandy.,complete,REVIEW,title_only_unclear,,Title suggests hurricane exposure and PTSD but design unclear; needs abstract/full text.,{},{},title_only,REVIEW,NA
D0007672,"Diurnal temperature range and daily emergency room admissions among the elderly in Beijing, China.",complete,REVIEW,title_only_unclear,,"Title suggests temperature exposure and ER admissions, but outcome may not be mental-health-specific; need abstract.",{},{},title_only,REVIEW,NA
D0007780,No phoenix will arise from the ashes.,complete,REVIEW,title_only_unclear,,Title is metaphorical and lacks clear topic; eligibility cannot be judged.,{},{},title_only,REVIEW,NA
D0007807,Correlates of persisting posttraumatic symptoms in children and adolescents 18 months after a cyclone disaster,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Repeated post-event follow-ups after cyclone without pre-event baseline; design needs full-text review.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
