source_row,dedup_id,title,year,journal,candidate_topics,strict_decision,primary_topic,exposure_measurement,design_class,counterfactual_status,effect_extractability,outcome_status,primary_reason_code,confidence,reason,full_text_checks,overlap_flag,screener_model,criteria_version
24,D0001807,"Disaster related stresses, depressive signs and symptoms, and suicidal ideation among a multi-racial/ethnic sample of adolescents: A longitudinal analysis",1996,Child Psychology & Psychiatry & Allied Disciplines,cyclone,FULLTEXT_REVIEW,cyclone,unclear,longitudinal_with_prebaseline,yes,unclear,eligible,unclear_exposure_measurement,medium,"The longitudinal analysis includes pre-hurricane depression and suicidal ideation and models post-hurricane ideation, but the hurricane-stress measure and effect uncertainty are not described.",Verify whether hurricane exposure was externally linked rather than participant report alone. | Extract the hurricane-stress effect on suicidal ideation with uncertainty.,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
25,D0002034,Children's predisaster functioning as a predictor of posttraumatic stress following Hurricane Andrew.,1998,Journal of consulting and clinical psychology,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,longitudinal_with_prebaseline,yes,unclear,eligible,self_report_exposure_only,high,"Although anxiety was measured before Hurricane Andrew, the hazard contrast is children's self-reported hurricane-related experiences, with no external exposure linkage described.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
26,D0002149,Suicide after natural disasters,1998,New England Journal of Medicine,flood|cyclone,META_ELIGIBLE,multiple,objective_or_verifiable,quasi_experimental,yes,reported_with_uncertainty,eligible,eligible,high,"Officially declared disasters define exposure; county suicide rates over 36 pre- and 48 post-event months are benchmarked against national rates, with flood- and hurricane-specific percentage changes and P values.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
27,D0002175,Post-disaster service provision following proactive identification of children with emotional distress and depression,1999,Australian and New Zealand Journal of Psychiatry,wildfire,NARRATIVE_ONLY,wildfire,self_report_only,cross_sectional,no,unclear,eligible,cross_sectional,high,"Children were screened once six months after the bushfire; the paper reports prevalence and associations with self-reported traumatic experiences, without a pre-event outcome.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
28,D0002368,Natural disaster and depression: A prospective investigation of reactions to the 1993 Midwest floods,2000,American Journal of Community Psychology,flood,FULLTEXT_REVIEW,flood,objective_or_verifiable,longitudinal_with_prebaseline,yes,unclear,eligible,unclear_effect_extractability,high,"The statewide sample was assessed before and after the 1993 floods with control-group comparisons, but the abstract describes only small rises and does not report an effect estimate with uncertainty.",Extract flood effects on depressive symptoms and diagnoses with uncertainty and exposure contrast.,none_identified,gpt-5.6-sol,strict-inc-v1.0
29,D0002593,Posttraumatic stress and depressive reactions among Nicaraguan adolescents after Hurricane Mitch,2001,American Journal of Psychiatry,cyclone,NARRATIVE_ONLY,cyclone,unclear,cross_sectional,no,unclear,eligible,cross_sectional,high,Adolescents were evaluated once six months after Hurricane Mitch across cities and by reported experiences; the post-event exposure gradient lacks a pre-event outcome or credible temporal counterfactual.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
30,D0002661,Childhood posttraumatic stress disorder and efforts to cope after Hurricane Floyd,2002,Behavioral Medicine,cyclone|flood,NARRATIVE_ONLY,cyclone,self_report_only,cross_sectional,no,unclear,eligible,cross_sectional,high,"Children were assessed once six months after Hurricane Floyd, and the exposure contrast was a self-reported flooded home without a pre-event PTSD measure.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
31,D0002777,Immune function and affective states following a natural disaster.,2002,Psychological reports,cyclone,NARRATIVE_ONLY,cyclone,unclear,cross_sectional,no,unclear,eligible,cross_sectional,high,"Students were assessed after Hurricane Andrew and compared by neighborhood damage in a single post-event analysis, with no pre-event affect outcome.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
32,D0002896,Assessment of exposure to a flood disaster in a mental-health study,2003,Journal of Exposure Analysis and Environmental Epidemiology,flood,NARRATIVE_ONLY,flood,objective_or_verifiable,cross_sectional,no,unclear,eligible,cross_sectional,high,"The study is explicitly cross-sectional five years after the flood; cumulative reported stressors were map-validated, but no pre-event outcome or temporal counterfactual exists.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
33,D0003060,Youth suicide and hurricane Andrew,2003,Journal of the American Academy of Child & Adolescent Psychiatry,cyclone,FULLTEXT_REVIEW,cyclone,unclear,unclear,unclear,unclear,eligible,unclear_design,low,"The abstract only says youth suicides were examined before and after Hurricane Andrew and by proximity; it omits exposure source, analytic design, estimates, and uncertainty.",Verify objective proximity assignment and a credible temporal or quasi-experimental comparison. | Extract the hurricane effect on youth suicide with uncertainty.,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
34,D0003115,"The Course of PTSD, Major Depression, Substance Abuse, and Somatization After a Natural Disaster",2004,Journal of Nervous and Mental Disease,flood,NARRATIVE_ONLY,flood,objective_or_verifiable,post_event_only,no,not_extractable,eligible,no_pre_event_baseline,high,Survivors were diagnostically assessed at four and 16 months postflood; retrospectively classified predisaster disorders do not supply a prospectively measured pre-event outcome.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
35,D0003383,Psychological and psychopathological reactions in Honduras following Hurricane Mitch: implications for service planning.,2005,Revista panamericana de salud publica = Pan American journal of public health,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,cross_sectional,no,unclear,eligible,cross_sectional,high,Respondents were assessed once two months after Hurricane Mitch; high/low area impact and reported traumatic events form only a post-event exposure gradient.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
36,D0003415,Regional impact of Hurricane Isabel on emergency departments in Coastal Southeastern Virginia,2005,Academic Emergency Medicine,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,unclear,unclear,unclear,eligible,unclear_design,medium,"Administrative ED visits after Hurricane Isabel are compared with a six-month pre-landfall average, but no modeled counterfactual or uncertainty is reported for psychiatric visits.",Determine whether the daily data support a credible interrupted time-series analysis. | Extract the psychiatric-visit effect and uncertainty.,none_identified,gpt-5.6-sol,strict-inc-v1.0
37,D0003421,Use of mental health services after Hurricane Floyd in North Carolina,2005,Psychiatric Services,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,quasi_experimental,yes,unclear,eligible,unclear_effect_extractability,high,"The study explicitly uses difference-in-differences with severely affected and unaffected counties, but the abstract reports significance without effect magnitudes or uncertainty.",Extract each hurricane effect on eligible mental-health service use with uncertainty.,none_identified,gpt-5.6-sol,strict-inc-v1.0
38,D0003439,Associations of pre-trauma attributes and trauma exposure with screening positive for PTSD: Analysis of a community-based study of 2085 young adults,2006,Psychological Medicine,wildfire,NARRATIVE_ONLY,wildfire,self_report_only,longitudinal_with_prebaseline,yes,unclear,eligible,self_report_exposure_only,high,"Pre-fire mental health was available, but the hazard contrast consists of retrospectively reported fire experiences, threat, evacuation, and distress without external exposure linkage.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
39,D0003445,"Inter-annual rainfall variations and suicide in New South Wales, Australia, 1964-2001",2006,International Journal of Biometeorology,drought,FULLTEXT_REVIEW,drought,unclear,time_series,yes,unclear,eligible,unclear_effect_extractability,medium,"Annual precipitation variation is related to suicide over decades and a 300-mm contrast is quantified, but the precipitation source and effect uncertainty are absent.",Verify an objective precipitation data source and explicit drought interpretation. | Extract the adjusted effect and uncertainty.,none_identified,gpt-5.6-sol,strict-inc-v1.0
40,D0003490,"Prevalence, risk factors and aging vulnerability for psychopathology following a natural disaster in a developing country",2005,International Journal of Geriatric Psychiatry,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,cross_sectional,no,unclear,eligible,cross_sectional,high,"This is a single post-Hurricane Mitch survey comparing reported exposure intensity and psychopathology, without a pre-event outcome or temporal counterfactual.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
41,D0003717,Mental illness and suicidality after Hurricane Katrina,2006,Bulletin of the World Health Organization,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,quasi_experimental,unclear,reported_with_uncertainty,eligible,unclear_design,medium,"Independent pre- and post-Katrina regional surveys show quantified prevalence differences, but the abstract does not establish an unaffected control or another credible counterfactual for secular change.",Determine whether survey weighting or a comparison region supports a credible Katrina counterfactual.,none_identified,gpt-5.6-sol,strict-inc-v1.0
42,D0003791,The health effects of flooding: Social research results from England and Wales,2006,Journal of Water and Health,flood,NARRATIVE_ONLY,flood,self_report_only,cross_sectional,no,unclear,eligible,cross_sectional,high,Residents were interviewed after flooding and compared with at-risk but unflooded residents and the general population; no pre-event outcome was measured.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
43,D0003905,An epidemiologic study of posttraumatic stress disorder in flood victims in Hunan China,2006,Canadian Journal of Psychiatry,flood,NARRATIVE_ONLY,flood,self_report_only,cross_sectional,no,reported_with_uncertainty,eligible,cross_sectional,high,The retrospective survey measures PTSD and flood severity once among flood victims; post-event flood-type and severity odds ratios lack a pre-event outcome or temporal counterfactual.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
44,D0003963,Population health effects of air quality changes due to forest fires in British Columbia in 2003: Estimates from physician-visit billing data,2006,Canadian Journal of Public Health,wildfire,FULLTEXT_REVIEW,wildfire,objective_or_verifiable,time_series,yes,unclear,eligible,unclear_effect_extractability,high,"Monitored fire PM and weekly physician visits are compared with ten prior years, but the abstract gives no quantitative mental-illness estimate or uncertainty.",Extract the wildfire-PM effect on mental-illness visits with uncertainty and lag window.,none_identified,gpt-5.6-sol,strict-inc-v1.0
45,D0004099,Morbidity and mortality during heatwaves in metropolitan Adelaide,2007,Medical Journal of Australia,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,Administrative outcomes during heatwaves and non-heatwave periods are compared over many years; mental-health admissions increased 7% with a 95% confidence interval.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
46,D0004110,The August 2003 heat wave in France: effects on psychiatric disorders and suicidal behavior,2008,Presse Medicale,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,unclear,unclear,unclear,eligible,unclear_design,medium,"Psychiatric emergencies during the 2003 heatwave are compared with 2002, but the abstract does not show a modeled temporal counterfactual or effect uncertainty.",Verify a credible heatwave comparison accounting for seasonal and annual trends. | Extract effects and uncertainty for eligible psychiatric outcomes.,none_identified,gpt-5.6-sol,strict-inc-v1.0
47,D0004267,Relationship between daily suicide counts and temperature in England and Wales,2007,British Journal of Psychiatry,temperature,FULLTEXT_REVIEW,temperature,unclear,time_series,yes,unclear,eligible,unclear_effect_extractability,medium,"Daily temperature and suicide are analyzed with time-series regression and percentage effects are reported, but the abstract omits the temperature source, adjustment set, and uncertainty.",Verify objective temperature data and confounder adjustment. | Extract temperature and heatwave effects with uncertainty.,none_identified,gpt-5.6-sol,strict-inc-v1.0
48,D0004312,PSTD symptoms in children and adolscents 28 months after a floods: Age and gender differences,2007,Journal of Traumatic Stress,flood,NARRATIVE_ONLY,flood,self_report_only,cross_sectional,no,unclear,eligible,cross_sectional,high,"Students were assessed once 28 months after the flood, and reported trauma exposure was correlated with PTSD symptoms without a pre-event outcome.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
49,D0004415,Psychiatric disorders among adults seeking emergency disaster assistance after a wildland-urban interface fire.,2007,"Psychiatric services (Washington, D.C.)",wildfire,NARRATIVE_ONLY,wildfire,self_report_only,post_event_only,no,unclear,eligible,no_pre_event_baseline,high,Relief seekers were enrolled within days of the fire and followed at three months; exposure items were self-reported and no pre-fire mental-health outcome existed.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
50,D0004473,"Post-traumatic stress disorder in children and adolescents one year after a super-cyclone in Orissa, India: Exploring cross-cultural validity and vulnerability factors",2007,BMC Psychiatry,cyclone,NARRATIVE_ONLY,cyclone,objective_or_verifiable,cross_sectional,no,reported_with_uncertainty,eligible,cross_sectional,high,Children were examined once one year after the cyclone across high- and low-exposure areas; this post-event area comparison lacks a pre-event outcome.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
51,D0004481,Predisaster trait anxiety and negative affect predict posttraumatic stress in youths after Hurricane Katrina,2007,Journal of Consulting and Clinical Psychology,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,longitudinal_with_prebaseline,yes,unclear,eligible,self_report_exposure_only,high,"Predisaster traits and symptoms were available, but Katrina exposure is represented by the reported number of hurricane exposure events without external linkage.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
52,D0004505,Swept away: Use of general medical and mental health services among veterans displaced by Hurricane Katrina,2007,American Journal of Psychiatry,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,quasi_experimental,yes,unclear,eligible,unclear_effect_extractability,high,"Adjusted administrative comparisons use the same months in two prior years, but the abstract does not give a separate quantitative effect and uncertainty for mental-health service use.",Extract adjusted mental-health and substance-use service effects with uncertainty.,none_identified,gpt-5.6-sol,strict-inc-v1.0
53,D0004649,The effect of heat waves on mental health in a temperate Australian City,2008,Environmental Health Perspectives,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,yes,unclear,eligible,unclear_effect_extractability,high,"Long-term heatwave and threshold regressions adjust for season and trend, but the abstract gives a 7.3% mental-health admission increase without uncertainty.",Extract temperature and heatwave effects with uncertainty for eligible mental-health diagnoses.,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
54,D0004714,A prospective study on changes in health status following flood disaster,2008,Psychiatry Investigation,flood,FULLTEXT_REVIEW,flood,objective_or_verifiable,longitudinal_with_prebaseline,yes,unclear,eligible,unclear_effect_extractability,medium,"Residents had pre-flood SF-36 data and were reassessed after the flood, but depression and PTSD appear measured only postflood and no flood-effect estimate with uncertainty is reported.",Confirm a pre-event eligible mental-health measure and identify the estimable flood contrast. | Extract effects and uncertainty.,none_identified,gpt-5.6-sol,strict-inc-v1.0
55,D0004721,Financial and social circumstances and the incidence and course of PTSD in Mississippi during the first two years after Hurricane Katrina,2008,Journal of Traumatic Stress,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,post_event_only,no,unclear,eligible,no_pre_event_baseline,high,"Adults were interviewed after Katrina and PTSD onset/course was related to reported losses, events, and stressors; no pre-event mental-health outcome was measured.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
56,D0004764,Unwanted intrusive thoughts and cognitive functioning in kindergarten and young elementary school-age children following Hurricane Katrina,2008,Journal of Clinical Child and Adolescent Psychology,cyclone,NARRATIVE_ONLY,cyclone,objective_or_verifiable,cross_sectional,no,unclear,eligible,cross_sectional,high,"Children were surveyed once seven months after Katrina and compared with unaffected children, with no pre-event outcome.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
57,D0004968,A preliminary investigation of family coping styles and psychological well-being among adolescent survivors of Hurricane Katrina,2008,Journal of Family Psychology,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,cross_sectional,no,unclear,eligible,cross_sectional,high,Displaced adolescents and matched nonaffected adolescents were compared after Katrina; there is no pre-event mental-health baseline and trauma experiences were reported retrospectively.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
58,D0005018,Symptoms of depression and posttraumatic stress disorder in an outpatient population before and after Hurricane Katrina,2008,Depression and Anxiety,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,quasi_experimental,unclear,unclear,eligible,unclear_design,medium,"Different clinic patients were sampled in the month before and after Katrina; depression changed, but comparability, temporal control, and effect uncertainty are not established.",Verify a controlled repeated-cross-section or other credible counterfactual. | Extract the depression effect and uncertainty.,none_identified,gpt-5.6-sol,strict-inc-v1.0
59,D0005286,Impact of childhood exposure to a natural disaster on adult mental health: 20-year longitudinal follow-up study,2009,The British Journal of Psychiatry,wildfire,NARRATIVE_ONLY,wildfire,objective_or_verifiable,post_event_only,no,unclear,eligible,no_pre_event_baseline,high,"Bushfire survivors and matched controls were assessed 20 years later, but the abstract does not report a pre-fire mental-health outcome; this is a long-term post-event comparison.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
60,D0005325,Hurricane Katrina and youth anxiety: The role of perceived attachment beliefs and parenting behaviors,2009,Journal of Anxiety Disorders,cyclone,NARRATIVE_ONLY,cyclone,objective_or_verifiable,longitudinal_with_prebaseline,no,not_extractable,eligible,no_hazard_variation,high,"All participants were Katrina-exposed and the analysis tests attachment and parenting as moderators of pre/post anxiety, without estimating variation in the hurricane hazard.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
61,D0005379,Postpartum mental health after Hurricane Katrina: A cohort study,2009,BMC Pregnancy and Childbirth,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,post_event_only,no,reported_with_uncertainty,eligible,self_report_exposure_only,high,Postpartum outcomes were related to women's reported hurricane experiences; no external exposure linkage or pre-event mental-health baseline is described.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
62,D0005405,A Pre-/Post-Disaster Epidemiological Study of Mental Health Functioning in Vietnam's Da Nang Province Following Typhoon Xangsane.,2009,International perspectives in victimology,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,longitudinal_with_prebaseline,yes,unclear,eligible,unclear_effect_extractability,high,"The same participants were assessed before and after Typhoon Xangsane, but only caseness prevalences are reported, without a hazard-effect estimate and uncertainty.",Extract the within-person typhoon effect on SRQ-20 caseness with uncertainty.,none_identified,gpt-5.6-sol,strict-inc-v1.0
63,D0005406,Locus of control and psychopathology in relation to levels of trauma and loss: Self-reports of Peloponnesian wildfire survivors,2009,Journal of Traumatic Stress,wildfire,NARRATIVE_ONLY,wildfire,objective_or_verifiable,cross_sectional,no,unclear,eligible,cross_sectional,high,Fire-area residents and adjacent controls supplied post-event self-reports only; no pre-fire mental-health outcome was measured.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
