source_row,dedup_id,title,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,crosses_fulltext_boundary
68,D0005770,After Hurricanes Katrina and Rita: Gender differences in health and religiosity in middle-aged and older adults,cyclone,NARRATIVE_ONLY,"The pre/post analysis reports gender differences and religiosity correlations, not an estimated hurricane effect on an eligible mental-health outcome.",FULLTEXT_REVIEW,"Abstract reports pre- and post-disaster SF-36 scores after Hurricanes Katrina/Rita, with SF-36 mental health scores measured, but it only describes changes in physical function/bodily pain and gender differences in mental health. No quantitative hurricane effect on mental health with uncertainty is reported, so full text must establish extractable hazard-specific mental-health effect.",yes
70,D0005807,Intrusive thoughts and young children's knowledge about thinking following a natural disaster,cyclone,NARRATIVE_ONLY,"Children were surveyed once ten months after Katrina and compared with nonexposed children, with no pre-event outcome.",EXCLUDE,"The only measured outcomes are unwanted intrusive thoughts and their content/knowledge about thinking; these are not among eligible mental-health outcomes (depression, anxiety, distress, PTSD, suicide, wellbeing, etc.). No eligible outcome is reported. The design is also a single post-event exposed-vs-control survey without pre-event baseline.",no
73,D0005869,The influence of several changes in atmospheric states over semi-arid areas on the incidence of mental health disorders,temperature,FULLTEXT_REVIEW,"Administrative suicide attempts and psychotic attacks vary with meteorological states, including temperature, but exposure sources and an extractable temperature effect with uncertainty are absent.",EXCLUDE,"Abstract's main exposure is atmospheric states/desert winds (wind direction/speed), not a registered climate hazard. Temperature and humidity are mentioned only as weak (p<0.1) and no hazard-specific effect is extractable. DSH is eligible but the exposure fails the registered hazard requirement.",yes
78,D0006255,The burdens of social capital: How socially-involved people dealt with stress after Hurricane Katrina,cyclone,EXCLUDE,The study's explanatory focus is social capital and post-Katrina stress trajectories; the hurricane is the setting rather than the estimated primary exposure.,NARRATIVE_ONLY,"Abstract examines social capital as predictor of stress trajectories after Hurricane Katrina, not a hurricane exposure effect; no hazard exposure variation or hazard-specific estimate mentioned.",no
89,D0007029,Posttraumatic stress disorder and use of psychiatric and alcohol related services: The effect of the 2004–2005 Florida hurricane seasons on veterans,cyclone,META_ELIGIBLE,"Veterans in hurricane-affected and unaffected counties are compared around landfall using administrative data; mental-health service use changed +28.0% versus -6.5%, with p=0.001.",FULLTEXT_REVIEW,"Abstract reports mental health service use changes in hurricane-affected vs non-affected counties, but does not clearly describe pre-hurricane baseline, cohort selection, or adjustment; a before-after difference may exist, but cannot be confirmed from abstract.",no
96,D0007220,A positive relationship between ambient temperature and bipolar disorder identified using a national cohort of psychiatric inpatients,temperature,META_ELIGIBLE,Bureau meteorological temperatures are linked to national psychiatric admissions; adjusted Poisson mixed models estimate relative risks across explicit temperature contrasts.,FULLTEXT_REVIEW,"Abstract supports objective daily temperature and psychiatric admissions for bipolar disorder as an eligible service-use outcome, but the GLMM Poisson description lacks explicit controls for trends/seasonality and no numerical RR/CI is provided; credible temporal counterfactual and extractable effect must be verified in full text.",no
97,D0007263,What can multiwave studies teach us about disaster research: An analysis of low‐income hurricane Katrina survivors,cyclone,NARRATIVE_ONLY,"Predisaster distress was available, but the hurricane contrast is a self-reported traumatic-stress exposure score without external hazard linkage.",FULLTEXT_REVIEW,"Longitudinal 3-wave predisaster/postdisaster study of Hurricane Katrina survivors; psychological distress is eligible, but abstract describes 'traumatic stress exposure' without clarifying whether exposure was objectively measured/verified or self-reported, and reports coefficients without uncertainty, so meta-eligibility cannot be confirmed.",yes
108,D0007924,"Increase in psychotropic drug deliveries after the Xynthia storm, France, 2010.",flood,FULLTEXT_REVIEW,"Daily prescribing rose after the objectively dated Xynthia event with RRs and CIs, but the abstract does not isolate seawater flooding from the nonregistered windstorm exposure.",META_ELIGIBLE,"Uses daily administrative psychotropic treatment counts 2008-2010 as interrupted time-series before/after Xynthia flood; GAM Poisson yields RR 1.54 (95% CI 1.39-1.62), an extractable hazard-specific effect.",no
110,D0007946,Characteristics of individuals meeting criteria for new onset panic attacks following exposure to a typhoon,cyclone,FULLTEXT_REVIEW,"Pre- and post-typhoon psychiatric assessments are reported, but the source of exposure severity and an extractable typhoon effect with uncertainty are not described.",NARRATIVE_ONLY,"Pre/post typhoon cohort reports 2.8% new-onset panic attacks and their correlates (PTSD/MDD, self-reported typhoon exposure), but no hazard effect or uncertainty; it compares panic groups rather than estimating a typhoon effect.",yes
113,D0008000,A prospective study of the impact of floods on the mental and physical health of older adults,flood,FULLTEXT_REVIEW,"Older adults were measured before and after flooding with an unaffected comparison, but personal flood exposure appears questionnaire-based and adjusted change estimates are not reported.",NARRATIVE_ONLY,"Prospective pre-post flood study with eligible mental-health outcomes, but flood exposure was based on participant questionnaires on flood experience; no objective or externally verifiable hazard data are described, so self-reported exposure only precludes meta-eligibility.",yes
124,D0008786,The impact of housing displacement on the mental health of low-income parents after Hurricane Katrina,cyclone,EXCLUDE,"The explanatory exposure is post-Katrina housing displacement profile, while the hurricane itself is context and is controlled as prior experience.",NARRATIVE_ONLY,"Study follows Hurricane Katrina survivors only; exposure is postdisaster housing displacement profiles (returned/relocated/unstably housed), not variation in the cyclone hazard. No unexposed or hazard-intensity comparison, so no credible hazard effect for meta-analysis.",no
128,D0008906,"The relationship between meteorological conditions and homicide, suicide, rage, and psychiatric hospitalization",temperature,FULLTEXT_REVIEW,"Daily registry outcomes and official meteorology are available, but simple correlations over one year do not establish adjustment for temporal confounding or an extractable effect.",NARRATIVE_ONLY,"Daily meteorological data and psychiatric hospitalization are relevant, but the abstract reports only Pearson correlations and ANOVA p-values over one year, with no adjusted time-series model, effect size, or credible counterfactual; this is a descriptive/predictor analysis unsuitable for causal meta-analysis.",yes
137,D0009603,Happily ever after? Pre-and-post disaster determinants of happiness among survivors of Hurricane Katrina,cyclone,NARRATIVE_ONLY,"Happiness was measured before and after Katrina, but hurricane stressors and bereavement were survey-reported without external exposure linkage.",FULLTEXT_REVIEW,"Eligible outcome (happiness) and longitudinal pre/post design with pre-disaster baseline, but abstract reports only significance, not hazard effect sizes/uncertainty; individual hurricane exposure appears survey-based and needs verification.",yes
141,D0009770,Do hotter temperatures increase the incidence of self-harm hospitalisations?,temperature,FULLTEXT_REVIEW,"District-day hospitalizations and meteorology were modeled with mixed models using irregular temporal variation, but the 0.7% estimate lacks reported uncertainty.",META_ELIGIBLE,"Original quantitative study uses objective meteorological temperature and NZ self-harm hospitalisations 1993-2009. GLMMs isolate irregular daily temperature variation, providing temporal counterfactual and reporting adjusted effect 0.7% per 1C; eligible self-harm outcome.",no
146,D0010217,Increasing ambient temperature reduces emotional well-being,temperature,FULLTEXT_REVIEW,"The analysis uses exogenous day-to-day temperature variation within residence areas, but provides no effect estimates with uncertainty for emotional outcomes.",META_ELIGIBLE,"Uses 1.9M survey responses with day-to-day temperature variation within respondents' area, an objective exposure. Outcomes include positive/negative emotions and stress. The abstract indicates an estimated effect of temperature on emotional well-being with significance, though numeric magnitude and uncertainty are not fully reported.",no
147,D0010325,Life after hurricane Katrina: The Resilience in Survivors of Katrina (RISK) Project,cyclone,EXCLUDE,This article is an overview of findings from the RISK Project and reports no new quantitative hazard-outcome estimate.,FULLTEXT_REVIEW,"Abstract describes the RISK Project longitudinal cohort with pre-Katrina baseline and post-event waves and mental health outcomes, but presents an overview without any quantitative hazard effect or uncertainty. Full text must confirm an extractable hazard-specific estimate.",yes
161,D0011139,Mental disease-related emergency admissions attributable to hot temperatures,temperature,FULLTEXT_REVIEW,"Eleven years of daily admissions and temperature were analyzed with city-specific DLNMs and meta-analysis, but no RR uncertainty is shown.",META_ELIGIBLE,"Daily city temperature and emergency admissions for mental disease analyzed with distributed lag non-linear model, pooled via multivariate meta-analysis. Objective exposure, eligible psychiatric service use outcomes, temporal counterfactual, and extractable quantitative attributable risk estimates are reported.",no
162,D0011223,Pupillary response to emotional stimuli as a risk factor for depressive symptoms following a natural disaster: The 2011 Binghamton flood,flood,FULLTEXT_REVIEW,"Depression was measured before and after the flood and objective flood stress was assessed, but the hazard effect and uncertainty are absent.",NARRATIVE_ONLY,"Longitudinal pre/post flood with baseline, but abstract reports a diathesis-stress interaction (pupil dilation × flood-related stress) predicting depressive symptoms, not a quantitative effect of flood hazard on depression. Post-event flood-stress gradient is not a credible counterfactual, so predictor analysis without hazard effect.",yes
164,D0011249,Continuity of midwifery carer moderates the effects of prenatal maternal stress on postnatal maternal wellbeing: The Queensland flood study,flood,FULLTEXT_REVIEW,"Repeated depression/anxiety assessments surround pregnancy and birth, but hardship is questionnaire-based and the abstract does not establish a pre-flood outcome or effect uncertainty.",NARRATIVE_ONLY,"Flood exposure is assessed via self-report questionnaires (flood-related hardship and subjective stress), not externally verified. Outcomes are depression/anxiety but the analysis tests moderation of the stress-depression association by care type, without a credible counterfactual or hazard-effect estimate. Self-reported exposure only.",yes
169,D0011385,Crop-damaging temperatures increase suicide rates in India,temperature,FULLTEXT_REVIEW,"A 47-year panel uses climate fluctuations to estimate a temperature-suicide effect, but the abstract's approximately 70 suicides per degree lacks uncertainty.",META_ELIGIBLE,"Uses 47-year panel data with objectively measured temperature fluctuations; reports a significant quantitative effect of 1°C increase above 20°C causing ~70 suicides, satisfying causal meta-analysis criteria.",no
170,D0011412,A novel surveillance approach for disaster mental health,cyclone,EXCLUDE,"The outcomes are algorithmically inferred emotions in tweets, not validated measured mental-health outcomes, and the study is descriptive surveillance.",NARRATIVE_ONLY,"Study uses Twitter sentiment analysis to map spatial-temporal clusters of basic emotions around Hurricane Sandy, with no causal counterfactual and no hazard effect estimate or uncertainty; descriptive surveillance approach rather than quantitative hazard-outcome effect study.",no
175,D0011690,Hurricane Sandy exposure and the mental health of World Trade Center responders,cyclone,NARRATIVE_ONLY,"Pre-Sandy mental-health status is controlled, but the composite hazard exposure consists of responder-reported damage, outage, shortage and claims without external linkage.",FULLTEXT_REVIEW,"Abstract describes a pre-post longitudinal study of 870 WTC responders relating Hurricane Sandy impact exposures to PTSD and depression, adjusting for pre-Sandy mental health. It does not state whether exposures (home damage, power outage, FEMA claim) were objectively/verifiably measured or self-reported, nor report uncertainty. Full text must confirm exposure measurement and adjusted effect extractability.",yes
184,D0012234,Re-experiencing 9/11-Related PTSD Symptoms Following Exposure to Hurricane Sandy.,cyclone,NARRATIVE_ONLY,"Prior PTSD symptoms are available, but Sandy exposure is derived from the post-Sandy respondent survey without external hazard linkage.",FULLTEXT_REVIEW,"Abstract reports adjusted ORs for moderate/high Sandy exposure on 9/11-related PTSD symptoms, an eligible outcome with CI. However, it does not specify whether Sandy exposure was objectively measured or self-reported, and whether pre-Sandy symptoms were prospectively assessed. These must be verified for causal eligibility.",yes
185,D0012372,The role of prenatal maternal stress in the development of childhood anxiety symptomatology: The QF2011 Queensland Flood Study,flood,FULLTEXT_REVIEW,"Prenatal flood hardship and timing predict later child anxiety, but the abstract does not establish external exposure linkage, a quasi-experimental counterfactual, or effect uncertainty.",NARRATIVE_ONLY,"Flood-exposed pregnancy cohort with child anxiety measured after birth. Exposure is maternal objective hardship severity/timing among exposed only; no pre-event outcome or unexposed counterfactual, so severity association cannot support a causal hazard effect.",yes
186,D0012395,Drought-related stress among farmers: Findings from the Australian rural mental health study,drought,NARRATIVE_ONLY,The study profiles predictors of self-reported drought-related stress; no objective drought effect on general psychological distress is estimated.,FULLTEXT_REVIEW,"Abstract reports a longitudinal cohort with weather-related stress outcomes but does not specify whether drought/rainfall exposure was objectively measured, the analytic design or counterfactual, or numeric effect estimates with uncertainty. Full text is needed to determine eligibility.",yes
194,D0012920,Psychopharmacology utilization among children with anxiety and obsessive–compulsive and related disorders following Hurricane Katrina,cyclone,FULLTEXT_REVIEW,"Claims compare disaster and nondisaster areas, but the abstract does not clearly state a pre-post contrast and reports medication differences without uncertainty.",NARRATIVE_ONLY,"Abstract compares post-Katrina medication fills across disaster/non-disaster areas only; no pre-event outcome or within-unit temporal variation described, so exposed/unexposed post-event comparison lacks credible counterfactual.",yes
203,D0013198,Twelve years later: The long-term mental health consequences of Hurricane Katrina,cyclone,FULLTEXT_REVIEW,"Mothers were measured before Katrina and three times afterward, but the abstract gives prevalence and predictor findings without an event-effect estimate and uncertainty.",NARRATIVE_ONLY,"Abstract reports pre/post trajectories and covariate-adjusted predictors of long-term PTSD/distress, not a causal effect of objectively measured hurricane exposure. Exposure variation is hurricane-related traumatic events/housing damage (self-report); no credible counterfactual or extractable hazard effect with uncertainty.",yes
207,D0013336,"Association between floods and hospital admissions for schizophrenia in Hefei, China: The lag effects of degrees of floods and time variation",flood,FULLTEXT_REVIEW,"A distributed-lag time-series model reports flood-related schizophrenia admission RRs and CIs, but the abstract does not identify the flood data source or linkage.",META_ELIGIBLE,Time-series Poisson DLNM over 2005-2014 in Hefei uses daily flood events as objective exposure and schizophrenia hospital admissions (psychiatric service use) as outcome; RRs with CIs are reported.,no
222,D0014509,Suicide and apparent temperature in the two capitals cities in the Iberian Peninsula,temperature,FULLTEXT_REVIEW,"A time-series lag model reports a suicide RR of 2.7 at 38 C in Lisbon but gives no corresponding CI, SE, or exact p-value.",META_ELIGIBLE,"Time-series study using objective Apparent Temperature and suicide. Quasi-Poisson DLNM reports statistically significant RR 2.7 at 38°C vs 20.62 at 7-day lag, providing an extractable adjusted effect.",no
238,D0015253,Temperature and self-reported mental health in the United States,temperature,FULLTEXT_REVIEW,"Historical daily weather is matched to three million respondents and within-county temporal fluctuations identify effects, but no estimate uncertainty is shown.",META_ELIGIBLE,"Uses historical daily weather matched to individual-level data and exploits within-county temperature variation over time. Outcome is self-reported bad mental health days. Abstract reports directional temperature effects and WTP estimates, indicating extractable quantitative effects.",no
251,D0015862,Investigating the association between temperature and hospital admissions for major psychiatric diseases: A study in Greece,temperature,FULLTEXT_REVIEW,"National Observatory temperature data and time-adjusted Poisson models yield 1-2% admission increases, but no uncertainty is reported.",META_ELIGIBLE,Original time-series study uses objectively measured ambient/apparent temperature from National Observatory of Athens and Poisson regression adjusted for time trends to estimate 1-2% increase in monthly psychiatric admissions per 1°C; outcome is eligible psychiatric service use.,no
257,D0016133,How do non-catastrophic natural disasters impact middle-aged-to-older persons? Using baseline Canadian longitudinal study on aging data to explore psychological outcomes associated with the 2013 Calgary flood,flood,FULLTEXT_REVIEW,"Baseline survey collection occurred before and after the Calgary flood and evacuation status defines groups, but no flood-effect estimates or uncertainty are reported.",NARRATIVE_ONLY,"Abstract describes comparing baseline CLSA participants interviewed in 6 months before vs after the 2013 Calgary flood, stratified by evacuation status; CLSA baseline is per-participant cross-sectional, so no within-person pre-event outcome or credible counterfactual. Reported results are covariate associations (income, sex, living alone) and pre/post group differences, not a hazard-effect estimate with uncertainty.",yes
264,D0016542,Natural disaster stress during pregnancy is linked to reprogramming of the placenta transcriptome in relation to anxiety and stress hormones in young offspring,cyclone,FULLTEXT_REVIEW,"Pregnancies during Sandy are compared with non-Sandy conditions and child anxiety is measured later, but effect estimates and uncertainty are absent.",NARRATIVE_ONLY,"Compares offspring of women pregnant during Hurricane Sandy vs non-Sandy controls, with anxiety and stress outcomes measured only at age 3-4. No pre-event baseline or credible counterfactual is described; exposed/unexposed post-event comparison alone is not eligible for causal meta-analysis.",yes
266,D0016661,The impact of early social support on subsequent health recovery after a major disaster: A longitudinal analysis.,cyclone,NARRATIVE_ONLY,"The longitudinal regression estimates effects of post-Katrina social support on later health, not the effect of Katrina exposure.",EXCLUDE,"Abstract examines social support soon after Hurricane Katrina as the exposure predicting mental and physical health recovery; the hurricane is only context/control (housing damage), and no hurricane hazard effect is estimated.",no
277,D0017091,"Trajectories of depressive symptoms experienced by older people: Effects of time, Hurricane Sandy, and the Great Recession",cyclone,FULLTEXT_REVIEW,"A 12-year panel spans Sandy, but exposure is reported peritraumatic stress and the abstract gives only a qualitative null hazard effect without uncertainty.",NARRATIVE_ONLY,"Abstract describes exposure as self-reported peri-traumatic stress during Hurricane Sandy, not objective/verifiable hazard exposure; no extractable quantitative hazard effect with uncertainty is reported. Depression outcome is eligible and panel is longitudinal, but exposure metric makes design ineligible.",yes
290,D0017773,Mood and Sleep Status and Mental Disorders During Prolonged Winter-Over Residence in Two Korean Antarctic Stations.,temperature,EXCLUDE,"The exposure is prolonged Antarctic deployment combining isolation, photoperiod, and climate; no ambient temperature or cold-spell hazard effect is estimated.",FULLTEXT_REVIEW,"Longitudinal pre-departure/during-stay study of Antarctic winter-over crews measuring depression and sleep. Abstract does not clarify whether exposure is objectively measured ambient temperature or simply winter-over season/photoperiod, so a hazard-specific effect cannot be confirmed.",yes
294,D0017913,Elemental analysis of hair provides biomarkers of maternal hardship linked to adverse behavioural outcomes in 4-year-old children: The QF2011 Queensland Flood Study,flood,NARRATIVE_ONLY,"Prenatal flood hardship is a reported stress measure, and child internalizing and behavioral outcomes were measured only four years after the event.",EXCLUDE,"Study measures child behavioural/developmental outcomes (language, attention, internalizing/externalizing, aggression) after prenatal flood-related maternal hardship; no eligible mental-health outcome is reported.",no
297,D0018032,Association between Repeated Exposure to Hurricanes and Mental Health in a Representative Sample of Florida Residents,cyclone,FULLTEXT_REVIEW,"A representative panel was assessed before and after Irma and Michael with path estimates and CIs, but direct, indirect, media, and evacuation-zone exposures are not described as externally linked.",NARRATIVE_ONLY,"Hurricane exposure is captured via self-reported direct, indirect, media-based exposure, loss/injury, and evacuation behavior, not objective or externally verifiable hazard intensity; associations with PTSS/distress are reported but do not meet causal meta-analysis exposure criteria.",yes
299,D0018224,Impact of the 2018 Japan Floods on benzodiazepine use: A longitudinal analysis based on the National Database of Health Insurance Claims,flood,FULLTEXT_REVIEW,"A DID using officially certified victims reports prescription effects with CIs, but benzodiazepine prescriptions are not clearly restricted to an eligible mental-health indication.",META_ELIGIBLE,"Flood exposure is objective and externally verified by local government victim certification. DID compares before/after and victim/non-victim benzodiazepine prescriptions, a psychiatric service-use outcome. Adjusted ROR with 95% CI reported.",no
316,D0018947,The effect of hurricanes on mental health over the long term.,cyclone,FULLTEXT_REVIEW,"Difference-in-differences compares adults in Katrina/Rita-affected counties with other counties before and after the storms, but reported effect magnitudes lack uncertainty in the abstract.",META_ELIGIBLE,Original DiD study using BRFSS and PSID comparing mental health before and after Hurricanes Katrina/Rita in affected vs unaffected counties; objective county-level hurricane exposure; reports quantitative effects on poor mental health days and K-6 distress.,no
319,D0019189,Air pollution and suicide in rural and urban America: Evidence from wildfire smoke,wildfire,FULLTEXT_REVIEW,"Satellite wildfire smoke is linked to year-over-year county-month fluctuations in suicide rates, providing a temporal panel counterfactual, but the reported suicide effect lacks uncertainty.",META_ELIGIBLE,"Uses satellite wildfire smoke and PM2.5 measures; relates county-level year-over-year smoke fluctuations to suicide rates, a within-county temporal counterfactual. Reports quantitative suicide effect (0.27 per million per 1 ug/m3, 2.0%) and demographic contrasts.",no
322,D0019472,How ambient temperature affects mood: an ecological momentary assessment study in Switzerland,temperature,FULLTEXT_REVIEW,"Repeated mood ratings over seven days are analyzed with participant random effects and temperature effects are reported with 95% CIs, but the abstract does not identify the source of daily maximum temperature.",META_ELIGIBLE,Daily mood (affect) measured over 7 days in 906 adults; daily max temperature objectively assigned; mixed-effects logistic regression with participant random intercept and time/day/year fixed effects uses within-person temporal temperature variation; reports OR 0.93 (95% CI 0.88-0.99) per 5°C increase.,no
333,D0019888,"Spatiotemporal analysis of the surface urban heat island (SUHI), air pollution and disease pattern: an applied study on the city of Granada (Spain)",temperature,NARRATIVE_ONLY,"Satellite land-surface heat and 2021 disease patterns are related through ecological correlations, with suicide pooled among many diseases and no credible within-unit temporal counterfactual or suicide-specific effect.",FULLTEXT_REVIEW,"Uses satellite-derived temperature metrics and includes suicide among outcomes, but abstract reports correlations for multiple exposures and diseases collectively; no suicide-specific temperature effect with uncertainty is shown.",yes
336,D0020012,Mental health during the COVID-19 pandemic in a longitudinal study of Hurricane Katrina survivors,cyclone,EXCLUDE,"The analysis centers on mental health during COVID-19 and pandemic predictors; Katrina is a historical comparison in an already exposed cohort, not the primary hazard exposure being estimated.",NARRATIVE_ONLY,"Abstract reports prevalence of PTSD/distress 1-year post-Katrina and during COVID-19 and adjusted logistic regression predictors of mental health adversity, but no quantitative effect of Hurricane Katrina exposure versus a credible counterfactual; descriptive/predictor analysis only.",no
338,D0020063,Hurricane Michael and adverse social and mental health risk factors,cyclone,NARRATIVE_ONLY,Pregnancy screening records in affected counties are compared in simple periods before and after Michael without an unaffected control or interrupted time-series model; the abstract mainly describes screening and referral prevalence.,FULLTEXT_REVIEW,"Pre-post Hurricane Michael study of pregnant women includes stress/mental health services among screened risk factors, but abstract reports quantitative effects only for referral, medical illness, and smoking, not for an eligible mental-health outcome; no unaffected comparison group is described. Full text must confirm extractable mental-health hazard effects and design counterfactual.",yes
349,D0020483,Association of Postpartum Temperature Exposure with Postpartum Depression: A Retrospective Cohort Study in Southern California,temperature,META_ELIGIBLE,GridMET temperatures linked to residential addresses are analyzed as time-varying postpartum exposures in a discrete-time event model; adjusted PPD odds ratios and 95% CIs are reported.,FULLTEXT_REVIEW,"Objective gridMET temperature exposure and PPD are eligible and aOR with CI is reported. However, abstract does not clearly specify whether the time-to-event model uses time-varying within-person temperature exposure or adjustment for temporal/seasonal confounding, so credible counterfactual is unresolved.",no
352,D0020600,Running through the haze: How wildfire smoke affects physical activity and mental well-being,wildfire,FULLTEXT_REVIEW,"A subset completed repeated wellbeing measures during smoke and nonsmoke periods, but the abstract does not state how wildfire smoke periods were objectively identified and reports only means and p-values.",NARRATIVE_ONLY,"The study compares mental health during a smoke period (n=348) with a later smoke-free follow-up (n=162), with no pre-exposure outcome assessment; this exposed-first repeated-measures design lacks a credible pre-event counterfactual.",yes
355,D0020621,Heatwaves and its impact on the depressive symptoms among Chinese community-dwelling older adults: Examining the role of social participation,temperature,NARRATIVE_ONLY,Depressive symptoms come from the single 2018 CHARLS wave and are associated with accumulated heatwaves across older adults; a multilevel fixed-effect label does not establish within-person temporal outcome variation.,FULLTEXT_REVIEW,"Abstract reports objective heatwave exposure (daily max >35°C, 3+ days), CES-D depressive symptoms, and fixed-effect regression with b=0.66, p<0.001. However it does not confirm whether the 2018 CHARLS sample includes repeated outcome waves or within-unit temporal variation; multilevel fixed effects may be cross-sectional area-level adjustment. Full text must establish panel structure and baseline control before eligibility.",yes
357,D0020658,"Youth suicidality risk relative to ambient temperature and heatwaves across climate zones: A time series analysis of emergency department presentations in New South Wales, Australia",temperature,FULLTEXT_REVIEW,"A generalized additive daily time series estimates ambient-temperature effects on youth suicidality ED presentations, but the reported 1.3% increase per degree has no uncertainty interval.",META_ELIGIBLE,"Original time-series study using daily objective temperature and heatwave data to estimate effects on emergency department youth suicidality presentations in NSW. Abstract reports a significant 1.3% increase per 1°C above average daily mean temperature, meeting eligible outcome, exposure, design, and effect extractability criteria.",no
360,D0020751,"Association Between Extreme Heat and Outpatient Visits for Mental Disorders: A Time-Series Analysis in Guangzhou, China.",temperature,FULLTEXT_REVIEW,"A daily quasi-Poisson time series evaluates nine heatwave definitions and mental-disorder outpatient visits, but the supplied abstract ends before any numerical RRs or uncertainty are provided.",META_ELIGIBLE,"Time-series study with objectively defined heatwaves (daily mean temperature percentiles/durations) and outpatient visits for mental disorders from insurance claims; quasi-Poisson GLMs estimate heatwave risks and cumulative effects, satisfying causal meta-analysis inclusion.",no
