dedup_id,title,abstract,year,journal,authors,sources,all_dois,candidate_topics,broad_screen_reason,broad_module_decisions
D0014357,Predictors of child resilience in a community-based cohort facing flood as natural disaster,"Background: Natural disasters are unpredictable and uncontrollable events that usually induce significant level of stress and social disruption in afflicted individuals. The consequences are formidable, affecting lifetime health and economic prosperity. Among natural disasters, floods are the most common causes and tend to have the highest economic burden. The aim of this study was to examine factors associated with child resilience in the face of the natural disaster experienced by the city of Calgary, Alberta, Canada during its unprecedented flood of 2013. Methods: The current study was conducted in a community-based cohort situated in the city of Calgary. The participants were recruited out of the All Our Families longitudinal cohort within the Cummings School of Medicine at the University of Calgary. Of the total 1711 people contacted, 469 people consented and completed questionnaire. Of those 469 who consented to be part of the study, 467 were eligible to be included for analysis. A flood impact questionnaire was delivered 6 months after the 2013 flood in families whose children were an average of 3 years old. Mother reported questionnaires were used to assess child resilience. The study included maternal data on a range of factors including socio-demographic, history of mental health, relationship with the partner and social support. Child related data were also incorporated into the study, and variables included delivery mode, child sex, and child age at the time of disaster. Results: Child resilience was best predicted by mother’s age and social support, and by child gender, the child’s externalizing and internalizing behaviors and the Rothbart temperament scale: effortful control. Furthermore, this study revealed that children who were more exposed to the flood events, showed higher resilience compared to the children who were less or not exposed. Conclusions: These findings highlight the risk and protective factors that predict child resilience and suggest that mother reported questionnaire are useful tools to assess child resilience amidst early life adversity. (PsycInfo Database Record (c) 2021 APA, all rights reserved) (Source: journal abstract)",2020,BMC Psychiatry,"Arshad, Muhammad; Mughal, Muhammad Kashif; Giallo, Rebecca; Kingston, Dawn",Embase; PsycINFO; PubMed; Scopus,10.1186/s12888-020-02944-y,flood,flood: INCLUDE - Flood exposure compared across levels; child resilience measured via mother-report.,"{""flood"":""INCLUDE""}"
D0014393,The dynamic course of psychological outcomes following the Victorian Black Saturday bushfires,"Objectives: To profile the long-term mental health outcomes of those affected by the 2009 Black Saturday bushfires and to document the course of mental health since the disaster. Method: The longitudinal Beyond Bushfires study included 1017 respondents (Wave 1; 3–4 years after the fires), 736 (76.1%) at Wave 2 (5 years after the fires) and 525 (51.6%) at Wave 3 (10 years after the fires). The survey indexed fire-related and subsequent stressful events, probable posttraumatic stress disorder, major depressive disorder, alcohol use, severe distress and receipt of health services for mental health problems. Results: Relative to their status 3–4 years after the fires, there were reduced rates of fire-related posttraumatic stress disorder (6.2% vs 12.2%), general posttraumatic stress disorder (14.9% vs 18.7%) and severe distress (4.4% vs 7.5%) at 10 years. There were comparable rates between Wave 1 and Wave 3 for depression (10.9% vs 8.3%) and alcohol abuse (21.8% vs 18.5%). Of people in high-affected regions, 22.1% had posttraumatic stress disorder, depression or severe distress at Wave 3. One-third to one-half of participants who reported probable posttraumatic stress disorder or depression at any assessment did not display the disorder at the next assessment. Worsening of mental health at Wave 3 was associated with the extent of property loss, exposure to recent traumatic events or recent stressful life events. Only 24.6% of those with a probable disorder had sought professional help for this in the previous 6 months. Conclusion: Approximately one-fifth of people from high-affected areas have a probable psychological disorder a decade after the fires. Mental health appears to fluctuate for those who are not consistently resilient, apparently as a result of ongoing stressors. The observation that most people with probable disorder are not receiving care highlights the need for further planning about managing long-term mental health needs of disaster-affected communities. (PsycInfo Database Record (c) 2025 APA, all rights reserved) (Source: journal abstract)",2021,Australian and New Zealand Journal of Psychiatry,"Bryant, Richard A.; Gibbs, Lisa; Gallagher, H. Colin; Pattison, Phillipa; Lusher, Dean; MacDougall, Colin; Harms, Louise; Block, Karen; Ireton, Greg; Richardson, John; Forbes, David; Molyneaux, Robyn; O'Donnell, Meaghan",Embase; PsycINFO; PubMed; Scopus,10.1177/0004867420969815,wildfire,wildfire: INCLUDE - Longitudinal cohort of bushfire survivors tracking mental health outcomes over 10 years.,"{""wildfire"":""INCLUDE""}"
D0014471,Predisaster predictors of posttraumatic stress symptom trajectories: An analysis of lowincome women in the aftermath of Hurricane Katrina,"Exposure to disasters is associated with a range of posttraumatic stress symptom (PTSS) trajectories. However, few studies have tracked PTSS for more than a decade postdisaster, and none to our knowledge has explored the role of predisaster resources and vulnerabilities in shaping the likelihood of trajectory membership. The current study included participants from the Resilience in Survivors of Katrina Study (N = 885). Participants were originally part of a community college intervention study and were assessed prior to the hurricane (6-21 months predisaster), and approximately 1 year, 4 years, and 12 years postdisaster. Latent class growth analysis identified PTSS trajectories. Perceived social support, probable mental illness, and physical health conditions or problems-all assessed predisaster-were examined as predictors of trajectory membership at the univariate level and in multivariable models without and with adjustment for disaster exposure. Three PTSS trajectories were detected: Moderate-Decreasing (69.3%), High-Decreasing (23.1%), and High-Stable (7.6%). In the multivariable predictive model without adjustment for disaster exposure, probable predisaster mental illness was significantly associated with greater odds of the High-Decreasing and High-Stable trajectories, and physical health conditions or problems with greater odds of the High-Decreasing trajectory, relative to the Moderate-Decreasing trajectory. However, when disaster exposure was adjusted, only the association between predisaster mental illness and the odds of the High-Stable trajectory remained statistically significant. Lower predisaster perceived social support was significantly associated with membership in the High-Decreasing trajectory, relative to the Moderate-Decreasing, at the univariate level, but not in either multivariable model. Whereas predisaster mental illness confers risk for chronic postdisaster PTSS, other impacts of predisaster resources and vulnerabilities on elevated PTSS trajectories do not go beyond those of disaster exposure. The results support disaster preparedness efforts targeting those with mental and physical health conditions, and postdisaster mental health services addressing preexisting vulnerabilities in addition to disaster-related PTSS.",2020,PLoS ONE,"Lowe, S.R.; Raker, E.J.; Waters, M.C.; Rhodes, J.E.",Embase; PubMed; Scopus,10.1371/journal.pone.0240038,cyclone,"cyclone: INCLUDE - Longitudinal study of Hurricane Katrina survivors with predisaster baseline and repeated post-disaster PTSS assessments; eligible exposure, outcome, and design.","{""cyclone"":""INCLUDE""}"
D0014509,Suicide and apparent temperature in the two capitals cities in the Iberian Peninsula,"Different authors have identified geographic variations in the rates of suicide. This study aims to discuss the limitations of the officially recorded suicide data and to evaluate the statistical relationship between a biometeorological index, Apparent Temperature (AT), and suicide in Madrid and Lisbon. We performed a time-series study. The association was analyzed using a quasi-Poisson regression model. To assess potential delayed and non-linear effects of AT on suicides, a lag non-linear model was fitted in a generalized additive model. There was an average rate of 3.30 suicides/100,000 inhabitants in Madrid and of 7.92 suicides/100,000 inhabitants in Lisbon, and a downward trend was found throughout the period. In Madrid, there is no statistically significant association between AT and suicide. However, in Lisbon, under higher AT, there was a higher risk of suicide. The highest accumulated statistically significant Relative Risk (RR) of suicide was detected at 7 days after the exposure, when at 38 °C, the risk of suicide is 2.7 times that existing at the median AT, 20.62°. The average mortality rate recorded in Lisbon was 41.6% higher than that registered in Madrid. However, the limitations of suicide record databases in Spain and Portugal have to be taken into account when analyzing incidence and especially when comparing data from different countries. It is necessary to improve the filing systems of violent deaths in order to perform reliable epidemiological studies. (PsycInfo Database Record (c) 2025 APA, all rights reserved) (Source: journal abstract)",2020,Social Science & Medicine,"Santurtún, Ana; Almendra, Ricardo; Silva, Giovani L.; Fdez-Arroyabe, Pablo; Santurtún, Maite; Santana, Paula",Embase; PsycINFO; PubMed; Scopus,10.1016/j.socscimed.2020.113411,temperature,temperature: INCLUDE - Time-series study of apparent temperature and suicide in two cities.,"{""temperature"":""INCLUDE""}"
D0014521,"Socioeconomic level and associations between heat exposure and all-cause and cause-specific hospitalization in 1,814 Brazilian cities: A nationwide case-crossover study","Background Heat exposure, which will increase with global warming, has been linked to increased risk of a range of types of cause-specific hospitalizations. However, little is known about socioeconomic disparities in vulnerability to heat. We aimed to evaluate whether there were socioeconomic disparities in vulnerability to heat-related all-cause and cause-specific hospitalization among Brazilian cities. Methods and findings We collected daily hospitalization and weather data in the hot season (city-specific 4 adjacent hottest months each year) during 2000–2015 from 1,814 Brazilian cities covering 78.4% of the Brazilian population. A time-stratified case-crossover design modeled by quasi-Poisson regression and a distributed lag model was used to estimate city-specific heat–hospitalization association. Then meta-analysis was used to synthesize city-specific estimates according to different socioeconomic quartiles or levels. We included 49 million hospitalizations (58.5% female; median [interquartile range] age: 33.3 [19.8–55.7] years). For cities of lower middle income (LMI), upper middle income (UMI), and high income (HI) according to the World Bank’s classification, every 5℃C increase in daily mean temperature during the hot season was associated with a 5.1% (95% CI 4.4%–5.7%, P < 0.001), 3.7% (3.3%–4.0%, P < 0.001), and 2.6% (1.7%–3.4%, P < 0.001) increase in all-cause hospitalization, respectively. The inter-city socioeconomic disparities in the association were strongest for children and adolescents (0–19 years) (increased all-cause hospitalization risk with every 5℃C increase [95% CI]: 9.9% [8.7%–11.1%], P < 0.001, in LMI cities versus 5.2% [4.1%–6.3%], P < 0.001, in HI cities). The disparities were particularly evident for hospitalization due to certain diseases, including ischemic heart disease (increase in cause-specific hospitalization risk with every 5℃C increase [95% CI]: 5.6% [-0.2% to 11.8%], P = 0.060, in LMI cities versus 0.5% [-2.1% to 3.1%], P = 0.717, in HI cities), asthma (3.7% [0.3%–7.1%], P = 0.031, versus -6.4% [-12.1% to -0.3%], P = 0.041), pneumonia (8.0% [5.6%–10.4%], P < 0.001, versus 3.8% [1.1%–6.5%], P = 0.005), renal diseases (9.6% [6.2%–13.1%], P < 0.001, versus 4.9% [1.8%–8.0%], P = 0.002), mental health conditions (17.2% [8.4%–26.8%], P < 0.001, versus 5.5% [-1.4% to 13.0%], P = 0.121), and neoplasms (3.1% [0.7%–5.5%], P = 0.011, versus -0.1% [-2.1% to 2.0%], P = 0.939). The disparities were similar when stratifying the cities by other socioeconomic indicators (urbanization rate, literacy rate, and household income). The main limitations were lack of data on personal exposure to temperature, and that our city-level analysis did not assess intra-city or individual-level socioeconomic disparities and could not exclude confounding effects of some unmeasured variables. Conclusions Less developed cities displayed stronger associations between heat exposure and all-cause hospitalizations and certain types of cause-specific hospitalizations in Brazil. This may exacerbate the existing geographical health and socioeconomic inequalities under a changing climate.",2020,PLoS Medicine,"Xu, R.; Zhao, Q.; Coelho, M.S.Z.S.; Saldiva, P.H.N.; Abramson, M.J.; Li, S.; Guo, Y.",Embase; PubMed; Scopus,10.1371/journal.pmed.1003369,temperature,temperature: INCLUDE - Case-crossover study links heat to cause-specific hospitalization including mental health conditions.,"{""temperature"":""INCLUDE""}"
D0014583,Positive cognitive appraisal “buffers” the long-term effect of peritraumatic distress on maternal anxiety: The Queensland Flood Study,"Background: Limited research has evaluated distinct aspects of disaster experience as predictors of affective symptoms. In this study, we examined the extent to which maternal depression and anxiety over time were predicted by (1) objective hardship from a flood during pregnancy, (2) peritraumatic distress and (3) cognitive appraisal of the flood's consequences. Methods: Data were drawn from the 2011 Queensland Flood Study, a prospective, longitudinal study of pregnancy (n = 183). Mothers’ disaster experience was measured within 1 year after the flood. Their levels of depression, anxiety and stress were measured at 16 months, 30 months, 4 years and 6 years after childbirth. Linear mixed models were employed to evaluate symptom trajectories. Results: There were no time-dependent effects of disaster-related variables. Objective hardship did not predict outcomes. Peritraumatic distress significantly predicted depression and anxiety symptoms when cognitive appraisal was negative. Conversely, when cognitive appraisal was neutral or positive, the effect of peritraumatic distress was “buffered”. For anxiety, but not depression, this interaction survived Bonferroni correction. Neutral/positive cognitive appraisal similarly moderated the effect of peritraumatic dissociation. Limitations: The generalizability of our findings is limited by overall low levels of depression and anxiety, along with a predominantly Caucasian, higher socioeconomic status sample. Potential confounders such as pre-disaster anxiety were not controlled for. Conclusion: In line with previous evidence, this study supports the predictive validity of peritraumatic distress for post-disaster depression and anxiety. Our findings suggest that cognitive appraisal could be a relevant target for interventions aimed at fostering maternal resilience. (PsycInfo Database Record (c) 2025 APA, all rights reserved) (Source: journal abstract)",2021,Journal of Affective Disorders,"Paquin, Vincent; Elgbeili, Guillaume; Laplante, David P.; Kildea, Sue; King, Suzanne",Embase; PsycINFO; PubMed; Scopus,10.1016/j.jad.2020.09.041,flood,flood: INCLUDE - Prospective longitudinal study links flood hardship and peritraumatic distress to maternal depression/anxiety trajectories.,"{""flood"":""INCLUDE""}"
D0014664,"Quasi-experimental evaluation of text-based crisis patterns in youth following Hurricane Florence in the Carolinas, 2018","Importance: Crisis text lines have proven to be an effective and low-cost means for delivering texting-based mental health support to youth. Yet there has been limited research examining the use of these services in capturing the psychological impact on youth affected by a weather-related disaster. Objective: This ecologic study examined changes in help-seeking behavior for adolescents and young adults in North and South Carolina, USA, before and after Hurricane Florence (2018). Design and main outcomes: A retrospective, interrupted time-series design was used to examine pre- and post-hurricane changes in crisis text volume among youth help seekers in the Carolinas for the following outcomes: (1) text for any reason; (2) stress & anxiety; (3) depression; and (4) suicidal thoughts. Results: Results showed an immediate and sustained increase in crisis texts for stress/anxiety and suicidal thoughts in the six weeks following Florence. Overall, an immediate 15% increase in crisis texts for anxiety/stress (SE = 0.05, p = .005) and a 17% increase in suicidal thoughts (SE = 0.07, p = .02) occurred during the week of the storm. Text volume for anxiety/stress increased 17% (SE = 0.08, p = .005) and 23% for suicidal ideation (SE = 0.08, p = .01) in the 6-week post-hurricane period. Finally, forecast models revealed observed text volume for all mental health outcomes was higher than expected in the 6 weeks post-Florence. Conclusions and relevance: A low-cost, crisis texting platform provided 24/7 mental health support available to young people in the Carolinas impacted by Hurricane Florence. These findings highlight a new application for text-based crisis support services to address the mental health consequences in youth following a weather-related disaster, as well as the potential for these types of crisis platforms to measure situational awareness in impacted communities.",2021,Science of the Total Environment,"Runkle, J.D.; Michael, K.D.; Stevens, S.E.; Sugg, M.M.",Embase; PubMed; Scopus,10.1016/j.scitotenv.2020.141702,cyclone,cyclone: INCLUDE - Interrupted time-series of crisis texts after Hurricane Florence assesses youth mental health outcomes.,"{""cyclone"":""INCLUDE""}"
D0014716,A life‐course model of trauma exposure and mental health among low‐income survivors of Hurricane Katrina,"Prior research has provided robust evidence that exposure to potentially traumatic events (PTEs) during a disaster is predictive of adverse postdisaster mental health outcomes, including posttraumatic stress symptoms (PTSS) and nonspecific psychological distress (PD). However, few studies have explored the role of exposure to other PTEs over the life‐course in shaping postdisaster mental health. Based on the broader literature on trauma exposure and mental health, we hypothesized a path analytic model linking predisaster PTEs to long‐term postdisaster PTSS and PD via predisaster PD, short‐term postdisaster symptoms, and disaster‐related and postdisaster PTEs. We tested this model using data from the Resilience in Survivors of Katrina study, a longitudinal study of low‐income, primarily non‐Hispanic Black mothers exposed to Hurricane Katrina and assessed before the disaster and at time points 1, 4, and 12 years thereafter. The models evidenced a good fit with the data, RMSEA < .01–.04, CFIs > .99. In addition, 44.1%–67.4% of the effect of predisaster PTEs on long‐term postdisaster symptoms was indirect. Descriptive differences were observed across models that included PTSS versus PD, as well as models that included all pre‐ and postdisaster PTEs versus only those that involved assaultive violence. The results suggest the importance of incorporating disaster preparedness in clinical work with trauma survivors and the value in attending to other lifetime PTEs when working in postdisaster contexts. (PsycInfo Database Record (c) 2025 APA, all rights reserved) (Source: journal abstract)",2020,Journal of Traumatic Stress,"Lowe, Sarah R.; Raker, Ethan J.; Arcaya, Mariana C.; Zacher, Meghan L.; Waters, Mary C.; Rhodes, Jean E.",Embase; PsycINFO; PubMed; Scopus,10.1002/jts.22581,cyclone,cyclone: INCLUDE - Longitudinal Hurricane Katrina survivor study linking disaster exposure to PTSS and psychological distress.,"{""cyclone"":""INCLUDE""}"
D0014778,Association between ambient temperature and injury by intentions and mechanisms: A case-crossover design with a distributed lag nonlinear model,"Although injury is a leading cause of death worldwide, the association between ambient temperature and injury has received little research attention compared to the association of temperature with mortality and morbidity from non-external causes. With current climate change and increases in weather extremes, assessing the association between temperature and injury is important for determining public health priorities. Therefore, the present study examined the association between ambient temperature and injury risk with a focus on the intentions and mechanisms of injury. Using the national emergency database, we identified a total of 703,503 injured patients who had visited emergency departments in Seoul, South Korea from 2008 to 2016. We conducted a time-stratified case-crossover study using a conditional Poisson regression model, and applied a distributed lag nonlinear model to explore possible nonlinear and delayed effects of daily mean temperature on injury risk. Injury risk was significantly associated with ambient temperature, and temperature-injury association curves markedly differed with respect to intentions and mechanisms of injury. Although unintentional injuries increased significantly at both high and low temperatures, intentional injuries – including self-harm and assault – significantly increased only at high temperatures. The mechanism-specific analyses showed that injuries caused by traffic accidents and burns significantly increased at both high and low temperatures. However, injuries caused by all other mechanisms (i.e., fall, blunt object, machinery, penetration, and poisoning) significantly increased only at high temperatures, while injury due to slipping increased at low temperatures. Our study provides evidence that ambient temperature is associated with risk of injury, and this association differs depending on the intentions and mechanisms of injury. Overall, our findings help foster a more comprehensive understanding of the association between temperature and injury that can be used to establish appropriate public health policies and targeted interventions.",2020,Science of the Total Environment,"Lee, H.; Myung, W.; Kim, H.; Lee, E.-M.; Kim, H.",Embase; PubMed; Scopus,10.1016/j.scitotenv.2020.141261,temperature,"temperature: INCLUDE - Case-crossover DLNM links ambient temperature to injury risk, including self-harm, an eligible outcome.","{""temperature"":""INCLUDE""}"
D0014788,Extremes in water availability and suicide: Evidence from a nationally representative sample of rural Indian adults,"Background: Extremes in water availability, either exceptionally wet or dry conditions, can damage crops and may detrimentally affect the livelihood and well-being of people engaged in agriculture. We estimated the effect of water availability on suicide in rural India, a context where the majority of households are dependent upon agriculture. Methods: We used data from a nationally representative sample of 8.5 million people who were monitored for causes of death from 2001 to 2013. Water availability was measured with high-resolution precipitation and temperature data (i.e., the Standardized Precipitation Evapotranspiration Index). We used a fixed effects approach that modeled changes in water availability within districts (n = 569) over time (n = 13 years) to estimate the impact on suicide deaths. We restricted our analysis to rural areas and to deaths occurring during the growing season (June–March) among adults aged 15 or older, and controlled for sex, age, region, and year. We used Poisson regression with standard errors clustered at the district level and total deaths as the offset. Results: There were 9456 suicides and 249,786 total deaths in our study population between 2001 and 2013. Compared to normal growing seasons, the percent of deaths due to suicide increased by 18.7% during extremely wet growing seasons (95% CI: 6.2, 31.2) and by 3.6% during extremely dry growing seasons (95% CI: −17.9, 25.0). We found that effects varied by age. Conclusions: We found extremes is water availability associated with an increase in suicide. Abnormally wet growing conditions may play an important, yet overlooked, role in suicide among rural Indian adults.",2020,Environmental Research,"Richardson, R.A.; Harper, S.; Weichenthal, S.; Nandi, A.; Mishra, V.; Jha, P.",Embase; PubMed; Scopus,10.1016/j.envres.2020.109969,drought,drought: INCLUDE - SPEI-measured drought exposure linked to suicide via fixed-effects longitudinal design.,"{""drought"":""INCLUDE""}"
D0014835,The effect of temperature on cause-specific mental disorders in three subtropical cities: A case-crossover study in China,"Background: Little is known about the association between ambient temperature and cause-specific mental disorders, especially in subtropical areas. Objective: To investigate the effect of ambient temperature on mental disorders in subtropical cities. Method: Daily morbidity data for mental disorders in three Chinese cities (Shenzhen, Zhaoqing, and Huizhou) were collected from medical record systems of local psychiatric specialist hospitals, covering patients of all ages. Case-crossover design combined with a distributed lag nonlinear model (DLNM) was used to assess the nonlinear and delayed effects of temperatures on five specific mental disorders (affective disorders, anxiety, depressive disorders, schizophrenia, and organic mental disorders), with analyses stratified by gender and age. The temperature of minimum effect was used as the reference value to calculate estimates. Results: We observed inversed J-shaped exposure-response curves between temperature and mental morbidity and observed that low temperatures had a significant and prolonged effect on most types of mental disorders in the three cities. For example, the effect of the cold (2.5th percentile) on anxiety was consistently observed in the three cities with an odds ratio (OR) of 1.29 (95% CI: 1.06–1.57) in Zhaoqing, 1.26 (95% CI: 1.18–1.34) in Shenzhen, and 1.45 (95% CI: 1.17–1.81) in Huizhou. Low temperature was also associated with an increased risk of depressive disorders and schizophrenia. For the high temperature exposure (97.5th percentile), we only observed a significant, harmful effect on anxiety [OR = 1.30 (95% CI: 1.08, 1.58) in Shenzhen, OR = 1.16 (95% CI: 1.00, 1.34) in Zhaoqing], affective disorders [OR = 1.32 (95% CI: 1.08, 1.62) in Shenzhen], and schizophrenia [OR = 1.24 (95% CI: 1.03, 1.48) in Zhaoqing, OR = 1.03 (95% CI: 1.00, 1.06) in Huizhou]. Conclusions: Our study suggests that both low and high temperatures might be important drivers of morbidity from mental disorders, and low temperature may have a more general and wide-spread effect on this cause-specific morbidity than high temperature.",2020,Environment International,"Zhang, S.; Yang, Y.; Xie, X.; Li, H.; Han, R.; Hou, J.; Sun, J.; Qian, Z.M.; Wu, S.; Huang, C.; Howard, S.W.; Tian, F.; Deng, W.; Lin, H.",Embase; PubMed; Scopus,10.1016/j.envint.2020.105938,temperature,temperature: INCLUDE - Case-crossover study of ambient temperature and mental disorder morbidity in three Chinese cities; clearly eligible.,"{""temperature"":""INCLUDE""}"
D0014989,Increased incidence of stress-associated illnesses among elderly after Typhoon Morakot,"Background/Purpose: Typhoon Morakot in August 2009 caused significant damages and health and socio-economic impacts in Taiwan. Therefore, we evaluated the mental health status of adult and patients who lived in the affected area after the disaster. Methods: An observational, prospective population-based study was conducted. Adults living in the affected area were selected as the affected population in the National Health Insurance Database from January 2008 to December 2011. Prevalence and incidence of stress-associated illnesses, such as insomnia, anxiety, depressive, adjustment and mood disorders, post-traumatic stress disorder (PTSD) in the psychiatry department were analysed after the disaster. Results: A total of 897,689 adult patients were studied. Of the affected population without pre-existing chronic mental health illness, the monthly visits for stress-associated illnesses, such as insomnia, anxiety, depressive disorders and PTSD increased about twice after the disaster in elderly and non-elderly groups. Comparing to the non-elderly group, the elderly group has more increased in the incidence of insomnia (356% vs. 318% increase) and depressive disorders (308% vs. 245%) but was affected to a lesser extent increase in the anxiety (269% vs. 307%), PTSD, episodic mood disorders (82% vs. 158%), and adjustment reaction (160% vs. 202%). Conclusion: The mental health statuses of patients who experienced a major natural disaster deteriorated in the elderly population after the disaster. However, we still need pay more attentions on the elderly of the affected population to decrease the risk for insomnia and depressive disorders after the disaster.",2021,Journal of the Formosan Medical Association,"Shih, H.-I.; Chao, T.-Y.; Huang, Y.-T.; Tu, Y.-F.; Wang, J.-D.; Chang, C.-M.",Embase; PubMed; Scopus,10.1016/j.jfma.2020.05.016,cyclone,cyclone: INCLUDE - Prospective population-based study of Typhoon Morakot impact on stress-associated illness incidence in Taiwan.,"{""cyclone"":""INCLUDE""}"
D0015002,Cross sectional analysis of depression amongst Australian rural business owners following cyclone-related flooding,"Background: Flooding is an increasingly prevalent natural hazard worldwide and can have a profound impact on the mental health of those directly and indirectly affected. Little is known about the impact on business owners, who may be particularly vulnerable to the mental health complications of flooding given the additional economic stressors. Methods: A large cross-sectional survey was conducted six months after severe flooding in the rural Northern Rivers region of New South Wales, Australia in 2017. The survey assessed demographics, probable depression (using the Patient Health Questionnaire-2), flood exposure, flood-related financial factors, prior flood exposure and support from various organisations. Logistic regression was used to identify predictors of probable depression in 653 of the 745 participants who identified as business owners. Results: The prevalence of probable depression in our sample was 17.0%. A quarter (25.1%) of business owners whose business was flooded suffered from probable depression, compared to 12.4% of non-flooded business owners. The multivariable model for probable depression demonstrated elevated adjusted odds ratios (AOR) for business owners who had to evacuate their business (AOR = 2.11, 95% Confidence Interval (CI) 1.25-3.57) compared to those who did not evacuate. Insurance disputes/rejections were a strong predictor for probable depression (AOR = 3.76, CI 1.86-7.60). Those whose income was reduced due to the flood and had not returned to normal six months post-flood demonstrated an increased AOR for probable depression (AOR 2.53, CI 1.26-5.07) compared to those whose income had returned to normal. The univariable analysis found elevated crude odds ratios (OR) for the cumulative effect of multiple flood exposures and unmet support needs by the state government (OR = 2.74, CI 1.12-6.68). The majority of business owners felt their needs were not met by most organisations providing flood-related support. Conclusion: The impact of flood exposure and flood-related financial factors on probable depression was highly significant for the business owner population. Furthermore, business owners felt under-supported by flood-related services. These findings highlight the vulnerability of exposed business owners and the need for increased support. Disaster planning programs in conjunction with system level changes such as infrastructure and education are vital for disaster preparedness.",2020,Journal of Occupational Medicine and Toxicology,"Fitzgerald, K.C.; Pit, S.W.; Rolfe, M.; McKenzie, J.; Matthews, V.; Longman, J.; Bailie, R.",Embase; PubMed; Scopus,10.1186/s12995-020-00264-1,flood|cyclone,"flood: INCLUDE - Cross-sectional survey with flood-exposed versus non-exposed business owners measuring probable depression via PHQ-2. | cyclone: EXCLUDE - Study measures flood exposure and depression, not cyclone exposure despite title mention.","{""cyclone"":""EXCLUDE"",""flood"":""INCLUDE""}"
D0015008,"Disaster-related prenatal maternal stress, and childhood HPA-axis regulation and anxiety: The QF2011 Queensland Flood Study","Background: The fetal programming hypothesis suggests that prenatal maternal stress (PNMS) influences aspects of fetal development, such as the Hypothalamic Pituitary Adrenal (HPA) axis, enhancing susceptibility to emotional problems. No study (to our knowledge) has investigated this pathway considering development of preschool anxiety symptoms. Using data from the Queensland Flood study (QF2011), our objective was to determine whether toddler HPA-axis functioning mediated the association between aspects of flood-related PNMS and child anxiety symptoms at 4-years, and whether relationships were moderated by the timing of the stressor in utero or by the child’s sex. Methods: Women, pregnant during the 2011 Queensland floods (N = 230), were recruited soon afterwards and completed questionnaires regarding their objective hardship (e.g., loss of personal property), subjective distress (post-traumatic-like symptoms) and cognitive appraisal of the disaster. At 16 months, indexes of the child’s diurnal cortisol rhythm (awakening response, total daily output, diurnal slope [N = 80]), and stress reactivity (N = 111), were obtained. At 4-years, N = 117 mothers reported on their own mood and their children’s anxiety symptoms; of these, N = 80 also had valid child cortisol reactivity data, and N = 64 had diurnal cortisol rhythm data. Results: A greater cortisol awakening response at 16 months mediated the relationship between subjective PNMS and anxiety symptoms at 4-years. Greater toddler daily cortisol secretion predicted more anxiety symptoms, independent of PNMS. The laboratory stressor did not elicit a cortisol response. PNMS effects were not dependent upon child sex nor on gestational timing of flood exposure. Conclusions: Indexes of diurnal cortisol in toddlerhood may represent vulnerability for anxiety symptoms in preschoolers, both independent of, and following, exposure to disaster-related prenatal maternal subjective distress. (PsycInfo Database Record (c) 2025 APA, all rights reserved) (Source: journal abstract)",2020,Psychoneuroendocrinology,"McLean, Mia A.; Simcock, Gabrielle; Elgbeili, Guillaume; Laplante, David P.; Kildea, Sue; Hurrion, Elizabeth; Lequertier, Belinda; Cobham, Vanessa E.; King, Suzanne",Embase; PsycINFO; PubMed; Scopus,10.1016/j.psyneuen.2020.104716,flood,flood: INCLUDE - Prospective cohort study of prenatal flood-related stress and child anxiety symptoms.,"{""flood"":""INCLUDE""}"
D0015043,"Short-term effect of apparent temperature on daily emergency visits for mental and behavioral disorders in Beijing, China: A time-series study","Background: The relationship between temperature and mental disorders is still unclear. This study aims to assess the short-term effect of apparent temperature (AT) on daily emergency visits of mental and behavioral disorders (MDs) in Beijing, China. Methods: Daily counts of emergency visits related to MDs in Beijing from 2016 to 2018 were obtained. A quasi-Poisson generalized additive model combined with a distributed lag non-linear model (DLNM) was applied to analyze the lag-exposure-response relationship between AT and emergency admissions related to MDs. Sunshine duration, precipitation, PM2.5, SO2, O3, time trend, day of week and holiday were adjusted in the model. Results: Total daily emergency visits for MDs during the study period were 16,606. With the reference of −2.4 °C (temperature with the minimum emergency visit risk), the single day effects of low AT (−8.6 °C, 10th percentile) and high AT (9.2 °C, 90th percentile) on MDs emergency visits reached a relative risk peak of 1.043 (95%CI: 1.017–1.069) on lag day 4 and 1.105 (95%CI: 1.006–1.215) on lag day 1, respectively. The greatest cumulative effect of high AT emerged on lag 0–5 days and reached a relative risk of 1.435 (95%CI: 1.048–1.965), while no significant cumulative effect of low AT was observed. There was a significant effect of high AT on emergency visits of MDs due to psychoactive substance use and male patients. Conclusions: Both low and high AT are demonstrated to be the significant risk factors of MDs, which highlights the need of strengthening the health interventions, patient medical services and early warning for patients.",2020,Science of the Total Environment,"Niu, Y.; Gao, Y.; Yang, J.; Qi, L.; Xue, T.; Guo, M.; Zheng, J.; Lu, F.; Wang, J.; Liu, Q.",Embase; PubMed; Scopus,10.1016/j.scitotenv.2020.139040,temperature,temperature: INCLUDE - Apparent temperature time-series analysis of daily mental disorder emergency visits: eligible.,"{""temperature"":""INCLUDE""}"
