source_row,dedup_id,title,year,journal,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,recommended_action
12,D0000601,Cyclone '78 in Sri Lanka--the mental health trail.,1981,The British journal of psychiatry : the journal of mental science,cyclone,NARRATIVE_ONLY,"The affected population was followed after the 1978 cyclone and morbidity was described through one year, with no pre-cyclone outcome or unaffected temporal counterfactual.",NARRATIVE_ONLY,"Post-disaster longitudinal follow-up of affected population only; no pre-cyclone outcome or unaffected comparison is described, and outcomes are reported as descriptive morbidity/prevalence rather than a quantitative hazard effect with uncertainty.",DO_NOT_ADVANCE_MAIN_META
13,D0000764,Cyclone Tracy and Darwin evacuees: On the restoration of the species,1977,The British Journal of Psychiatry,cyclone,NARRATIVE_ONLY,"Cyclone evacuees were assessed only after the event, and change was judged against a general-population control level rather than a measured pre-event or concurrent counterfactual.",NARRATIVE_ONLY,"Follows 675 Darwin evacuees after Cyclone Tracy with post-event GHQ assessments at initial, 10 weeks, and 14 months; no pre-event baseline or credible unexposed counterfactual, so course/predictor findings are descriptive rather than a hazard effect.",DO_NOT_ADVANCE_MAIN_META
14,D0000781,"The Brisbane floods, January 1974: their impact on health.",1976,The Medical journal of Australia,flood,NARRATIVE_ONLY,"Flooded and non-flooded families were interviewed during the year after the event, but no pre-event psychological outcome was measured and reported changes were retrospective.",NARRATIVE_ONLY,"Flooded vs non-flooded families were interviewed only in the 12 months after the 1974 Brisbane flood, with no pre-flood outcome baseline. This single post-event exposed/unexposed comparison does not provide a credible counterfactual for the causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
15,D0001122,Psychological distress and somatic symptoms after natural disaster: differential vulnerability among older adults.,1990,Psychology and aging,flood,FULLTEXT_REVIEW,"A panel was measured before and after the flood and flood exposure predicted increases in depression and anxiety, but the abstract omits the exposure source and effect estimates with uncertainty.",FULLTEXT_REVIEW,"Panel pre/post flood design suggests temporal counterfactual, but abstract reports no quantitative flood effect/uncertainty and does not specify objective individual flood exposure measurement.",FULLTEXT_REVIEW
16,D0001227,The impact of hurricane hugo and the san francisco earthquake on a sample of people with rheumatoid arthritis,1991,Arthritis Rheumatism,cyclone,FULLTEXT_REVIEW,"The ongoing cohort supplies pre-disaster ratings and a broader comparison sample, but Hurricane Hugo and an earthquake are combined and no hurricane-specific depression estimate or uncertainty is reported.",FULLTEXT_REVIEW,"Abstract reports significantly increased depression from pre- to post-disaster relative to an unaffected cohort, suggesting a quasi-experimental pre/post design, but it gives no quantitative effect size/CI and pools hurricane with earthquake; full text must confirm objective exposure and a hurricane-specific adjusted depression estimate.",FULLTEXT_REVIEW
17,D0001391,The effects of a natural disaster on child behavior: Evidence for posttraumatic stress,1993,American Journal of Public Health,flood,EXCLUDE,"The measured outcomes reported are aggressive behavior and enuresis; the abstract does not report an eligible measured mental-health outcome such as distress, depression, anxiety, or PTSD.",EXCLUDE,"Flood study with pre/post measurements, but outcomes are aggressive behavior and enuresis, not eligible mental-health outcomes; no PTSD, depression, anxiety, or distress measure reported in abstract.",DO_NOT_ADVANCE_MAIN_META
18,D0001404,Post-traumatic stress disorder in adolescents after a hurricane,1993,American Journal of Epidemiology,cyclone,NARRATIVE_ONLY,"Adolescents completed one survey a year after Hurricane Hugo, and the hurricane-exposure odds ratio is based on self-reported post-event exposure without a pre-event outcome.",NARRATIVE_ONLY,Single-wave cross-sectional survey conducted 1 year after Hurricane Hugo; no pre-event baseline or temporal counterfactual; exposure appears self-reported; adjusted OR not a credible hazard effect.,DO_NOT_ADVANCE_MAIN_META
19,D0001472,A test of the social support deterioration model in the context of natural disaster.,1993,Journal of personality and social psychology,flood,FULLTEXT_REVIEW,"Older adults were interviewed before and twice after a flood and disaster stress affected depression, but the abstract does not define the disaster-exposure measure or provide extractable effects and uncertainty.",FULLTEXT_REVIEW,"Prospective pre/post flood design with depression outcome is plausible, but abstract does not specify objective exposure measurement or report a quantitative hazard effect with uncertainty.",FULLTEXT_REVIEW
20,D0001539,Psychological distress of adolescents exposed to Hurricane Hugo,1994,Journal of Traumatic Stress,cyclone,NARRATIVE_ONLY,Students were surveyed once one year after Hurricane Hugo; exposure and distress were measured in the same post-event questionnaire with no pre-event outcome or credible temporal counterfactual.,NARRATIVE_ONLY,"Single-wave post-event survey of adolescents one year after Hurricane Hugo; exposure measured via self-administered questionnaire (self-report), no pre-event baseline or credible counterfactual; reports association only. Not eligible for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
21,D0001554,"Predictors of posttraumatic stress symptoms among survivors of the Oakland/Berkeley, Calif., Firestorm",1994,American Journal of Psychiatry,wildfire,NARRATIVE_ONLY,Participants were recruited after the fire and followed for posttraumatic symptoms; fire contact and immediate reactions were self-reported and no pre-fire mental-health outcome was available.,NARRATIVE_ONLY,"Exposed-only follow-up of firestorm survivors recruited post-event; PTSD measured 7-9 months later with no pre-fire outcome. Variation in contact is self-reported, and analyses predict PTSD from symptoms/life events rather than estimate a hazard effect against a counterfactual.",DO_NOT_ADVANCE_MAIN_META
22,D0001664,Posttraumatic Stress Disorder in Adolescents after Hurricane Andrew,1995,Journal of the American Academy of Child and Adolescent Psychiatry,cyclone,NARRATIVE_ONLY,The telephone survey was conducted once six months after Hurricane Andrew and focused on prevalence and correlates; it has no pre-event outcome or quasi-experimental counterfactual.,NARRATIVE_ONLY,"Six-month post-hurricane cross-sectional telephone survey reporting PTSD prevalence and correlates by age and undesirable events; no pre-event baseline, unexposed counterfactual, or hazard-specific effect estimate with uncertainty. Design unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
23,D0001665,Psychological Effects of Hurricane Andrew on an Elementary School Population,1995,Journal of the American Academy of Child and Adolescent Psychiatry,cyclone,FULLTEXT_REVIEW,"High- and low-impact schools were assessed twice after Hurricane Andrew and pre/post school behavior records were compared, but the abstract does not establish a hazard-effect counterfactual for the mental-health scales or report uncertainty.",NARRATIVE_ONLY,"Relevant cyclone mental-health study, but PTS outcome is measured only at 8 and 32 weeks post-hurricane in HI- vs LO-impact schools; no pre-event PTS baseline or credible counterfactual. Disruptive behavior pre-post is not an eligible mental-health outcome.",ADJUDICATE_PRIORITY
24,D0001807,"Disaster related stresses, depressive signs and symptoms, and suicidal ideation among a multi-racial/ethnic sample of adolescents: A longitudinal analysis",1996,Child Psychology & Psychiatry & Allied Disciplines,cyclone,FULLTEXT_REVIEW,"The longitudinal analysis includes pre-hurricane depression and suicidal ideation and models post-hurricane ideation, but the hurricane-stress measure and effect uncertainty are not described.",NARRATIVE_ONLY,"Abstract uses self-reported 'hurricane generated stresses' as the exposure and describes all participants as exposed to Hurricane Andrew; no objective or externally verifiable hazard variation is used, so it cannot estimate a hazard effect.",ADJUDICATE_PRIORITY
25,D0002034,Children's predisaster functioning as a predictor of posttraumatic stress following Hurricane Andrew.,1998,Journal of consulting and clinical psychology,cyclone,NARRATIVE_ONLY,"Although anxiety was measured before Hurricane Andrew, the hazard contrast is children's self-reported hurricane-related experiences, with no external exposure linkage described.",NARRATIVE_ONLY,"Children self-reported hurricane-related experiences as exposure; PTS measured only postdisaster. Although predisaster anxiety exists, hazard variation is self-reported, so unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
26,D0002149,Suicide after natural disasters,1998,New England Journal of Medicine,flood|cyclone,META_ELIGIBLE,"Officially declared disasters define exposure; county suicide rates over 36 pre- and 48 post-event months are benchmarked against national rates, with flood- and hurricane-specific percentage changes and P values.",META_ELIGIBLE,"Uses U.S. federal disaster declarations as objective exposure; compares 36-month pre-disaster and 48-month post-disaster suicide rates in affected counties, with national rates as comparison. Reports flood and hurricane effects with p-values.",PRIORITY_FULLTEXT
27,D0002175,Post-disaster service provision following proactive identification of children with emotional distress and depression,1999,Australian and New Zealand Journal of Psychiatry,wildfire,NARRATIVE_ONLY,"Children were screened once six months after the bushfire; the paper reports prevalence and associations with self-reported traumatic experiences, without a pre-event outcome.",NARRATIVE_ONLY,"Single-wave post-disaster screening of 601 students 6 months after bushfire; prevalence and correlates of distress/depression only; no unexposed comparison, pre-event baseline, or objective hazard variation. Self-reported evacuation/perceptions are predictors, so no causal hazard effect extractable.",DO_NOT_ADVANCE_MAIN_META
28,D0002368,Natural disaster and depression: A prospective investigation of reactions to the 1993 Midwest floods,2000,American Journal of Community Psychology,flood,FULLTEXT_REVIEW,"The statewide sample was assessed before and after the 1993 floods with control-group comparisons, but the abstract describes only small rises and does not report an effect estimate with uncertainty.",FULLTEXT_REVIEW,"Prospective pre/post flood study with control group and depression outcomes, but abstract does not specify how flood victim/exposure status was assigned (objective vs self-report), and reported effects lack uncertainty. Full text needed to confirm causal design and extraction.",FULLTEXT_REVIEW
29,D0002593,Posttraumatic stress and depressive reactions among Nicaraguan adolescents after Hurricane Mitch,2001,American Journal of Psychiatry,cyclone,NARRATIVE_ONLY,Adolescents were evaluated once six months after Hurricane Mitch across cities and by reported experiences; the post-event exposure gradient lacks a pre-event outcome or credible temporal counterfactual.,NARRATIVE_ONLY,"Six months after Hurricane Mitch, 158 adolescents from three differentially exposed cities were assessed once, with no pre-event outcome. Severity followed a post-event dose-of-exposure pattern across cities, a design without a credible temporal counterfactual.",DO_NOT_ADVANCE_MAIN_META
30,D0002661,Childhood posttraumatic stress disorder and efforts to cope after Hurricane Floyd,2002,Behavioral Medicine,cyclone|flood,NARRATIVE_ONLY,"Children were assessed once six months after Hurricane Floyd, and the exposure contrast was a self-reported flooded home without a pre-event PTSD measure.",NARRATIVE_ONLY,Single-wave survey 6 months post-Hurricane Floyd in affected children; compares self-reported home flooding (flooded vs not) with PTSD symptoms. No pre-event baseline or credible counterfactual; reports prevalence and association only.,DO_NOT_ADVANCE_MAIN_META
31,D0002777,Immune function and affective states following a natural disaster.,2002,Psychological reports,cyclone,NARRATIVE_ONLY,"Students were assessed after Hurricane Andrew and compared by neighborhood damage in a single post-event analysis, with no pre-event affect outcome.",NARRATIVE_ONLY,"Post-event single-time comparison of negative affect between storm-damaged and less damaged neighborhoods after Hurricane Andrew; no pre-event baseline or temporal variation, so cannot estimate causal hazard effect. Damage-severity association only.",DO_NOT_ADVANCE_MAIN_META
32,D0002896,Assessment of exposure to a flood disaster in a mental-health study,2003,Journal of Exposure Analysis and Environmental Epidemiology,flood,NARRATIVE_ONLY,"The study is explicitly cross-sectional five years after the flood; cumulative reported stressors were map-validated, but no pre-event outcome or temporal counterfactual exists.",NARRATIVE_ONLY,Abstract explicitly describes a cross-sectional study 5 years post-flood with retrospective exposure interviews and concurrent PTSD symptoms; no pre-event outcome or credible counterfactual for causal meta-analysis.,DO_NOT_ADVANCE_MAIN_META
33,D0003060,Youth suicide and hurricane Andrew,2003,Journal of the American Academy of Child & Adolescent Psychiatry,cyclone,FULLTEXT_REVIEW,"The abstract only says youth suicides were examined before and after Hurricane Andrew and by proximity; it omits exposure source, analytic design, estimates, and uncertainty.",FULLTEXT_REVIEW,"Abstract states the study examined pre/post prevalence of youth suicides and proximity to Hurricane Andrew impact, but provides no effect estimate, uncertainty, or clear design. Outcome and objective exposure are plausible, but extractability and counterfactual cannot be confirmed from abstract.",FULLTEXT_REVIEW
34,D0003115,"The Course of PTSD, Major Depression, Substance Abuse, and Somatization After a Natural Disaster",2004,Journal of Nervous and Mental Disease,flood,NARRATIVE_ONLY,Survivors were diagnostically assessed at four and 16 months postflood; retrospectively classified predisaster disorders do not supply a prospectively measured pre-event outcome.,NARRATIVE_ONLY,"Flood survivors were assessed only at 4 and 16 months postdisaster; abstract reports prevalence, remission, and comorbidity predictors, with no pre-flood baseline, unexposed comparison, or flood-effect estimate with uncertainty.",DO_NOT_ADVANCE_MAIN_META
35,D0003383,Psychological and psychopathological reactions in Honduras following Hurricane Mitch: implications for service planning.,2005,Revista panamericana de salud publica = Pan American journal of public health,cyclone,NARRATIVE_ONLY,Respondents were assessed once two months after Hurricane Mitch; high/low area impact and reported traumatic events form only a post-event exposure gradient.,NARRATIVE_ONLY,"Single-wave cross-sectional survey two months after Hurricane Mitch compares high- vs low-impact areas, with no pre-event outcome or temporal counterfactual; reports post-event prevalence and group differences only.",DO_NOT_ADVANCE_MAIN_META
36,D0003415,Regional impact of Hurricane Isabel on emergency departments in Coastal Southeastern Virginia,2005,Academic Emergency Medicine,cyclone,FULLTEXT_REVIEW,"Administrative ED visits after Hurricane Isabel are compared with a six-month pre-landfall average, but no modeled counterfactual or uncertainty is reported for psychiatric visits.",NARRATIVE_ONLY,"Abstract reports descriptive ED psychiatric complaint counts before and after Hurricane Isabel (e.g., 13 average daily pre-landfall, 6 on landfall, 10 subsequent days) with percentage changes but no adjusted effect or uncertainty. No credible causal counterfactual for mental-health outcome.",ADJUDICATE_PRIORITY
37,D0003421,Use of mental health services after Hurricane Floyd in North Carolina,2005,Psychiatric Services,cyclone,FULLTEXT_REVIEW,"The study explicitly uses difference-in-differences with severely affected and unaffected counties, but the abstract reports significance without effect magnitudes or uncertainty.",FULLTEXT_REVIEW,"Difference-in-differences with pre-post data and affected vs unaffected counties provides plausible counterfactual. Outcomes are mental health service use. However abstract reports only statistical significance, not effect sizes or confidence intervals, and county classification source is unspecified, so quantitative extractability and exposure verification require full text.",FULLTEXT_REVIEW
38,D0003439,Associations of pre-trauma attributes and trauma exposure with screening positive for PTSD: Analysis of a community-based study of 2085 young adults,2006,Psychological Medicine,wildfire,NARRATIVE_ONLY,"Pre-fire mental health was available, but the hazard contrast consists of retrospectively reported fire experiences, threat, evacuation, and distress without external exposure linkage.",NARRATIVE_ONLY,"Post-bushfire study uses self-reported trauma experiences and reactions as exposure and assesses PTSD symptoms only after the fire, with no pre-event PTSD outcome or credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
39,D0003445,"Inter-annual rainfall variations and suicide in New South Wales, Australia, 1964-2001",2006,International Journal of Biometeorology,drought,FULLTEXT_REVIEW,"Annual precipitation variation is related to suicide over decades and a 300-mm contrast is quantified, but the precipitation source and effect uncertainty are absent.",FULLTEXT_REVIEW,"Abstract reports a statistically significant association between annual precipitation and suicide, with an 8% effect per 300 mm decrease, but does not report uncertainty (CI/SE) or explicitly confirm an adjusted model controlling long-term trends noted as confounders. Full text must verify effect extractability and design.",FULLTEXT_REVIEW
40,D0003490,"Prevalence, risk factors and aging vulnerability for psychopathology following a natural disaster in a developing country",2005,International Journal of Geriatric Psychiatry,cyclone,NARRATIVE_ONLY,"This is a single post-Hurricane Mitch survey comparing reported exposure intensity and psychopathology, without a pre-event outcome or temporal counterfactual.",NARRATIVE_ONLY,"Single-wave post-hurricane cross-sectional survey; outcomes measured only after Hurricane Mitch, no pre-event baseline; high/low exposure comparison is a post-event damage gradient, not a credible counterfactual. Reports prevalence and risk-factor associations, not an extractable causal hazard effect.",DO_NOT_ADVANCE_MAIN_META
41,D0003717,Mental illness and suicidality after Hurricane Katrina,2006,Bulletin of the World Health Organization,cyclone,FULLTEXT_REVIEW,"Independent pre- and post-Katrina regional surveys show quantified prevalence differences, but the abstract does not establish an unaffected control or another credible counterfactual for secular change.",NARRATIVE_ONLY,"Compares two separate cross-sectional samples before and after Hurricane Katrina in the same area; no within-person pre-exposure outcome or contemporaneous control, so lacks credible counterfactual for causal effect.",ADJUDICATE_PRIORITY
42,D0003791,The health effects of flooding: Social research results from England and Wales,2006,Journal of Water and Health,flood,NARRATIVE_ONLY,Residents were interviewed after flooding and compared with at-risk but unflooded residents and the general population; no pre-event outcome was measured.,NARRATIVE_ONLY,"Post-event survey compares flooded residents with at-risk not flooded and general population; no pre-event baseline or credible counterfactual. Reports GHQ-12 prevalence and correlates, not a causal hazard effect.",DO_NOT_ADVANCE_MAIN_META
43,D0003905,An epidemiologic study of posttraumatic stress disorder in flood victims in Hunan China,2006,Canadian Journal of Psychiatry,flood,NARRATIVE_ONLY,The retrospective survey measures PTSD and flood severity once among flood victims; post-event flood-type and severity odds ratios lack a pre-event outcome or temporal counterfactual.,NARRATIVE_ONLY,"Retrospective post-flood survey of PTSD prevalence and risk factors among flood victims only; no pre-event baseline or unexposed comparison, and flood type/severity associations are within-exposed predictors rather than a flood effect with a credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
44,D0003963,Population health effects of air quality changes due to forest fires in British Columbia in 2003: Estimates from physician-visit billing data,2006,Canadian Journal of Public Health,wildfire,FULLTEXT_REVIEW,"Monitored fire PM and weekly physician visits are compared with ten prior years, but the abstract gives no quantitative mental-illness estimate or uncertainty.",FULLTEXT_REVIEW,"Objective PM from monitoring; mental illness physician visits measured; compares weekly rates during fire weeks to 10-year historical baseline, but abstract only states no mental disorder effects were seen, with no numeric estimate or uncertainty for mental health.",FULLTEXT_REVIEW
45,D0004099,Morbidity and mortality during heatwaves in metropolitan Adelaide,2007,Medical Journal of Australia,temperature,META_ELIGIBLE,Administrative outcomes during heatwaves and non-heatwave periods are compared over many years; mental-health admissions increased 7% with a 95% confidence interval.,META_ELIGIBLE,"Case-series comparing heatwave vs non-heatwave periods in Adelaide; reports total mental health admissions increased 7% (95% CI 1%-13%), an eligible psychiatric service use outcome, with objective heatwave exposure and temporal control.",PRIORITY_FULLTEXT
46,D0004110,The August 2003 heat wave in France: effects on psychiatric disorders and suicidal behavior,2008,Presse Medicale,temperature,FULLTEXT_REVIEW,"Psychiatric emergencies during the 2003 heatwave are compared with 2002, but the abstract does not show a modeled temporal counterfactual or effect uncertainty.",NARRATIVE_ONLY,"Abstract compares emergency psychiatric consultations and diagnostic percentages between June-October 2002 and 2003, reporting only prevalence (e.g., suicidal behavior 12.3% vs 25%) and admission proportions without adjusted hazard effects or uncertainty; no credible counterfactual.",ADJUDICATE_PRIORITY
47,D0004267,Relationship between daily suicide counts and temperature in England and Wales,2007,British Journal of Psychiatry,temperature,FULLTEXT_REVIEW,"Daily temperature and suicide are analyzed with time-series regression and percentage effects are reported, but the abstract omits the temperature source, adjustment set, and uncertainty.",FULLTEXT_REVIEW,"Time-series regression of daily temperature and suicide in England/Wales reports hazard-specific effect sizes (3.8%, 5.0%, 46.9% heatwave) but the abstract gives no confidence intervals or standard errors, so extractability of uncertainty is unresolved.",FULLTEXT_REVIEW
48,D0004312,PSTD symptoms in children and adolscents 28 months after a floods: Age and gender differences,2007,Journal of Traumatic Stress,flood,NARRATIVE_ONLY,"Students were assessed once 28 months after the flood, and reported trauma exposure was correlated with PTSD symptoms without a pre-event outcome.",NARRATIVE_ONLY,"Cross-sectional survey of students 28 months after a flood predicting PTSD from degree of trauma exposure; no pre-event baseline or quasi-experimental design, so unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
49,D0004415,Psychiatric disorders among adults seeking emergency disaster assistance after a wildland-urban interface fire.,2007,"Psychiatric services (Washington, D.C.)",wildfire,NARRATIVE_ONLY,Relief seekers were enrolled within days of the fire and followed at three months; exposure items were self-reported and no pre-fire mental-health outcome existed.,NARRATIVE_ONLY,"Three-month follow-up of 357 adults seeking post-wildfire emergency relief; no pre-fire outcome or unexposed comparison. Self-reported fire-exposure, property damage, and injury used as predictors of probable depression/PTSD. Reports prevalence and screener, not a hazard effect.",DO_NOT_ADVANCE_MAIN_META
50,D0004473,"Post-traumatic stress disorder in children and adolescents one year after a super-cyclone in Orissa, India: Exploring cross-cultural validity and vulnerability factors",2007,BMC Psychiatry,cyclone,NARRATIVE_ONLY,Children were examined once one year after the cyclone across high- and low-exposure areas; this post-event area comparison lacks a pre-event outcome.,NARRATIVE_ONLY,"One-year post-cyclone cross-sectional clinical survey comparing high- vs low-exposure areas; reports PTSD prevalence and logistic predictors but has no pre-event outcome or credible counterfactual, only a post-event exposure gradient.",DO_NOT_ADVANCE_MAIN_META
51,D0004481,Predisaster trait anxiety and negative affect predict posttraumatic stress in youths after Hurricane Katrina,2007,Journal of Consulting and Clinical Psychology,cyclone,NARRATIVE_ONLY,"Predisaster traits and symptoms were available, but Katrina exposure is represented by the reported number of hurricane exposure events without external linkage.",EXCLUDE,"Abstract frames predisaster trait anxiety and negative affect, not hurricane exposure, as the main predictors; hurricane exposure events are only a covariate/secondary predictor, so the hazard is not the primary exposure and no extractable hazard effect is reported.",DO_NOT_ADVANCE_MAIN_META
52,D0004505,Swept away: Use of general medical and mental health services among veterans displaced by Hurricane Katrina,2007,American Journal of Psychiatry,cyclone,FULLTEXT_REVIEW,"Adjusted administrative comparisons use the same months in two prior years, but the abstract does not give a separate quantitative effect and uncertainty for mental-health service use.",FULLTEXT_REVIEW,"Hurricane Katrina exposure is objective and mental health service use is eligible, with pre-event 2003-2004 comparison providing temporal counterfactual. However abstract reports quantitative adjusted effect only for any outpatient services; mental-health-specific effect is directional but must be verified in full text.",FULLTEXT_REVIEW
53,D0004649,The effect of heat waves on mental health in a temperate Australian City,2008,Environmental Health Perspectives,temperature,FULLTEXT_REVIEW,"Long-term heatwave and threshold regressions adjust for season and trend, but the abstract gives a 7.3% mental-health admission increase without uncertainty.",FULLTEXT_REVIEW,Population time-series of Adelaide hospital admissions (1993-2006) uses objective ambient temperature and heat-wave periods with Poisson regression controlling season/trend; reports 7.3% increase in mental/behavioral admissions but lacks uncertainty estimates (CI/SE) needed for meta-analysis.,FULLTEXT_REVIEW
54,D0004714,A prospective study on changes in health status following flood disaster,2008,Psychiatry Investigation,flood,FULLTEXT_REVIEW,"Residents had pre-flood SF-36 data and were reassessed after the flood, but depression and PTSD appear measured only postflood and no flood-effect estimate with uncertainty is reported.",NARRATIVE_ONLY,"The abstract reports depression and PTSD only at 18-month follow-up; the pre-flood assessment was SF-36 general health, so no pre-event mental-health baseline. Thus post-flood prevalence and predictor associations are not a hazard effect with a credible counterfactual.",ADJUDICATE_PRIORITY
