dedup_id,duplicate_count,sources,all_dois,all_source_ids,title,abstract,year,journal,authors
D0074826,2,Embase,10.1177/2398212817705279,Embase:L625685991; Embase:L625686069,"Evaluation of factors influencing the relationship between physical activity, the perception of pain and psychological attitudes to pain in humans.","A complex relationship exists between physical activity levels, psychological attitudes to pain and pain perception. In this study, quantitative sensory testing (QST) was utilized before and after acute exercise to determine whether this can modify an individual's pain thresholds. In another study, psychological profiling was undertaken in subjects reporting variable levels of exercise engagement in their normal routine to assess a putative link between physical activity and attitudes to pain. Thermal pain perception pre- or post-exercise was assessed using a QST protocol (Pathway System, MEDOC, Israel) for measurement of hot (HPT) or cold pain CPT) thresholds. Aerobic exercise was with a cycle ergometer (70-75% max heart rate) and isometric exercise used a hand-grip dynamometer (25% of maximum voluntary contraction, 5 repeats). For psychological traits, Fear of Pain (FoP) and Pain Catastrophizing (PC) questionnaires were used with subjects declaring their routine cardio activity levels as never/once per month (p/m); 1-3 times per week (p/w) or >3 times p/w. All protocols had local ethical approval. After isometric exercise, the CPT was significantly lower (20.4oC in control versus 17.4oC with exercise, P<0.05, n=7) - indicative of ongoing hypoalgesia. A hypoalgesic trend was also observed for HPT i.e. a post-exercise increase in HPT although data were not significant (P>0.05). After aerobic exercise, the CPT was significantly lower, indicating induction of hypoalgesia (15.3oC in control versus 4.61oC with exercise, P<0.05, n=6) whereas the HPT was unaltered. With respect to exercise engagement, participants engaged in exercise >3 times p/w showed significantly lower PC scores compared to those with less engagement, for example once p/m (>3 times p/w, mean score = 3.3; once p/m = 17.4; P<0.05, n=39). Similarly for FoP scores, the lowest values were observed in those exercising >3 times p/w. Overall, these preliminary data support the view that bursts of acute physical activity can modify an individual's pain experience, as measured by QST. Furthermore, high levels of physical activity engagement are linked to psychological traits such as low PC and FoP but further studies are needed to establish the existence of a causal link.",2017,Brain and Neuroscience Advances,"Waite, S.; Egginton, S.; Lloyd, D.M.; King, A.E."
D0099739,1,PsycINFO,10.1002/dev.420050409,PsycINFO:615865781,Distress vocalizations of young in three inbred strains of mice,"Recorded the vocalizations of young mice of 3 inbred strains, C57BL/6J, BALB/cJ, and C3H/HeJ, at 3, 6, 9, 12, 15, and 18 days of age. Recordings were made at ambient room temperature (23.5. plus or minus 1.5.C) or under conditions of reduced temperature (2. plus or minus 2.C). Strains differed in terms of rate of signaling, peak frequencies of signals, and average signal duration. Peak frequencies appeared to be genetically coded, and did not vary with age or ambient temperature. In C3H/HeJ and BALB/cJ Ss, reduced ambient temperature extended the age span during which frequent signaling usually occurs, and increased the average signal duration throughout that age span. The C57BL/6J Ss emitted fewer signals under reduced temperature, but also showed an increase in signal duration. Strain differences in age functions of signaling and the differential impact of experience on the various parameters of the vocalizations suggest that these vocalizations may be a useful behavior in monitoring genetic-experiential interactions and developmental rates in young mice (15 ref.) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1972,Developmental Psychobiology,"Nitschke, Werner; Bell, Robert W.; Zachman, Thomas"
D0123227,1,Embase,,Embase:L614895698,Smoking policy in mental health care,"BACKGROUND: People with mental illnesses tend to smoke more often and more heavily than other members of the public and their addiction to tobacco also has harmful effects on their physical health. So far, however, limited priority was given to smoking cessation in mental health care settings. AIM: To provide insight into the formal and informal smoking policies of Dutch mental health care organisations and into the nature and extent of the smoking cessation support they offer, and, additionally, to look at the opportunities for improvement in clinical settings. METHOD: Document research on formal policies of 61 mental health care facilities, interviews with workers directly involved (n = 10), and a survey on policy implementation among staff members of treatment facilities (n = 600). RESULTS: One-third of the facilities did not have a formalised smoking policy document, and there was a marked difference between the smoking policies at the rest of the facilities. Treatment provision was limited, strongly dependent on the individual staff member, and was often not the most effective form of care (like medication). CONCLUSION: Many mental health patients really do want to give up smoking and often respond well to treatment. Psychiatrists play a key role in integrating and implementing an anti-smoking policy which will benefit their patients.",2017,Tijdschrift voor Psychiatrie,"Hopman, P.; Blankers, M.; Dom, G.; Keet, R."
D0018510,1,PubMed,10.1016/j.jad.2022.02.026,PubMed:35157949,Vitamin D3 suppresses astrocyte activation and ameliorates coal dust-induced mood disorders in mice.,"Pneumoconiosis patients exhibit significantly more anxiety and depression than healthy individuals. However, the mechanism of coal dust-induced anxiety and depression remains unclear. A pneumoconiosis mouse model with anxiety- and depression-like behaviors were established after 28 days of exposure to coal dust. Vitamin D3 treatment (1200 IU/kg/week) was administered intraperitoneally for 3 months starting from the first coal exposure. Tail suspension test (TST), open field test (OFT), and elevated plus-maze (EPM) test were used to assess anxiety- and depression-like behaviors. Theserum concentration of 25(OH)D In coal dust-exposed mice, immobility time decreased in OFT and increased in TST,and the frequency of entering the open arm decreased in the EPM compared with the control mice. Coal dust increased hippocampal GFAP expression and astrocyte activation and reduced neurogenic differentiation factor1 expression (NeuroD1). In addition, Vitamin D3 significantly alleviated anxiety- and depressive-like behaviors in TST and EPM test, decreased GFAP expression level, modified hippocampal astrocyte activation pattern, and advanced brain-derived neurotrophic factor (BDNF) distribution and expression in CA1 and CA3 of the hippocampus. Taken together, our results suggest that, by inhibiting the over-activation of astrocytes and increasing BDNF and neuron protection, vitamin D treatment ameliorates coal-dust-induced depressive and anxiety-like behavior, which is the first evidence tha",2022,Journal of affective disorders,Zou Y; Mu M; Zhang S; Li C; Tian K; Li Z; Li B; Wang W; Cao H; Sun Q
D0053053,1,Scopus,10.3390/su16124975,Scopus:2-s2.0-85215969400,The Role of Experiential Quality in a Vegetarian Restaurant from an Eco-Friendly Perspective,"Adopting strategies to reduce meat consumption can help overcome environmental problems associated with meat-based diets, including water scarcity and pollution, soil erosion, and global hunger. Increasing vegetarian diets can result in significant environmental benefits and has been focused on as a way to mitigate environmental changes. Therefore, this study aimed to identify the antecedents affecting customers’ storytelling and subjective well-being in vegetarian restaurants from an eco-friendly perspective. For the surveyed vegetarian restaurants, the four most frequently used by restaurant consumers were selected through a pilot test. Data collection was conducted online through a research company, and a sample of Koreans who responded that visiting at least one of the four selected vegetarian restaurants was selected. Among the 297 questionnaires, a total of 262 valid questionnaires were used for analysis. As a result of the verification, among the respondents, the proportion of women was higher, and the number of individuals in their 20s and 30s who responded was higher than that of people in their 40s and 50s. Affective quality showed the greatest positive influence on experiential quality, followed by physical environmental quality and interaction quality. However, the effects of the outcome quality on the experiential quality were not significant. Additionally, experiential quality was found to have a positive effect on experiential satisfaction, and experiential sat",2024,Sustainability Switzerland,Kim Y.J.
D0067175,1,Embase,10.1016/j.legalmed.2010.11.007,Embase:L51211993,Suicidal and criminal immolations: An 18-year study and review of the literature,"We aimed to examine our autopsy data in order to analyze epidemiological and injury characteristics in criminal and suicidal immolation cases.During the 18-year period, we recorded 29 suicides and three homicides due to fire burns. In suicide group there was a majority of men (gender ratio: 3.1:1) and the mean age was 42.8. years (range 20-72). In the homicide group, the victims were two men and one woman. Their mean age was 44. years (range 39-54). The location of self-immolation was mostly the deceased's car or home and most suicides happened during the evening and the night. The main frequent motives for self-immolation were affective problems, financial problems, or both. One or several flammable fluids, usually petrol or alcohol, were used in 18 suicide cases and in one homicide. The median total body surface area burnt was 79.3% (range 10-100%) in self inflicted group and 83.3% (range 50-100%) in assault group. The sole of the feet was spared in all suicide cases. Blood CO-Hb level was measured in 27 self-immolation cases. It ranged between 1% and 10% in 11 cases and was superior to 10% in the remaining. Twenty-three self-immolation victims and one homicide victim had soot in their respiratory tracts. Soot in the respiratory tracts was associated to soot in the digestive tracts in six cases. Alcohol and drugs intoxication played a minor role. In six cases, the victim associated self incineration with one or more other methods of suicide (complex suicides). The presence of associated trauma raises the problem of vitality and interpretation of the lesions in determining the manner of death. © 2010 Elsevier Ireland Ltd.",2011,Legal Medicine,"Makhlouf, F.; Alvarez, J.-C.; de la Grandmaison, G.L."
D0104900,1,PubMed,,PubMed:14768223,[Relations of German anesthesiology to east European societies of anesthesiology].,"On the occasion of the 50th anniversary of the foundation of the ""German Society of Anaesthesiology"" (DGA)--later called ""German Society of Anaesthesiology and Intensive Care Medicine"" (DGAI)--which was founded on 10 April 1953, and in memory of the foundation of the ""Section of Anaesthesiology"", which was founded in East-Berlin ten years later on 25 October 1963 and later called ""Society of Anaesthesiology and Intensive Therapy of the GDR"" (GAIT), the development of relations between German anaesthetists and anaesthesiological societies in East Europe are described. The limited economic base of the medical-technical and pharmaceutical industries, a chronic lack of hard currencies and economic and political restrictions on travel activities by East German and East European anaesthetists to West European countries resulted in improved contacts between East German and East European anaesthesiological societies. This, in turn, led to the holding of ""International Anaesthesiological Congresses"" of the so-called socialist countries and ""Bilateral Symposia of the Anaesthesiological Societies of Czechoslovakia and the GDR"" and also bilateral meetings of nurses of anaesthesiology and intensive therapy from both countries. These congresses and in particular the ""3rd European Congress of Anaesthesiology"", which was hosted by the ""Czechoslovak Society of Anaesthesiology and Resuscitation"" in Prague in 1970, were of high value for the further development of anaesthesiology in these count",2003,Anaesthesiologie und Reanimation,Benad G
D0091719,1,Embase,10.1111/ajr.13113,Embase:L643880427,"A systematic review of effective local, community or peer-delivered interventions to improve well-being and employment in regional, rural and remote areas of Australia","OBJECTIVE: To systematically review evaluated local, community or peer-delivered well-being and employment interventions delivered within regional, rural and remote Australia. DESIGN: Searches within nine databases retrieved peer-reviewed and grey literature from an initial pool of 3186 papers published between 2012 and 2022. PRISMA guidelines were adhered to, and the Mixed Methods Appraisal Tool (MMAT) was used to assess the quality of the well-being or employment (or both) articles. FINDINGS: A total of 19 items met the inclusion criteria, which included two quantitative, 12 qualitative and five mixed-methods evaluations. Intervention cohorts included Indigenous Australians, youth, older people, workers and the general community. The average methodological rating was 83%. The overall level of evidence for the interventions was low due to mostly descriptive studies. DISCUSSION: Interventions that appeared effective in improving well-being tended to focus on addressing social connectedness and self-determination. Unexpected employment outcomes were evident across many of the studies, which highlighted the reciprocity between well-being and employment. CONCLUSION: This review highlights promising interventions for improving well-being by focusing on social connectedness and self-determination. Further empirical evidence is encouraged to explore the reciprocal relationship between well-being and employment, emphasising the significance of social connectedness and self-determination in this context.",2024,The Australian journal of rural health,"Luke, J.; Bartlett, C.; March, S.; McIlveen, P."
D0049300,1,Scopus,10.3390/en16217334,Scopus:2-s2.0-85176336177,EECO: An AI-Based Algorithm for Energy-Efficient Comfort Optimisation,"Environmental comfort takes a central role in the well-being and health of people. In modern industrial, commercial, and residential buildings, passive energy sources (such as solar irradiance and heat exchangers) and heating, ventilation, and air conditioning (HVAC) systems are usually employed to achieve the required comfort. While passive strategies can effectively enhance the livability of indoor spaces with limited or no energy cost, active strategies based on HVAC machines are often preferred to have direct control over the environment. Commonly, the working parameters of such machines are manually tuned to a fixed set point during working hours or throughout the whole day, leading to inefficiencies in terms of comfort and energy consumption. Albeit effective, previous works that tackle the comfort–energy tradeoff are tailored to the specific environment under study (in terms of geometry, characteristics of the building, etc.) and thus cannot be applied on a large industrial scale. We address the problem from a different angle and propose an adaptive and practical solution for comfort optimisation. It does not require the intervention of expert personnel or any customisations around the environment while it implicitly analyses the influence of different agents (e.g., passive phenomena) on the monitored parameters. A convolutional neural network (CNN) predicts the long-term impact on thermal comfort and energy consumption of a range of possible actuation strategies for t",2023,Energies,Segala G.
D0088247,1,Embase,10.3390/ijerph20176643,Embase:L2025365935,"Unveiling Spatial Associations between COVID-19 Severe Health Index, Racial/Ethnic Composition, and Community Factors in the United States","There are limited efforts to incorporate different predisposing factors into prediction models that account for population racial/ethnic composition in exploring the burden of high COVID-19 Severe Health Risk Index (COVID-19 SHRI) scores. This index quantifies the risk of severe COVID-19 symptoms among a county’s population depending on the presence of some chronic conditions. These conditions, as identified by the Centers for Disease Control and Prevention (CDC), include Chronic Obstructive Pulmonary Disease (COPD), heart disease, high blood pressure, diabetes, and obesity. Therefore, the objectives of this study were (1) to investigate potential population risk factors preceding the COVID-19 pandemic that are associated with the COVID-19 SHRI utilizing non-spatial regression models and (2) to evaluate the performance of spatial regression models in comparison to non-spatial regression models. The study used county-level data for 3107 United States counties, utilizing publicly available datasets. Analyses were carried out by constructing spatial and non-spatial regression models. Majority White and majority Hispanic counties showed lower COVID-19 SHRI scores when compared to majority Black counties. Counties with an older population, low income, high smoking, high reported insufficient sleep, and a high percentage of preventable hospitalizations had higher COVID-19 SHRI scores. Counties with better health access and internet coverage had lower COVID-19 SHRI scores. This study helped to identify the county-level characteristics of risk populations to help guide resource allocation efforts. Also, the study showed that the spatial regression models outperformed the non-spatial regression models. Racial/ethnic inequalities were associated with disparities in the burden of high COVID-19 SHRI scores. Therefore, addressing these factors is essential to decrease inequalities in health outcomes. This work provides the baseline typology to further explore many social, health, economic, and political factors that contribute to different health outcomes.",2023,International Journal of Environmental Research and Public Health,"Al Juboori, R.; Subramaniam, D.S.; Hinyard, L.; Sandoval, J.S.O."
D0091407,1,Embase,10.1007/s10943-024-02074-9,Embase:L644700256,Identifying Variation in Physical Health Behaviors and Depressive Symptoms among Religiosity Clusters of African American Adults in the United States,"Religiosity is an important factor in the lives of many African Americans, who suffer a greater health burden than their White counterparts. In this study, we examined associations between dimensions of religiosity with health behaviors and depressive symptoms in a sample of African American adults in the United States. Participants (N = 2086) completed five measures of religiosity (religious involvement, positive and negative religious coping, scriptural influence, belief in illness as punishment for sin) and measures of several health behaviors, cancer screening behaviors, and depressive symptoms. Using cluster analysis to examine the deep structure of religiosity, three clusters emerged: Positive Religious, Negative Religious, and Low Religious. In general, the Positive Religious group engaged in more healthy behaviors (e.g., fruit and vegetable consumption, fecal occult blood test) and fewer risky health behaviors (e.g., smoke and consume alcohol), and reported fewer depressive symptoms than did the Negative Religious and/or Low Religious groups. Theoretical implications and implications for interventions by clergy and mental health professionals are discussed.",2024,Journal of religion and health,"Clark, E.M.; Ma, L.; Rigdon, S.E.; Williams, B.R.; Park, C.L.; Ghosh, D.; Woodard, N.; Knott, C.L."
D0026356,1,Scopus,10.1046/j.1365-246x.1998.00480.x,Scopus:2-s2.0-0031844327,Three-dimensional seismic structure of the upper mantle beneath the central part of the Eurasian continent,"This work is a study of the upper-mantle seismic structure beneath the central part of the Eurasian continent, including the northern Mongolia, Altai and Sayan orogenic areas and the Baikal rift zone. Seismic velocity models are reconstructed using the inverse teleseismic scheme. This scheme uses information from earthquakes located within the study area recorded by the Worldwide Network. The seismic anomaly structure is obtained for different volumes in the study area that partially overlap one another. Special attention has been paid to the reliability of the results: several noise and resolution comparisons are made. The main results are as follows. (1) A cell structure of anomalies is observed beneath the Altai-Sayan region: positive, cold anomalies correspond to regions of recent orogenesis, negative anomalies are located beneath the depression of the Great Lakes in Mongolia and Hubsugul Lake. (2) A large negative anomaly is observed beneath the Hangai dome in Mongolia. (3) Strong velocity variations are obtained in a zone around Baikal Lake. A large negative anomaly is traced beneath the southern margin of the Siberian craton down to a depth of 700 km. Contrasting positive anomalies (4-5 per cent) are observed at a depth of 100-300 km beneath the Baikal rift. Our geodynamical interpretation of the velocity structure obtained beneath central Asia involves the existence of two processes in the mantle: thermal convection with regular cells, and a narrow plume beneath the s",1998,Geophysical Journal International,Koulakov I.
D0127827,1,Embase,,Embase:LNCT07627893,Complementary Herbal Approach to Rheumatoid Management Study (CHARMS),Brief Summary,2026,clinicaltrials.gov,
