dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic
D0093805,The impact of poor air quality on hospital attendance of multimorbid patients,temperature,yes,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on air pollution, not temperature.""}}"
D0086295,Abstract #1182278: Hyperthyroidism-induced hypercalcemia: Timing of response to treatment in the acute setting,,yes,EXCLUDE (no eligible topic),No climate hazard topics present; mental health signal is unclear.,{}
D0026730,Cold flow and ignition properties of fischer-tropsch fuels,,no,EXCLUDE (no eligible topic),"The record discusses cold flow properties of fuels, not climate hazards.",{}
D0115271,Indicators of genetic damage in alcoholics: Reversibility after alcohol abstinence,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0050477,Disaster stressors and coping with the traumatization of deadliest hurricanes in U.S. Mainland: A follow-up study,cyclone,yes,INCLUDE,cyclone:INCLUDE,"{""cyclone"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links hurricanes to mental health outcomes in volunteers.""}}"
D0127607,Long-term Air Pollution Exposure Is Associated With Increased Severity of Idiopathic Pulmonary Fibrosis in the IPF-PRO Registry,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0066405,Paolo Mantegazza: A paper on the therapeutics effects of coca leaves,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0085853,Influence of Avoidant Coping on Posttraumatic Stress Symptoms and Job Burnout Among Firefighters: The Mediating Role of Perceived Social Support,wildfire,yes,EXCLUDE,wildfire:EXCLUDE,"{""wildfire"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on firefighters but lacks explicit wildfire exposure.""}}"
D0116107,Hydraulic feasibility studies for the design of the Leningrad flood barrier,flood,no,EXCLUDE,flood:EXCLUDE,"{""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on hydraulic studies, not human mental health.""}}"
D0017724,"Quantification of prevalence, clinical characteristics, co-existence, and geographic variations of traditional Chinese medicine diagnostic patterns via latent t",,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0126192,Cognitive impairments and prediction of functional outcome in individuals at clinical high-risk for psychosis,,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the record.,{}
D0065915,Safety of cold-adapted live attenuated influenza vaccine in a large cohort of children and adolescents,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0039490,Potential role for microRNA in regulating hypoxia-induced metabolic suppression in jumbo squids,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0040309,"Regenerative Medicine and Cell Therapy in Orthopedics-Health Policy, Regulatory and Clinical Development, and Market Access",,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0116162,Keep wanderers inside without locking the doors.,,no,EXCLUDE (no eligible topic),No specific hazard topics or mental health signals are present.,{}
D0112717,Role of naturopathy on physical and biochemical parameters in patients with type 2 diabetes mellitus,,no,EXCLUDE (no eligible topic),No climate hazard topics are present in the title or abstract.,{}
D0030644,"Overprotective parenting, social anxiety, and external locus of control: Cross-sectional and longitudinal relationships",,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; mental health is discussed.,{}
D0029280,Environmental influences on hypothalamic-pituitary-thyroid function and behavior in Antarctica,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on physiological measures, not ambient temperature exposure.""}}"
D0051283,Smart Cities and Communities: A case study of agrovoltaic systems applied to an Italian urban periphery,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0066395,Salutogenesis and culture: Personal and community sense of coherence among adolescents belonging to three different cultural groups,wildfire,yes,INCLUDE,wildfire:INCLUDE,"{""wildfire"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links wildfire exposure to stress reactions in adolescents.""}}"
D0121054,Evaluation and treatment of acute low back pain,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0023018,The 2024 South America ablaze: health impacts and policy imperatives for protecting population health in an era of wildfires.,wildfire; drought; temperature,yes,INCLUDE (needs review),wildfire:INCLUDE | drought:EXCLUDE | temperature:INCLUDE,"{""wildfire"": {""decision"": ""INCLUDE"", ""review_flag"": true, ""reason"": ""Discusses health impacts of wildfires, including mental health outcomes.""}, ""drought"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No mental health outcomes reported despite drought mention.""}, ""temperature"": {""decision"": ""INCLUDE"", ""review_flag"": true, ""reason"": ""Links climate change-related heat to health impacts, including mental health.""}}"
D0116751,Effects of cigarette smoking and oral nicotine on hand tremor,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0011674,Antitumor effects of a dual-specific lentiviral vector carrying the Escherichia coli purine nucleoside phosphorylase gene,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on cancer treatment, not mental health.""}}"
D0079570,Impact of the radial versus femoral access for primary percutaneous intervention on smoking cessation rates: A paradoxus between the health related quality of l,,no,EXCLUDE (no eligible topic),No climate hazard topics are present in the title or abstract.,{}
D0020725,Can postanesthetic cold sensibility test be used as a tool for the efficacy of inferior alveolar nerve block in patients with symptomatic irreversible pulpitis ,,yes,EXCLUDE (no eligible topic),The record discusses a cold test but lacks environmental temperature context.,{}
D0025608,Inhibition of photosynthesis in current-year needles of unfertilized and fertilized Norway spruce [Picea abies (L.) Karst.] during autumn and early winter,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0076768,The british society for rheumatology biologics register for ankylosing spondylitis: Characteristics of study participants,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for potential relevance.,{}
D0017434,"Residential greenness and risk of incident dementia: A prospective study of 375,342 participants",,no,EXCLUDE (no eligible topic),No specific climate hazard mentioned; needs human review for relevance.,{}
D0106015,Carbon pricing in New Zealand: Implications for public health,cyclone; flood; temperature,no,EXCLUDE,cyclone:EXCLUDE | flood:EXCLUDE | temperature:EXCLUDE,"{""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No original human empirical data on mental health outcomes.""}, ""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on carbon pricing and health, not on flooding and mental health.""}, ""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No mention of ambient temperature or mental health outcomes.""}}"
D0008071,"Cold summer weather, constrained restoration, and very low birth weight in Sweden",temperature,no,INCLUDE,temperature:INCLUDE,"{""temperature"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links cold summer weather to very low birth weight outcomes.""}}"
D0027485,Imaging of frostbite injury by technetium-99m-sestamibi scintigraphy: A case report,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on frostbite injury, not mental health outcomes.""}}"
D0018487,"Ambient particulate air pollution, blood cell parameters, and effect modification by psychosocial stress: Findings from two studies in three major Chinese citie",,yes,EXCLUDE (no eligible topic),"No specific climate hazard topics are mentioned, but there is a mental health signal.",{}
D0020729,"An analysis of demographic, socio-economic and clinical variables for mental illness and mental illness relapse in south-east nigeria",,yes,EXCLUDE (no eligible topic),"No specific climate hazard mentioned, but mental health is a focus.",{}
D0131318,"Reciprocal changes in reflex activity of the fore limbs induced by post-brachial ""cold-block"" of the spinal cord",,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0021130,Effects of Peroperative Cold Ischemia Time and Anhepatic Phase in Adult Living Donor Liver Transplant Recipients: Operation Time That is Not Affected by the Anh,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0037212,Synaptic deficits at neuromuscular junctions in two mouse models of Charcot–Marie–Tooth Type 2D,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0046378,COP27 Climate Change Conference: urgent action needed for Africa and the world,,no,EXCLUDE (no eligible topic),No specific hazard mentioned in title or abstract.,{}
D0085932,"Leaving the door open: Trauma, updating, and the development of PTSD symptoms",,yes,EXCLUDE (no eligible topic),No specific climate hazard is mentioned in the title or abstract.,{}
D0113706,"International Conference in Information Technology and Education, ICITED 2025",,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0082891,Genome-Wide Identification of Circular RNAs in Response to Low-Temperature Stress in Tomato Leaves,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on plant response to low temperature, not human mental health.""}}"
D0094242,"Evidence-based brief cessation advice plus active referral for emergency department patients who smoke: a single-arm, real-world clinical trial",,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are mentioned in the title or abstract.,{}
D0065019,Current advancements in the treatment of psoriasis: Immunobiologic agents,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; mental health is mentioned.,{}
D0028856,"Oral V2 receptor antagonist (RWJ-351647) in patients with cirrhosis and ascites: A randomized, double-blind, placebo-controlled, single ascending dose study",,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0120121,Pilot Study for the Treatment of Bone Metastases by High Intensity Focused Ultrasound Guided by MRI to Perform Pain Palliation,,no,EXCLUDE (no eligible topic),No specific climate hazard or mental health signal present.,{}
D0084640,Is Mindfulness Associated With Lower Pain Reactivity and Connectivity of the Default Mode Network? A Replication and Extension Study in Healthy and Episodic Mig,,no,EXCLUDE (no eligible topic),No explicit climate hazard topics are present in the title or abstract.,{}
D0099892,Endoplasmic reticulum stress is involved in restraint stress-induced hippocampal apoptosis and cognitive impairments in rats,,no,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0020591,"Predicting health impacts of wildfire smoke in Amazonas basin, Brazil.",wildfire,no,EXCLUDE,wildfire:EXCLUDE,"{""wildfire"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on respiratory health, not mental health outcomes.""}}"
D0011207,Health impact of climate change in older people: An integrative review and implications for nursing,temperature; flood,yes,INCLUDE (needs review),temperature:INCLUDE | flood:INCLUDE,"{""temperature"": {""decision"": ""INCLUDE"", ""review_flag"": true, ""reason"": ""Integrative review discusses heat and mental health outcomes in older people.""}, ""flood"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Floods linked to PTSD, depression, and anxiety in older people.""}}"
D0108371,Non-invasive ventilation in respiratory failure. Indications - methods - limitations,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0104414,PTSD as a result of a natural disaster,flood,yes,INCLUDE,flood:INCLUDE,"{""flood"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links flood exposure to PTSD in victims.""}}"
D0061090,A case report on the use of flooding in stuttering therapy,,yes,EXCLUDE (no eligible topic),"The term 'flooding' refers to a therapeutic technique, not environmental flooding.",{}
D0069380,Electromagnetic field therapy delays cellular senescence and death by enhancement of the heat shock response,,no,EXCLUDE (no eligible topic),No explicit climate hazard topics are present; potential relevance to aging and health.,{}
D0022036,An implementation framework for planning an RSV immunization program for infants using the long-acting monoclonal antibody,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0097116,Factors associated with nutritional status and risk factors of metabolic disorders in persons with multiple sclerosis,,no,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0102224,Nyquil-associated liver injury.,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0081445,Endothermal Heat Induced Thrombosis,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0115674,Community psychiatry in Copenhagen. Referrals during the first four years,,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0029869,Decadal-scale variation in dune erosion and accretion rates: An investigation of the significance of changing storm tide frequency and magnitude on the Sefton c,cyclone,no,EXCLUDE,cyclone:EXCLUDE,"{""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on dune erosion, not on tropical cyclones or mental health.""}}"
D0031460,Decreased rhinovirus shedding after intranasal oxymetazoline application in adults with induced colds compared with intranasal saline,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0129808,Long-Term Depression Is Not Induced by Low-Frequency Stimulation in Rat Visual CortexIn Vivo: A Possible Preventing Role of Endogenous Brain-Derived Neurotrophi,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0105256,Women's experiences of managing mastitis.,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0127825,Comparative Effect of Virtual Reality and Core Stability Exercises in Patients With Non-specific Chronic Low Back Pain,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0075565,Severe central sleep apnea associated with chronic baclofen therapy: A case series,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0087869,PINE SOL: A HEALTHY SNACK OR DEADLY BEVERAGE?,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0087472,Targeting p38 Mitogen Activated Protein Kinase to Ameliorate Pain in SCD,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; mental health signal is related to pain and depression.,{}
D0115574,The CT small bowel faeces sign: Description and clinical significance,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0046000,Urban afforestation and its ecosystem balance contribution: a bibliometric review,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0113558,Prevalence of Self-Reported Postpartum Depressive Symptoms and Related Factors in Women living in Puerto Rico (2017-2020),cyclone,yes,INCLUDE,cyclone:INCLUDE,"{""cyclone"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links postpartum depression to disaster-related stress after Hurricane Maria.""}}"
D0024197,Health-Related Quality of Life in Burn Injury Victims Attending a Specialized Institution.,,yes,EXCLUDE (no eligible topic),No specific climate hazard mentioned; needs human review.,{}
D0039985,GIS-based flash flood risk estimation in urban areas. Kaunas city case study,flood,no,EXCLUDE,flood:EXCLUDE,"{""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on flood risk estimation without human mental health outcomes.""}}"
D0118852,Primary prevention of ischemic stroke: A guideline from the American Heart Association/American Stroke Association Stroke Council: Cosponsored by the Atheroscle,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are mentioned in the title or abstract.,{}
D0025442,"Heat, hostility, and immune function: The moderating effects of gender and demand characteristics",temperature,yes,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on hostility, not an eligible mental health outcome.""}}"
D0118325,Familial idiopathic methaemoglobinaemia. Associated with mental deficiency and neurological abnormalities,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for potential relevance.,{}
D0016373,Clinical characteristics and risk factors of male exertional heatstroke in patients with myocardial injury: an over 10-year retrospective cohort study,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on clinical outcomes rather than mental health.""}}"
D0118378,Is enough care given to prevention of shock after delivery?,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0120944,Biochemical criteria of occupationally related diseases formation in firemen,wildfire,no,EXCLUDE,wildfire:EXCLUDE,"{""wildfire"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on firemen's health, not wildfire exposure.""}}"
D0054073,THE CULTURAL DIMENSIONS OF CLIMATE CHANGE: An African-Indigenous Framework,drought; flood; temperature,no,EXCLUDE,drought:EXCLUDE | flood:EXCLUDE | temperature:EXCLUDE,"{""drought"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No human empirical study linking drought to mental health.""}, ""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on climate change and cultural dimensions, not on human mental health.""}, ""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No mention of ambient temperature or mental health outcomes.""}}"
D0098708,In vivo hippocampal acetylcholine release during exposure to acute stress,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on animal models, not human mental health.""}}"
D0109643,Absinthe: The pharmacological secrets of the green muse,,yes,EXCLUDE (no eligible topic),No climate hazard topics present; mental health issues mentioned.,{}
D0046964,High nutrient loads amplify carbon cycling across California and New York coastal wetlands but with ambiguous effects on marsh integrity and sustainability,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0075160,The prevalence and risk factors of FD among college students in China,,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the record.,{}
D0096175,Association between smoking status and changes in health behaviours during the COVID-19 lockdown: A cross-sectional study in Israel,,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the record.,{}
D0102587,[Hygienic evaluation of the dust factor in the operation of the K-10 experimental coal cutter-loader].,,no,EXCLUDE (no eligible topic),No specific hazard topics or mental health signals are present.,{}
D0024470,Short-term exposure to air pollution and depressive symptoms: Findings from the French CONSTANCES cohort,,yes,EXCLUDE (no eligible topic),No registered hazard topics present; air pollution is not a registered hazard.,{}
D0069863,Plasma fractionation in the world: Current status,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0076043,Cigarette smoke extract: A preclinical model of tobacco dependence,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0026664,"Pain threshold, learning and formation of brain edema in mice lacking the angiotensin II type 2 receptor",,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
