dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic
D0118849,Non neoplastic diseases of the lips,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0033799,Prairie Dog Decline Reduces the Supply of Ecosystem Services and Leads to Desertification of Semiarid Grasslands,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0093763,"Posttraumatic stress disorder, major depression, and mild cognitive impairment: A cohort study of world trade center responders",,yes,EXCLUDE (no eligible topic),"No specific climate hazard mentioned, only mental health outcomes.",{}
D0059233,Branched-chain amino acid focu sed protein quality indicator for sport food formulations: proof-of-concept framework for a “BCAA score” applied to food industry,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0024594,"Impacts of Long-Term High-Temperature and Low-Salinity Stress on the Circadian Rhythms of Antioxidant, Immune, and Endocrine Systems in Turbot (Scophthalmus max",temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on fish, not human mental health.""}}"
D0101575,Effect of insulating existing houses on health inequality: Cluster randomised study in the community,temperature,yes,INCLUDE,temperature:INCLUDE,"{""temperature"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links indoor temperature to self-reported health outcomes.""}}"
D0023427,Effects of menopause on temperature regulation,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on thermoregulation and hot flashes, not ambient temperature.""}}"
D0005230,Survey of staff attitudes to the smoking ban in a medium secure unit.,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0121154,Reliability of questionnaires on smoking on the basis of urine cotinine level,,no,EXCLUDE (no eligible topic),No climate hazard topics are present in the title or abstract.,{}
D0086592,Advances in the Pathophysiology and Management of Supine Hypertension in Patients with Neurogenic Orthostatic Hypotension,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0055476,Sustainable cities: enhancing food systems with urban agriculture,,yes,HUMAN_REVIEW (no topic),"No specific climate hazard topics mentioned, but mental health is referenced.",{}
D0028901,High contents of hypotaurine and thiotaurine in hydrothermal-vent gastropods without thiotrophic endosymbionts,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0032501,Asthma in Pregnancy,,no,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0057638,LANDSCAPE AND CLIMATIC CONDITIONS IN THE EASTERN SAYAN FOOTHILLS IN THE HOLOCENE ACCORDING TO THE STUDY OF THE SOSNOVKA MIRE,wildfire,no,EXCLUDE,wildfire:EXCLUDE,"{""wildfire"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on vegetation and climate, not human mental health.""}}"
D0125752,Effect of Topical Lidocaine on Warm and Cold Sensation in Healthy Individuals - a Randomized Crossover Trial,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0014105,Association of Prenatal Exposure to Air Pollution with Autism Spectrum Disorder,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0083209,"Effect of interferential therapy along with McKenzie extension bias exercises on pain, disability and spinal extensors muscles strength among the patients with ",,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0109983,Recent drought in NE Thailand: Regional vegetation dynamics and NDVI-rainfall relationships,drought,no,EXCLUDE,drought:EXCLUDE,"{""drought"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on vegetation dynamics, not human mental health.""}}"
D0002066,[Hunger and mental illness].,drought,yes,INCLUDE,drought:INCLUDE,"{""drought"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Links drought to mental illness in a human population.""}}"
D0066611,'Macrophage' cannabinoid receptor goes up in smoke,,no,EXCLUDE (no eligible topic),No specific hazard topics or mental health signals are present.,{}
D0008035,Physiological Regulation at 9Months of Age in Infants Prenatally Exposed to Cigarettes,,no,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0126300,Effects of anesthesia recovery nursing combined with heat-preservation nursing on the state of stress and recovery agitation of general anesthesia patients duri,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No eligible ambient temperature exposure reported.""}}"
D0102631,Epidemiology of violent deaths in children and adolescents in the United States.,,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0126192,Cognitive impairments and prediction of functional outcome in individuals at clinical high-risk for psychosis,,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0091378,"Anxiety sensitivity among Black youth: A cross-sectional analysis of the direct and indirect effects of community violence exposure, neighborhood risk, parentin",,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0122643,Cotinine levels in smokers and non-smokers and their risk for depression and adhd,,yes,EXCLUDE (no eligible topic),No registered climate hazard topics are present in the record.,{}
D0020641,Beyond Injuries: February 6th Kahramanmaras Earthquakes and Other Patients Transported by Ambulance,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0066326,The impact of climate change on child health,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0028211,Could the latest generation potassium titanyl phosphate lasers be the ones to make transurethral resection of the prostate an operation of historical interest o,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0038250,Minocycline reduces mechanical allodynia and depressive-like behaviour in type-1 diabetes mellitus in the rat,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; only mental health is mentioned.,{}
D0069909,Smoking motives in the prediction of affective vulnerability among young adult daily smokers,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; mental health is discussed.,{}
D0029770,Controlled donation after cardiac death: a European perspective,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0130362,Adverse emotional reactions of nonsmokers to secondary cigarette smoke,,yes,EXCLUDE (no eligible topic),No registered climate hazard topics are present in the record.,{}
D0126733,Effect of Kinesiotaping on Myofascial Pain Syndrome Post Neck Dissection Surgery,,no,EXCLUDE (no eligible topic),No specific climate hazard or mental health signal present.,{}
D0055179,Offset analgesia as a marker of dysfunctional pain modulation in episodic and chronic migraine,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0002145,Frozen oral hydration as an alternative to conventional enteral fluids.,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0124968,Norepinephrine Boluses for Prevention of Postreperfusion Syndrome in Living Donor Liver Transplantation,,no,EXCLUDE (no eligible topic),No specific climate hazard or mental health topic mentioned.,{}
D0049276,Examining the Predictability of Tropical Cyclogenesis over the East Sea of Vietnam through the Ensemble-Based Data Assimilation System,cyclone,no,EXCLUDE,cyclone:EXCLUDE,"{""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on forecasting, not human mental health.""}}"
D0109457,Dehydration related abdominal pain (DRAP),,no,EXCLUDE (no eligible topic),No explicit climate hazard topics are present in the title or abstract.,{}
D0106725,Non-invasive ventilation in severe asthma attacks,,no,EXCLUDE (no eligible topic),No climate hazard topics are present in the title or abstract.,{}
D0110790,"Symmetrical keratoderma on the palms, soles and elbows associated with acute hepatitis b viral infection",,no,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0070546,Heart attacks triggered by huge mud slides in mountain regions and severe flooding in inhabited areas,flood,no,EXCLUDE,flood:EXCLUDE,"{""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on cardiovascular events, not mental health outcomes.""}}"
D0012905,"Effects of experimental pain induction on alcohol urge, intention to consume alcohol, and alcohol demand",,yes,EXCLUDE (no eligible topic),No climate hazard topics present; study focuses on pain and alcohol consumption.,{}
D0076876,The lingering question of menthol in cigarettes,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0115603,"Coping and personality as predictors of post-traumatic intrusions, numbing, avoidance and general distress: A study of victims of the Perth flood",flood,yes,INCLUDE,flood:INCLUDE,"{""flood"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links flood exposure to trauma symptoms in victims.""}}"
D0068423,"Legalism, countertransference, and clinical moral perception",,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0100271,Hypnotic and non-hypnotic suggestion and skin response in atopic patients,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0003033,Anti-apoptotic proteins are oxidized by Aβ25-35 in Alzheimer's fibroblasts,,no,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0106040,"Analysis of hospitalized burned patients in Bandar Abbass, Iran",temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on burns, not ambient temperature exposure.""}}"
D0036398,Urban and peri-urban forests in the metropolitan area of Rome: Ecophysiological response of Quercus ilex L. in two green infrastructures in an ecosystem service,temperature; drought,no,EXCLUDE,temperature:EXCLUDE | drought:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No link to mental health or wellbeing outcomes.""}, ""drought"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on plant responses, not human mental health.""}}"
D0086303,Coming out under fire: The role of minority stress and emotion regulation in sexual orientation disclosure,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0058632,Research on Transcutaneous Energy Transmission System with Disconnection Countermeasures,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0036197,Prevalence of rhinovirus and respiratory syncytial virus among patients with chronic rhinosinusitis,,no,EXCLUDE (no eligible topic),No climate hazard topics are present in the title or abstract.,{}
D0033881,Ripple marks on cast steel surfaces,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0064812,Good and bad times for treating cigarette smoking in drug treatment,,yes,EXCLUDE (no eligible topic),No climate hazard topics present; mental health signals are related to tobacco use.,{}
D0128434,The Clinical Effects of Using Collagen Matrix in Papilla Augmentation: a Prospective Clinical Trial.,,no,EXCLUDE (no eligible topic),No specific climate hazard or mental health topic is mentioned.,{}
D0029137,Journeying toward the nation(al): Cultural difference at the crossroads of old and new globalisations,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0126800,Neurotoxic consequences of using electronic cigarettes,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0045853,Erratum: The impact of tropical cyclones in premonsoonal season on local convection over the Al-Hajar mountains in Oman during 2007-2018 (Advances in Meteorolog,cyclone,no,EXCLUDE,cyclone:EXCLUDE,"{""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""The abstract does not report on human mental health outcomes.""}}"
D0061982,The effect of intraventricular noradrenaline on plasma unesterified fatty acid concentration in the ox,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on animals, not human mental health.""}}"
D0004373,Katrina-related health concerns of Latino survivors and evacuees,cyclone; flood,no,INCLUDE (needs review),cyclone:INCLUDE | flood:EXCLUDE,"{""cyclone"": {""decision"": ""INCLUDE"", ""review_flag"": true, ""reason"": ""Examines health concerns of Hurricane Katrina survivors, linking to mental health indirectly.""}, ""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No mention of flooding or inundation in the study.""}}"
D0038843,Seismic detection of P-wave velocity structure atop MTZ beneath the Central Tian Shan and Tarim Basin,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0045980,"Overview on Interactive Role of Inflammation, Reactive Oxygen Species, and Calcium Signaling in Asthma, COPD, and Pulmonary Hypertension",,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are mentioned in the title or abstract.,{}
D0050578,Behind climate change: Extreme heat and health cost,temperature,no,INCLUDE,temperature:INCLUDE,"{""temperature"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links extreme heat to health costs but lacks mental health outcomes.""}}"
D0127180,Nutritional Counselling Promoting Adherence to the Mediterranean Diet as Adjuvant in the Treatment of Major Depressive Disorder: A Randomized Open Controlled Tr,,yes,EXCLUDE (no eligible topic),"No specific climate hazard mentioned, needs human review.",{}
D0027505,Can outcome of early synovitis be predicted by serological tests?,,no,EXCLUDE (no eligible topic),No specific hazard topics or mental health signals are present.,{}
D0024900,Acidosis and blockade of orthodromic responses caused by anoxia in rat hippocampal slices at different temperatures.,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on temperature effects in rat hippocampal slices, not human mental health.""}}"
D0119632,MR Image Guided Focal Therapy in Prostate Cancer,,no,EXCLUDE (no eligible topic),No specific climate hazard or mental health signal present.,{}
