dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic,model_name,criteria_version,screened_at
D0127827,Complementary Herbal Approach to Rheumatoid Management Study (CHARMS),,no,EXCLUDE (no eligible topic),No relevant hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:19
D0043441,Urban Sustainability Versus the Impact of Covid-19: A Madrid Case Study,,no,EXCLUDE (no eligible topic),No specific climate hazard mentioned in the title or abstract.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:21
D0120476,Smoked Marijuana Discrimination and Marijuana Choice in Humans: A Laboratory Mode,,no,EXCLUDE (no eligible topic),No relevant hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:23
D0119083,"Motherhood, infancy, and drugs: Clinical issues",,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:25
D0099209,There's more to depression than melancholy,,yes,EXCLUDE (no eligible topic),No climate hazard topics present; focuses on depression.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:27
D0050859,Architecture Transforms the City,,no,EXCLUDE (no eligible topic),"No specific hazard topic is mentioned, but human population is implied.",{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:30
D0089725,Similarities and differences regarding acute anorexia nervosa and semi-starvation: does behavioral thermoregulation play a central role?,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:32
D0085753,Dying to Breathe: Air Pollution Adds Insult to Injury in COVID-19,,no,EXCLUDE (no eligible topic),No specific hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:35
D0125867,Psychological distress among adolescents in lebanon: Results from a national school survey in 2017,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present; focuses on psychological distress.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:37
D0088055,HUMAN METAPNUEUMOVIRUS INDUCED ACUTE RESPIRATORY DISTRESS SYNDROME REQUIRING EXTRACORPOREAL MEMBRANE OXYGENATION,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:39
D0051957,A diagnosis that’s hard to swallow: case report of delayed onset lateral medullary syndrome presenting with only dysphagia,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:41
D0015833,COVID-19 hospitalizations: Another adverse impact of ambient air pollution?,,no,EXCLUDE (no eligible topic),No specific hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:44
D0019519,The Influence of Children's Pain-Related Attention Shifting Ability and Pain Catastrophizing Upon Negatively Biased Pain Memories in Healthy School Children.,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:46
D0107881,"Integration of SCADA and GIS technologies in Jefferson parish, Louisiana",,no,EXCLUDE (no eligible topic),No specific hazard topic is mentioned.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:48
D0075913,Sirtuins Link Inflammation and Metabolism,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:50
D0094373,Effects of bottle gourd moxibustion combined with umbilical therapy for cancer-related incomplete bowel obstruction on inflammatory cytokine levels,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:53
D0097985,Tyrosine prevents effects of hyperthermia on behavior and increases norepinephrine,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study measures behavioral outcomes in rats, not humans.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:58
D0114460,Barbiturate endarteritis of foot,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:00
D0115408,Occupational stress in the ambulance service: a diagnostic study.,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:03
D0066502,Obesity related to smoking and alcohol,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:09
D0065013,Venom immunotherapy - An Australian perspective,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:11
D0017170,Hurricane Florence and suicide mortality in North Carolina: a controlled interrupted time-series analysis,cyclone,yes,INCLUDE,cyclone:INCLUDE,"{""cyclone"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links Hurricane Florence to suicide mortality.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:15
D0130367,Cardiovascular and pain responses to stress in healthy adults and temporomandibular disorder patients,,yes,EXCLUDE (no eligible topic),No specific climate hazard mentioned; mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:18
D0127069,Switching Individuals in Treatment for Opioid Use Disorder Who Smoke Cigarettes to the SREC,,no,EXCLUDE (no eligible topic),No relevant hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:20
D0083129,"Epidemiology of injuries from fire, heat and hot substances: global, regional and national morbidity and mortality estimates from the Global Burden of Disease 2",wildfire; temperature,no,EXCLUDE,wildfire:EXCLUDE | temperature:EXCLUDE,"{""wildfire"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study measures physical injuries, not mental health outcomes.""}, ""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study measures injuries, not mental health outcomes.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:27
D0006492,My disaster recovery: A pilot randomized controlled trial of an internet intervention,cyclone,yes,INCLUDE,cyclone:INCLUDE,"{""cyclone"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links Hurricane Ike exposure to depression and worry outcomes.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:32
D0009123,Nonverbal Reasoning in Preschool Children: Investigating the Putative Risk of Secondhand Smoke Exposure and Attention-Deficit/Hyperactivity Disorder as a Mediat,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present; focuses on secondhand smoke and ADHD.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:34
D0120845,Managing multiple cardiovascular risk factors,,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:37
D0070845,Association between positivity and smoking cessation,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:39
D0081288,Child mortality in Saudi Arabia: Time for action at all levels,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:41
D0011075,GNB3 overexpression causes obesity and metabolic syndrome.,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:43
D0110860,Risk factors for psychiatric disorders in female bundeswehr personnel,,yes,EXCLUDE (no eligible topic),No specific climate hazard mentioned; focuses on psychiatric disorders in military personnel.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:46
D0054074,Pearl Millet Genetic Improvement for Food and Nutrition Security,temperature; drought,no,EXCLUDE,temperature:EXCLUDE | drought:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No measured mental-health outcome reported.""}, ""drought"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No measured mental-health outcome reported.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:52
D0044676,"Statistical Exploration of SENTINEL-1 Data, Terrain Parameters, and in-situ Data for Estimating the Near-Surface Soil Moisture in a Mediterranean Agroecosystem",,no,EXCLUDE (no eligible topic),No eligible hazard topics or mental health signals present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:54
D0063716,"Serotonergic dysfunction in addiction: Effects of alcohol, cigarette smoking and heroin on platelet 5-HT content",,yes,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:56
D0107776,"The vegetation of the maritime sands of the Casamance-country, southern Senegal",,no,EXCLUDE (no eligible topic),No eligible hazard topics or mental health signals present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:12:59
D0005800,Development of disaster pamphlets based on health needs of patients with chronic illnesses.,,yes,EXCLUDE (no eligible topic),"No specific hazard mentioned, but mental health concerns are present.",{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:01
D0111653,Review of randomized control trials with endovenous laser in varices treatment,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:03
D0104413,PTSD as a result of a natural disaster,flood,yes,INCLUDE,flood:INCLUDE,"{""flood"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links flood exposure to PTSD outcomes.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:08
D0069325,Advocacy and the paediatrician,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics or mental health signals present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:10
D0076745,Legal highs: staying on top of the flood of novel psychoactive substances,,yes,EXCLUDE (no eligible topic),No specific climate hazard is mentioned in the title or abstract.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:12
D0021164,Homes Heat Health protocol: An observational cohort study measuring the effect of summer temperatures on sleep quality,temperature,no,INCLUDE (needs review),temperature:INCLUDE,"{""temperature"": {""decision"": ""INCLUDE"", ""review_flag"": true, ""reason"": ""Study measures sleep quality related to summer temperatures.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:16
D0039599,Interactions among polymorphisms of susceptibility loci for Alzheimer’s disease or depressive disorder,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:19
D0044053,"The prevalence of complementary and alternative medicine use in the general population of Babol, North of Iran, 2018",,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:21
D0076183,Drug-induced hyperthermia in critical care,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on drug-induced hyperthermia, not ambient temperature.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:26
D0071024,Could adult female acne be associated with modern life?,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present; focuses on stress and acne.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:28
D0082724,HC2i: Human-computer chemosensory interfaces,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:30
D0061030,Metabolism and bound water in overwintering insects,,no,EXCLUDE (no eligible topic),"Focuses on low-temperature effects in insects, not a human hazard.",{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:33
D0052979,"Global climate change: Effects of future temperatures on emergency department visits for mental disorders in Beijing, China",temperature,yes,INCLUDE,temperature:INCLUDE,"{""temperature"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Links temperature to emergency visits for mental disorders.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:37
D0127658,Investigating the Impact of Acupuncture on the Quality of Life of Primitive Headaches Patients,,no,EXCLUDE (no eligible topic),No eligible hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:39
D0025710,Effects of the neonatal vitamin A exposure on behaviors of adult rats,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:42
D0025360,"Yangtze delta, eastern China: 1. Geometry and subsidence of Holocene depocenter",,no,EXCLUDE (no eligible topic),No specific hazard topics identified in the record.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:44
D0046278,Research and design of broadband muffler based on second-order Helmholtz resonators,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:46
D0120536,Efficacy of the terminal complement inhibitor eculizumab used chronically in a patient with cold agglutinin disease,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:49
D0061734,The response of lucerne cultivars to levels of waterlogging,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics or mental health signals present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:51
D0009938,Safety and Utility of Quantitative Sensory Testing among Adults with Sickle Cell Disease: Indicators of Neuropathic Pain?,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:53
D0077554,Exhaled carbon monoxide levels in forty resistant to cessation male smokers after six months of full switch to electronic cigarettes (E-cigs) or to a tobacco he,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics identified.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:56
D0072384,Attention-deficit/hyperactivity disorder: A preventable epidemic?,,no,EXCLUDE (no eligible topic),No specific hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:13:58
D0010964,Modern Intermittent Haemodialysis (IHD) is an Effective Method of Removing Salicylate in Chronic Topical Salicylate Toxicity.,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:00
D0061373,Investigation of freezing of salt solutions in cells,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:03
D0001132,Markers of serious illness in infants under 6 months old presenting to a children's hospital.,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:05
D0129713,Program Prioritization to Control Chronic Diseases in African-American Faith-Based Communities,,no,EXCLUDE (no eligible topic),No eligible hazard topics or mental health signals present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:08
D0107224,Treatments for Basal Cell and Squamous Cell Carcinoma of the Skin,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:10
D0073161,A case of Susac's syndrome in a Chinese male,,no,EXCLUDE (no eligible topic),No relevant hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:12
D0020934,Population-level effects of Hurricane Sandy on adolescent health,cyclone,yes,EXCLUDE,cyclone:EXCLUDE,"{""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No measured mental health outcomes reported.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:16
D0062320,Studies on dew formation under semi-arid conditions,,no,EXCLUDE (no eligible topic),No eligible hazard topics or mental health signals present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:18
D0119458,Sulforaphane-rich Broccoli Sprout Extract for Autism,,no,EXCLUDE (no eligible topic),No eligible hazard topics or mental health signals present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:21
D0092674,"Association of hemoglobin, albumin, lymphocyte, and platelet score with risk of all-cause and cause-specific mortality among cancer survivors: NHANES 1999-2018",,no,EXCLUDE (no eligible topic),No relevant climate hazard topics identified.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:23
D0046156,Forging compromiso after the storm: activism as ethics of care among health care workers in Puerto Rico,cyclone,yes,EXCLUDE,cyclone:EXCLUDE,"{""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No measured mental-health outcomes reported.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:27
D0130059,Crisis preparedness of leadership behaviors among governors during Hurricanes,cyclone,no,EXCLUDE,cyclone:EXCLUDE,"{""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on leadership behaviors, not mental health outcomes.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:32
D0113306,Seafarers' welfare under the maritime labour convention of 2006,,yes,EXCLUDE (no eligible topic),"No specific hazard topics mentioned, but mental health concerns are present.",{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:34
D0045548,Influence of planes of anisotropy on physical and mechanical properties of freshwater limestone (Mudstone),,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:36
D0069101,Treatment of low strength complex wastewater using an anaerobic baffled reactor (ABR),,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:38
D0115893,Serum nicotine and cotinine levels during nicotine-patch therapy,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:40
D0008034,"Association between Ambient Temperature and Acute Myocardial Infarction Hospitalisations in Gothenburg, Sweden: 1985-2010",temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Outcome is related to cardiovascular disease, not mental health.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:45
D0014748,Benefit and Risk Evaluation of Biased μ-Receptor Agonist Oliceridine versus Morphine,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:48
D0130934,Hospital fires: Preparing staff before one starts,,no,EXCLUDE (no eligible topic),No specific hazard topic is present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:50
D0105893,[Micro-scale soil characteristics in salinization area of Songnen plain].,,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:52
D0031121,Uniformed rescue workers responding to disaster,,yes,HUMAN_REVIEW (no topic),"No specific hazard mentioned, but mental health concerns are present.",{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:55
D0002505,Abuse of Coricidin HBP Cough & Cold tablets: Episodes recorded by a poison center,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present; focuses on substance abuse and mental health.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:14:57
D0017866,Incidence and factors impacting PTSD following the 2005 Eyre Peninsula bushfires in South Australia – A 7 year follow up study,wildfire,yes,INCLUDE,wildfire:INCLUDE,"{""wildfire"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links bushfire exposure to PTSD outcomes.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:15:01
D0094296,Olfactorymarkers using ScentAware in LMICs,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:15:04
