dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic,model_name,criteria_version,screened_at
D0074826,"Evaluation of factors influencing the relationship between physical activity, the perception of pain and psychological attitudes to pain in humans.",,no,EXCLUDE (no eligible topic),No mention of climate hazard; study on exercise and pain perception.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:34:11
D0099739,Distress vocalizations of young in three inbred strains of mice,,no,EXCLUDE (no eligible topic),Laboratory animal study; no human population or climate hazard exposure.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:34:15
D0123227,Smoking policy in mental health care,,no,EXCLUDE (no eligible topic),No climate hazard mentioned; focuses on smoking policy in mental health care.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:34:20
D0018510,Vitamin D3 suppresses astrocyte activation and ameliorates coal dust-induced mood disorders in mice.,,yes,EXCLUDE (no eligible topic),Coal dust exposure in mice; no climate hazard.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:34:23
D0053053,The Role of Experiential Quality in a Vegetarian Restaurant from an Eco-Friendly Perspective,,no,EXCLUDE (no eligible topic),No mention of climate hazard; unrelated to climate and mental health.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:34:30
D0067175,Suicidal and criminal immolations: An 18-year study and review of the literature,,yes,EXCLUDE (no eligible topic),Self-immolation by fire in suicide/homicide; no environmental hazard exposure.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:34:34
D0104900,[Relations of German anesthesiology to east European societies of anesthesiology].,,no,EXCLUDE (no eligible topic),No mention of climate hazards or mental health; historical anesthesiology relations.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:34:38
D0091719,"A systematic review of effective local, community or peer-delivered interventions to improve well-being and employment in regional, rural and remote areas of Au",,yes,EXCLUDE (no eligible topic),No climate hazard mentioned; focuses on general well-being and employment interventions.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:34:51
D0049300,EECO: An AI-Based Algorithm for Energy-Efficient Comfort Optimisation,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal; indoor thermal comfort optimization.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:34:55
D0088247,"Unveiling Spatial Associations between COVID-19 Severe Health Index, Racial/Ethnic Composition, and Community Factors in the United States",,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal mentioned.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:34:58
D0091407,Identifying Variation in Physical Health Behaviors and Depressive Symptoms among Religiosity Clusters of African American Adults in the United States,,yes,EXCLUDE (no eligible topic),No climate hazard mentioned; study focuses on religiosity and health behaviors.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:35:02
D0026356,Three-dimensional seismic structure of the upper mantle beneath the central part of the Eurasian continent,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal present.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:35:05
D0127827,Complementary Herbal Approach to Rheumatoid Management Study (CHARMS),,no,EXCLUDE (no eligible topic),No climate hazard or mental health topic present.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:35:08
D0043441,Urban Sustainability Versus the Impact of Covid-19: A Madrid Case Study,,no,EXCLUDE (no eligible topic),No climate hazard exposure; focus is on Covid-19 and urban density.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:35:13
D0120476,Smoked Marijuana Discrimination and Marijuana Choice in Humans: A Laboratory Mode,,no,EXCLUDE (no eligible topic),No mention of any climate hazard; record is about marijuana discrimination in humans.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:35:16
D0119083,"Motherhood, infancy, and drugs: Clinical issues",,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal; focuses on prenatal drug exposure.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:35:20
D0099209,There's more to depression than melancholy,,yes,EXCLUDE (no eligible topic),No climate hazard mentioned; record is about depression in a psychological context.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:35:24
D0050859,Architecture Transforms the City,,no,EXCLUDE (no eligible topic),No specific climate hazard or mental health outcome; topic is architecture.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:35:38
D0089725,Similarities and differences regarding acute anorexia nervosa and semi-starvation: does behavioral thermoregulation play a central role?,,yes,EXCLUDE (no eligible topic),No environmental hazard exposure; focuses on body temperature regulation in anorexia.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:35:41
D0085753,Dying to Breathe: Air Pollution Adds Insult to Injury in COVID-19,,no,EXCLUDE (no eligible topic),"Title only mentions air pollution, no climate hazard or mental health signal.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:35:47
D0125867,Psychological distress among adolescents in lebanon: Results from a national school survey in 2017,,yes,EXCLUDE (no eligible topic),No climate hazard topic mentioned; purely about psychological distress correlates.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:35:59
D0088055,HUMAN METAPNUEUMOVIRUS INDUCED ACUTE RESPIRATORY DISTRESS SYNDROME REQUIRING EXTRACORPOREAL MEMBRANE OXYGENATION,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal present.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:03
D0051957,A diagnosis that’s hard to swallow: case report of delayed onset lateral medullary syndrome presenting with only dysphagia,,no,EXCLUDE (no eligible topic),No climate hazard mentioned; case report of lateral medullary syndrome.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:06
D0015833,COVID-19 hospitalizations: Another adverse impact of ambient air pollution?,,no,EXCLUDE (no eligible topic),"Title and abstract discuss ambient air pollution, not any of the five hazard topics.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:10
D0019519,The Influence of Children's Pain-Related Attention Shifting Ability and Pain Catastrophizing Upon Negatively Biased Pain Memories in Healthy School Children.,,no,EXCLUDE (no eligible topic),No hazard exposure; laboratory heat stimulus not ambient temperature.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:15
D0107881,"Integration of SCADA and GIS technologies in Jefferson parish, Louisiana",flood,no,EXCLUDE,flood:EXCLUDE,"{""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on SCADA/GIS flood infrastructure; no mental health outcome.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:23
D0075913,Sirtuins Link Inflammation and Metabolism,,no,EXCLUDE (no eligible topic),No hazard or mental health signal; discusses sirtuins and inflammation only.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:26
D0094373,Effects of bottle gourd moxibustion combined with umbilical therapy for cancer-related incomplete bowel obstruction on inflammatory cytokine levels,,no,EXCLUDE (no eligible topic),No hazard topic present; record is about moxibustion for cancer bowel obstruction.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:30
D0097985,Tyrosine prevents effects of hyperthermia on behavior and increases norepinephrine,,no,EXCLUDE (no eligible topic),Animal study on hyperthermia; no human population or ambient temperature exposure.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:35
D0114460,Barbiturate endarteritis of foot,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal present.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:39
D0115408,Occupational stress in the ambulance service: a diagnostic study.,,yes,EXCLUDE (no eligible topic),No mention of climate hazard; focuses on occupational stress in ambulance service.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:52
D0066502,Obesity related to smoking and alcohol,,no,EXCLUDE (no eligible topic),"No climate hazard or mental health outcome mentioned; focuses on obesity, smoking, alcohol.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:55
D0065013,Venom immunotherapy - An Australian perspective,,no,EXCLUDE (no eligible topic),No climate hazard topic; focuses on insect venom immunotherapy.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:36:58
D0017170,Hurricane Florence and suicide mortality in North Carolina: a controlled interrupted time-series analysis,cyclone,yes,INCLUDE,cyclone:INCLUDE,"{""cyclone"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Hurricane Florence linked to suicide mortality in NC time-series study.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:37:07
D0130367,Cardiovascular and pain responses to stress in healthy adults and temporomandibular disorder patients,,yes,EXCLUDE (no eligible topic),"Record is about pain and cardiovascular responses to stress, no climate hazard mentioned.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T09:30:09
D0127069,Switching Individuals in Treatment for Opioid Use Disorder Who Smoke Cigarettes to the SREC,,no,EXCLUDE (no eligible topic),No climate hazard mentioned; focus is on opioid treatment and smoking cessation.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:37:44
D0083129,"Epidemiology of injuries from fire, heat and hot substances: global, regional and national morbidity and mortality estimates from the Global Burden of Disease 2",,no,EXCLUDE (no eligible topic),"Injuries from fire and hot substances, not ambient temperature exposure.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:37:49
D0006492,My disaster recovery: A pilot randomized controlled trial of an internet intervention,cyclone,yes,INCLUDE,cyclone:INCLUDE,"{""cyclone"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""RCT of internet intervention for Hurricane Ike survivors, measuring worry and depression.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:37:57
D0009123,Nonverbal Reasoning in Preschool Children: Investigating the Putative Risk of Secondhand Smoke Exposure and Attention-Deficit/Hyperactivity Disorder as a Mediat,,no,EXCLUDE (no eligible topic),No climate hazard topic; exposure is secondhand smoke.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:38:01
D0120845,Managing multiple cardiovascular risk factors,,no,EXCLUDE (no eligible topic),No climate hazard or mental health content.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:38:06
D0070845,Association between positivity and smoking cessation,,no,EXCLUDE (no eligible topic),No mention of any climate hazard; record focuses on smoking cessation and positivity.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:38:10
D0081288,Child mortality in Saudi Arabia: Time for action at all levels,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal present; child mortality causes unrelated to climate.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:38:14
D0011075,GNB3 overexpression causes obesity and metabolic syndrome.,,yes,EXCLUDE (no eligible topic),No environmental hazard exposure; animal study; mental health signal but no human population.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:38:20
D0110860,Risk factors for psychiatric disorders in female bundeswehr personnel,,yes,EXCLUDE (no eligible topic),No climate hazard mentioned; focuses on military deployment stress,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:38:23
D0054074,Pearl Millet Genetic Improvement for Food and Nutrition Security,,no,EXCLUDE (no eligible topic),Crop science record; no human hazard exposure or mental health outcome.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:38:27
D0044676,"Statistical Exploration of SENTINEL-1 Data, Terrain Parameters, and in-situ Data for Estimating the Near-Surface Soil Moisture in a Mediterranean Agroecosystem",,no,EXCLUDE (no eligible topic),"No hazard topic, mental health, or human population signal present.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:38:30
D0063716,"Serotonergic dysfunction in addiction: Effects of alcohol, cigarette smoking and heroin on platelet 5-HT content",,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal present.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:38:35
D0107776,"The vegetation of the maritime sands of the Casamance-country, southern Senegal",,no,EXCLUDE (no eligible topic),No mention of climate hazards or human mental health.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:38:37
D0005800,Development of disaster pamphlets based on health needs of patients with chronic illnesses.,cyclone,yes,EXCLUDE,cyclone:EXCLUDE,"{""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Pamphlet development study; no empirical mental health outcome data.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:38:59
D0111653,Review of randomized control trials with endovenous laser in varices treatment,,no,EXCLUDE (no eligible topic),No hazard or mental health signal; topic is medical procedure for varicose veins.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:39:03
D0104413,PTSD as a result of a natural disaster,flood,yes,INCLUDE (needs review),flood:INCLUDE,"{""flood"": {""decision"": ""INCLUDE"", ""review_flag"": true, ""reason"": ""Review of PTSD diagnosis in flood victims; eligible exposure and outcome.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:39:22
D0069325,Advocacy and the paediatrician,,no,EXCLUDE (no eligible topic),No hazard or mental health signal; focuses on paediatric advocacy training.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:39:26
D0076745,Legal highs: staying on top of the flood of novel psychoactive substances,,unclear,EXCLUDE (no eligible topic),No climate hazard topic present; 'flood' is metaphorical.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:39:33
D0021164,Homes Heat Health protocol: An observational cohort study measuring the effect of summer temperatures on sleep quality,temperature,yes,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Outcome is sleep quality, not an eligible mental health/wellbeing outcome.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:39:42
D0039599,Interactions among polymorphisms of susceptibility loci for Alzheimer’s disease or depressive disorder,,yes,EXCLUDE (no eligible topic),No hazard topic mentioned; genetic study on depression and Alzheimer's.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:39:45
D0044053,"The prevalence of complementary and alternative medicine use in the general population of Babol, North of Iran, 2018",,no,EXCLUDE (no eligible topic),No climate hazard or mental health topic mentioned; study on CAM use only.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:39:50
D0076183,Drug-induced hyperthermia in critical care,,no,EXCLUDE (no eligible topic),"Drug-induced hyperthermia is clinical, not environmental temperature exposure.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:39:55
D0071024,Could adult female acne be associated with modern life?,,yes,EXCLUDE (no eligible topic),"No mention of any climate hazard; focuses on acne, stress, and sleep.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:39:59
D0082724,HC2i: Human-computer chemosensory interfaces,,no,EXCLUDE (no eligible topic),No environmental hazard exposure or mental health signal; discusses chemosensory interfaces.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:02
D0061030,Metabolism and bound water in overwintering insects,,no,EXCLUDE (no eligible topic),No human population or ambient temperature exposure; insect physiology study.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:07
D0052979,"Global climate change: Effects of future temperatures on emergency department visits for mental disorders in Beijing, China",temperature,yes,INCLUDE,temperature:INCLUDE,"{""temperature"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study examines daily temperature and mental disorder ED visits, projecting future burden.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:14
D0127658,Investigating the Impact of Acupuncture on the Quality of Life of Primitive Headaches Patients,,no,EXCLUDE (no eligible topic),No hazard topic or mental health signal present.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:19
D0025710,Effects of the neonatal vitamin A exposure on behaviors of adult rats,,no,EXCLUDE (no eligible topic),Animal study on vitamin A; no climate hazard or mental health signal.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:22
D0025360,"Yangtze delta, eastern China: 1. Geometry and subsidence of Holocene depocenter",,no,EXCLUDE (no eligible topic),No explicit climate hazard or mental health signal; geological study of subsidence.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:27
D0046278,Research and design of broadband muffler based on second-order Helmholtz resonators,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal; acoustic engineering study only.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:30
D0120536,Efficacy of the terminal complement inhibitor eculizumab used chronically in a patient with cold agglutinin disease,,no,EXCLUDE (no eligible topic),No climate hazard; clinical treatment for cold agglutinin disease.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:35
D0061734,The response of lucerne cultivars to levels of waterlogging,,no,EXCLUDE (no eligible topic),"Record about plant waterlogging, no human hazard or mental health signal.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:39
D0009938,Safety and Utility of Quantitative Sensory Testing among Adults with Sickle Cell Disease: Indicators of Neuropathic Pain?,,no,EXCLUDE (no eligible topic),No climate hazard mentioned; study about pain mechanisms in sickle cell disease.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:44
D0077554,Exhaled carbon monoxide levels in forty resistant to cessation male smokers after six months of full switch to electronic cigarettes (E-cigs) or to a tobacco he,,no,EXCLUDE (no eligible topic),No climate hazard or mental health mention; smoking cessation study.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:47
D0072384,Attention-deficit/hyperactivity disorder: A preventable epidemic?,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal detected.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:52
D0010964,Modern Intermittent Haemodialysis (IHD) is an Effective Method of Removing Salicylate in Chronic Topical Salicylate Toxicity.,,no,EXCLUDE (no eligible topic),No climate hazard topic present; record is about salicylate poisoning from topical gel.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:40:57
D0061373,Investigation of freezing of salt solutions in cells,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:41:00
D0001132,Markers of serious illness in infants under 6 months old presenting to a children's hospital.,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal; purely clinical study.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:41:03
D0129713,Program Prioritization to Control Chronic Diseases in African-American Faith-Based Communities,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal; chronic disease program prioritization.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:41:07
D0107224,Treatments for Basal Cell and Squamous Cell Carcinoma of the Skin,,yes,EXCLUDE (no eligible topic),No climate hazard mentioned; record is about skin cancer treatments.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:41:13
D0073161,A case of Susac's syndrome in a Chinese male,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal; record is about Susac's syndrome.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:41:17
D0020934,Population-level effects of Hurricane Sandy on adolescent health,cyclone,yes,INCLUDE,cyclone:INCLUDE,"{""cyclone"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Hurricane Sandy impact on adolescent sadness and suicidality.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:41:25
D0062320,Studies on dew formation under semi-arid conditions,,no,EXCLUDE (no eligible topic),No mention of climate hazard or mental health; focuses on dew formation in semi-arid conditions.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:41:30
D0119458,Sulforaphane-rich Broccoli Sprout Extract for Autism,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal present.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:41:35
D0092674,"Association of hemoglobin, albumin, lymphocyte, and platelet score with risk of all-cause and cause-specific mortality among cancer survivors: NHANES 1999-2018",,no,EXCLUDE (no eligible topic),No mention of any climate hazard or mental health signal; record is about cancer mortality and HALP score.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:41:41
D0046156,Forging compromiso after the storm: activism as ethics of care among health care workers in Puerto Rico,cyclone,unclear,EXCLUDE,cyclone:EXCLUDE,"{""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No measured mental health outcome; focuses on ethics of care and activism.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:41:52
D0130059,Crisis preparedness of leadership behaviors among governors during Hurricanes,cyclone,yes,EXCLUDE,cyclone:EXCLUDE,"{""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study on leadership behaviors, not measured mental health outcome.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:42:04
D0113306,Seafarers' welfare under the maritime labour convention of 2006,,yes,EXCLUDE (no eligible topic),"Heat exposure is occupational, not ambient/climate; no eligible hazard topic.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:42:09
D0045548,Influence of planes of anisotropy on physical and mechanical properties of freshwater limestone (Mudstone),,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal present.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:42:12
D0069101,Treatment of low strength complex wastewater using an anaerobic baffled reactor (ABR),,no,EXCLUDE (no eligible topic),No mention of any climate hazard or mental health outcome.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:42:16
D0115893,Serum nicotine and cotinine levels during nicotine-patch therapy,,no,EXCLUDE (no eligible topic),No climate hazard or mental health signal in title or abstract.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:42:20
D0008034,"Association between Ambient Temperature and Acute Myocardial Infarction Hospitalisations in Gothenburg, Sweden: 1985-2010",temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Outcome is physical (AMI hospitalisations), not mental health.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:42:27
D0014748,Benefit and Risk Evaluation of Biased μ-Receptor Agonist Oliceridine versus Morphine,,no,EXCLUDE (no eligible topic),No climate hazard or mental health topic present.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:42:30
D0130934,Hospital fires: Preparing staff before one starts,,no,EXCLUDE (no eligible topic),"Only discusses hospital fire safety training, not a climate hazard.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:42:34
D0105893,[Micro-scale soil characteristics in salinization area of Songnen plain].,,no,EXCLUDE (no eligible topic),No hazard or mental health signal; soil science study unrelated to climate hazards.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:42:38
