dedup_id,title,year,journal,candidate_topics,ai_suggestion_v3,ai_reason_v3,rater_a,rater_b,rater_c,rater_a_note,rater_b_note,rater_c_note
D0013090,Coping strategies and psychological symptoms among children on St. Thomas in the aftermath of Hurricanes Irma and Maria,2020,Journal of Traumatic Stress,cyclone,EXCLUDE,"cyclone: EXCLUDE [wrong_design] - Single post-hurricane assessment at 3 months; cross-sectional, no within-unit pre-post comparison.",EXCLUDE,EXCLUDE,,,,
D0013153,Effects of gentrification on health status after Hurricane Katrina,2020,Health & Place,cyclone,INCLUDE,cyclone: INCLUDE - Longitudinal natural experiment after Hurricane Katrina measures psychological distress before/after displacement.,EXCLUDE,INCLUDE,,,,
D0013514,Preventing chemotherapy-induced alopecia: a prospective clinical trial on the efficacy and safety of a scalp-cooling system in early breast cancer patients treated with anthracyclines,2019,British Journal of Cancer,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0015043,"Short-term effect of apparent temperature on daily emergency visits for mental and behavioral disorders in Beijing, China: A time-series study",2020,Science of the Total Environment,temperature,INCLUDE,"temperature: INCLUDE - Time-series study links apparent temperature to daily psychiatric emergency visits, an eligible outcome.",INCLUDE,INCLUDE,,Time series works!,,
D0015347,"The examination of mental toughness, sleep, mood and injury rates in an Arctic ultra-marathon",2021,European journal of sport science,temperature,INCLUDE,temperature: INCLUDE - Repeated-measures study of mood across days in cold Arctic ultramarathon; temperature exposure and mood outcome present.,,REVIEW,EXCLUDE,,,
D0015366,The association between general and pathological dissociation and disaster-related psychopathology in directly exposed survivors,2020,Psychiatry: Interpersonal and Biological Processes,flood; wildfire,REVIEW,"flood: ERROR | wildfire: EXCLUDE [wrong_outcome] - Measured outcome is dissociation, not an eligible mental-health/wellbeing outcome; PTSD is only a covariate.",EXCLUDE,REVIEW,,"Could be a boundary case, but I don't think this is a longitudinal study","Flood/wildfire valid, but not sure how mass shootings fit in",
D0015715,Home Garden With Eco-Healing Functions Benefiting Mental Health and Biodiversity During and After the COVID-19 Pandemic: A Scoping Review,2021,Frontiers in public health,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0016145,"Temporal trends of the association between temperature variation and hospitalizations for schizophrenia in Hefei, China from 2005 to 2019: a time-varying distribution lag nonlinear model",2022,Environmental science and pollution research international,temperature,INCLUDE,temperature: INCLUDE - Time-series study linking temperature variation indicators to schizophrenia hospitalizations.,INCLUDE,INCLUDE,,,,
D0016732,"Associations between posttraumatic stress symptoms, perceived social support and psychological distress among disaster-exposed Chinese young adults: A three-wave longitudinal mediation model",2021,Journal of Psychiatric Research,cyclone,REVIEW,cyclone: INCLUDE - Three-wave longitudinal study of typhoon-exposed young adults measuring PTSS and distress; no pre-hazard baseline but repeated measures.,EXCLUDE,REVIEW,,,,
D0017793,Seasonal variation in association between temperature change and emergency department visits: A multi-site study in China,2022,Environmental Research,temperature,INCLUDE,temperature: INCLUDE - Temperature change (DTR/TCN) associated with ED visits for mental diseases in multi-site time-series.,INCLUDE,INCLUDE,,Need to find mental health related metrics,,
D0017866,Incidence and factors impacting PTSD following the 2005 Eyre Peninsula bushfires in South Australia – A 7 year follow up study,2023,Australian Journal of Rural Health,wildfire,REVIEW,"wildfire: INCLUDE - Longitudinal follow-up of PTSD after bushfire; eligible exposure and outcome; no pre-baseline, so review flagged.",EXCLUDE,,REVIEW,,,No pre-disaster baseline
D0017976,Turning up the heat does not affect quality of life.,2022,Journal of gynecologic oncology,temperature,REVIEW,"temperature: INCLUDE - Title mentions heat and quality of life; no abstract, flag for review.",EXCLUDE,,REVIEW,,,No design listed
D0018121,Short-term exposure to gaseous air pollutants and daily hospitalizations for acute upper and lower respiratory infections among children from 25 cities in China,2022,Environmental Research,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0018695,A Difference-In Difference Analysis of the South Carolina 2015 Extreme Floods and the Association with Maternal Health.,2023,International journal of disaster risk reduction : IJDRR,flood,INCLUDE,"flood: INCLUDE - Difference-in-difference analysis of 2015 SC floods on maternal mental health outcomes (depression, anxiety).",EXCLUDE,,EXCLUDE,,,
D0021291,Association of Psychiatric Emergency Visits and Warm Ambient Temperature during Pregnancy: A Time-Stratified Case-Crossover Study,2024,Environmental Health Perspectives,temperature,INCLUDE,temperature: INCLUDE - Time-stratified case-crossover study links warm ambient temperature to psychiatric ED visits in pregnancy.,,EXCLUDE,INCLUDE,,,
D0021411,Acute Stress Effects on Statistical Learning and Episodic Memory.,2024,Journal of cognitive neuroscience,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0022405,Seven Months After Tropical Cyclone Chido in Mayotte: Early Lessons and Brain Health Challenges,2025,Annals of Global Health,cyclone,EXCLUDE,cyclone: EXCLUDE [non_original] - Commentary/review with informal interviews; no measured mental-health outcome; not original empirical study.,,REVIEW,EXCLUDE,,,"PTSD, but part commentary"
D0022622,Impacts of extreme temperatures on mood disorders: A systematic review,2025,European Psychiatry,temperature,EXCLUDE,"temperature: EXCLUDE [non_original] - Systematic review, not an original empirical study",REVIEW,EXCLUDE,,,Systematic review,
D0022639,The Impact of Different Types of Social Resources on Coping Self-Efficacy and Distress During Australia’s Black Summer Bushfires,2025,International Journal of Environmental Research and Public Health,wildfire,EXCLUDE,wildfire: EXCLUDE [wrong_design] - Cross-sectional survey measured distress only after bushfires; no within-unit time variation.,,EXCLUDE,EXCLUDE,,,"Study of the effect of different resources on post disaster mental recovery, not a direct relation between mental health and disaster itself"
D0022896,Does digital health improve equity for Latine mental health after a disaster? Evidence from a randomized trial with 2017 and 2018 hurricane survivors,2025,"Psychological Trauma: Theory, Research, Practice, and Policy",cyclone,EXCLUDE,"cyclone: EXCLUDE [wrong_design] - Randomized trial of a digital mental health app, not estimating hurricane effect; treatment-efficacy study.",EXCLUDE,,EXCLUDE,,,No disaster to mental health relation
D0023466,Assessing health risks and socioeconomic disparities associated with ambient air pollution and point sources across the United States,2025,Environmental Pollution,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0024081,"Winter outdoor thermal comfort of older people with different degrees of frailty: A study in Nanyang city, China's hot-summer and cold-winter region.",2026,PloS one,temperature,EXCLUDE,"temperature: EXCLUDE [wrong_outcome] - Measures thermal comfort voting, not a mental-health/wellbeing outcome; mental health mentioned only as motivation.",EXCLUDE,EXCLUDE,,,,
D0024142,Mental health impacts of climate change on vulnerable populations in Nigeria and Japan: A systematic review of access to emergency healthcare.,2026,"Public health in practice (Oxford, England)",temperature; flood,EXCLUDE,"temperature: EXCLUDE [non_original] - Systematic review, not original empirical study; excluded as non-original. | flood: EXCLUDE [non_original] - Systematic review, not a primary study; no within-unit design or original empirical data.",REVIEW,EXCLUDE,,,Review,
D0024172,Experiences and mental challenges of Turkish healthcare professionals in the Libyan flood disaster: a qualitative study,2026,Emergency Medicine Journal,flood,EXCLUDE,flood: EXCLUDE [wrong_design] - Qualitative phenomenological study; no repeated quantitative measurement; wrong design for within-unit hazard effect.,EXCLUDE,,EXCLUDE,,,Qualitative
D0024391,A Diagnosis Model of Typhoon-Related Post-Traumatic Stress Disorder Based on Fixel-Based Analysis in Machine Learning,2026,Brain and Behavior,cyclone,EXCLUDE,cyclone: EXCLUDE [wrong_design] - Cross-sectional MRI study; no within-unit temporal variation in exposure.,EXCLUDE,,EXCLUDE,,,cross sectional
D0024586,"Correlation between heat exposure and perinatal depression - A spatial case-crossover study from Bangladesh, Lesotho, Mozambique, and Nepal",2026,Science of the Total Environment,temperature,INCLUDE,temperature: INCLUDE - Eligible: heat exposure and perinatal depression (PHQ-9) in a spatial case-crossover study.,,EXCLUDE,INCLUDE,,,
D0024999,An Australian disaster: The 1983 bushfires,1990,International Journal of Mental Health,wildfire,REVIEW,wildfire: INCLUDE - Bushfire disaster linked to mental disorder and PTSD in longitudinal study of firefighters.,,INCLUDE,EXCLUDE,,,no within unit variation
D0028228,Atmospheres of magnetized neutron stars: Vacuum polarization and partially ionized models,2004,Advances in Space Research,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0029537,Trauma and posttraumatic stress disorder in a rural primary care population in South Africa,2007,Psychological Reports,flood,EXCLUDE,flood: EXCLUDE [wrong_design] - Cross-sectional single survey; no within-unit temporal variation to identify flood effect.,EXCLUDE,,EXCLUDE,,,No flood exposure
D0030335,The impact of extreme flooding events and anthropogenic stressors on the macrobenthic communities' dynamics,2008,Estuarine Coastal and Shelf Science,,EXCLUDE,flood: EXCLUDE [not_human_empirical] - Ecological study of macrobenthic communities; no human mental health outcome.,,EXCLUDE,EXCLUDE,,,
D0030680,Trauma among survivors of hurricane Katrina: Considerations and recommendations for mental health care,2009,Journal of Loss and Trauma,cyclone,EXCLUDE,"cyclone: EXCLUDE [not_human_empirical] - Provides recommendations for mental health care, not an empirical study; no measured outcomes.",EXCLUDE,,EXCLUDE,,,Recommendation/suggestion article
D0030785,From outcrop and petrographic studies to basin-scale fluid flow modelling: The use of the Albanian natural laboratory for carbonate reservoir characterisation,2009,Tectonophysics,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0031009,Photodynamic vaccination of hamsters with inducible suicidal mutants of Leishmania amazonensis elicits immunity against visceral leishmaniasis,2009,European Journal of Immunology,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0031291,Weathering the storm: Persistent effects and psychological first aid with children displaced by Hurricane Katrina,2010,Journal of Child and Adolescent Trauma,cyclone,EXCLUDE,cyclone: EXCLUDE [wrong_design] - Psychological first aid intervention after Hurricane Katrina; treatment study not hazard-effect study.,EXCLUDE,EXCLUDE,,,"Intervention study, not quantifying the casual impact of the event",
D0032319,Artist® tablets (carvedilol) for hypertensive patients in Japan: Results of a drug use survey,2011,Drugs in R and D,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0032910,Re: Primary full-gland prostate cryoablation in older men (> Age of 75 Years): Results from 860 patients tracked with the cold registry,2012,Journal of Urology,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0035742,Low-lying magnetic excitations and magnetocaloric effect of molecular magnet K6[V15As6O42(H2O)] · 8H2O,2015,Epl,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0035796,Differences in susceptibility to heat stress along the chicken intestine and the protective effects of galacto- oligosaccharides,2015,PLoS ONE,,EXCLUDE,temperature: EXCLUDE [animal_or_lab_only] - Animal study on chicken intestine heat stress; no human mental-health outcome.,EXCLUDE,EXCLUDE,,,,
D0035799,Integrating Religion into Counseling: Case,2015,Critical Incidents in Integrating Spirituality into Counseling,cyclone,EXCLUDE,cyclone: EXCLUDE [wrong_design] - Case report of one woman after Hurricane Katrina; no within-unit variation; design ineligible.,EXCLUDE,,EXCLUDE,,,Single case
D0036843,Detecting the structure of the mantle transition zone in Japan subduction zone from the waveform triplications,2016,Acta Seismologica Sinica,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0036934,Temperature of Earth's core constrained from melting of Fe and Fe0.9Ni0.1 at high pressures,2016,Earth and Planetary Science Letters,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0037332,"Well-being, life satisfaction and capabilities of flood disaster victims",2016,Environmental Impact Assessment Review,flood,EXCLUDE,flood: EXCLUDE [wrong_design] - Cross-sectional two-sample comparison; no within-unit temporal variation.,,EXCLUDE,EXCLUDE,,,Not within unit
D0038140,School based post disaster mental health services: Decreased trauma symptoms in youth with multiple traumas,2017,Advances in School Mental Health Promotion,cyclone,EXCLUDE,"cyclone: EXCLUDE [wrong_design] - Intervention/treatment efficacy study, not hazard effect.",EXCLUDE,REVIEW,,"Intervention study on coping with post-TC trauma, not quantifying the impact of TC on Mental health.","This study seems only captured the post-event data, not comparing before and post- event effect. So I am not sure if it could give us an estimate on the impact of the event.",
D0038727,Managing water crisis in the North African region: With particular reference to Jijel region,2017,Environmental Change and Human Security in Africa and the Middle East,drought,EXCLUDE,drought: EXCLUDE [wrong_outcome] - Abstract discusses water scarcity but no measured mental-health/wellbeing outcome; not eligible.,EXCLUDE,,EXCLUDE,,,
D0039515,Evaluation of AnnAGNPS for simulating the inundation of drained and farmed potholes in the Prairie Pothole Region of Iowa,2018,Agricultural Water Management,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0040375,Exploring the frequency-size relationships of pipe collapses in different morphoclimatic regions,2019,Geomorphology,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0042006,Effects of flood and flood-control engineering on morbidity,2020,International Journal of Disaster Risk Reduction,flood,REVIEW,"flood: INCLUDE - Flood exposure and measured mental health outcomes (depressive/anxiety disorders); design not specified. | cyclone: INCLUDE - Typhoon Morakot flood and morbidity including depression/anxiety; design unclear, flag for review.",,REVIEW,EXCLUDE,,,
D0042034,Prospective analysis of linguistic analysis as a method for assessing trauma symptoms after Hurricane Harvey among Houstonian adults,2020,Traumatology,cyclone,REVIEW,cyclone: INCLUDE - Longitudinal study of Hurricane Harvey survivors with repeated trauma symptom measures; eligible but no pre-hazard baseline.,,EXCLUDE,REVIEW,,,Doesn't mention number of waves
D0042470,Support for Students Exposed to Trauma (SSET) program: An approach for building resilience and social support among flood-impacted children,2020,School Mental Health: A Multidisciplinary Research and Practice Journal,flood,EXCLUDE,"flood: EXCLUDE [wrong_design] - RCT of SSET intervention for PTSD; measures treatment effect, not hazard effect.",EXCLUDE,EXCLUDE,,,,
D0043897,CRITERION-REFERENCED ASSESSMENT INDEX FOR EVALUATING SOCIAL WELLBEING IN FLOOD RELIEF CAMPS,2021,Wit Transactions on the Built Environment,flood,EXCLUDE,"flood: EXCLUDE [wrong_outcome] - Outcome is social wellbeing index, not eligible mental-health/wellbeing outcome (Y1-Y5).",EXCLUDE,REVIEW,,,,
D0044207,"Spatio-temporal assessment of Environmentally Sensitive Areas (ESA) in The Thar Desert India, to combat desertification under UNCCD framework",2021,Journal of Arid Environments,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0047331,Improving the prediction of monsoon depressions by assimilating ASCAT soil moisture in NCUM-R modeling system,2022,Atmospheric Research,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0047535,Modeling water dynamics for assessing and managing ecosystem services in India,2022,Enhancing Agricultural Research and Precision Management for Subsistence Farming by Integrating System Models with Experiments,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0049420,"Mental health during wildfires in Southcentral Alaska: An assessment of community-derived mental health categories, interventions, and implementation considerations",2023,Plos Climate,wildfire,EXCLUDE,wildfire: EXCLUDE [wrong_design] - Qualitative free-list/interview study of wildfire-related mental health; no within-unit temporal quantitative design.,,EXCLUDE,EXCLUDE,,,Qualitative study
D0049984,Characterization of the palaeoenvironmental conditions in the Pannonian Basin during the last 34 mys related to the formation of haematitic and kaolinitic sedimentary rocks,2023,International Journal of Earth Sciences,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0050430,The impact of climate change on atopic dermatitis and mental health comorbidities: a review of the literature and examination of intersectionality,2023,International Journal of Dermatology,temperature,EXCLUDE,temperature: EXCLUDE [non_original] - Review article; no original empirical study,EXCLUDE,,EXCLUDE,,,
D0051018,Water allocation scenarios for public supply and irrigated agriculture in the São Francisco River integration project,2023,Revista Em Agronegocio E Meio Ambiente,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0053013,"Prescribed Keeping, Burning, and Processing of Longan Branches for Income Generation of Longan Farmers in Mae Suai and Wiang Pa Pao Districts, Chiang Rai Province, Thailand",2024,Area Based Development Research Journal,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0054409,Use of machine learning tools to predict health risks from climate-sensitive extreme weather events: A scoping review,2024,Plos Climate,temperature; flood,EXCLUDE,"temperature: EXCLUDE [non_original] - Scoping review of ML prediction studies, not an original empirical report. | flood: EXCLUDE [non_original] - Scoping review, not original empirical study; no direct flood-mental health evidence.",EXCLUDE,,EXCLUDE,,,
D0054488,Interictal widespread pressure hyperalgesia and aura: associations with vestibular migraine in a cross-sectional study,2024,Frontiers in Neurology,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0056643,"TEMPERATURE VARIATION, HEALTH, AND PRIVATE MEDICAL COSTS: EVIDENCE FROM CHINA",2025,Climate Change Economics,temperature,INCLUDE,temperature: INCLUDE - Panel study links temperature variation to mental health impairment in China.,,INCLUDE,EXCLUDE,,,
D0058939,"Mental health impacts of Hurricane Fiona in prince Edward Island, Canada",2026,Next Sustainability,cyclone; flood,REVIEW,"cyclone: INCLUDE - Hurricane Fiona exposure, measured mental health outcomes, but design not explicitly stated; likely cross-sectional. | flood: EXCLUDE [wrong_design] - Post-hurricane cross-sectional survey with no pre-hazard baseline; no within-unit time variation.",,EXCLUDE,REVIEW,,,Design not listed
D0059024,Assessment of multiple predictors to the psychological effects of flooding for residential and business areas in Peninsular Malaysia,2026,Natural Hazards and Earth System Sciences,flood,EXCLUDE,flood: EXCLUDE [wrong_design] - Cross-sectional face-to-face survey; no within-unit variation in exposure over time.,,REVIEW,EXCLUDE,,,One wave
D0059195,"Flood impacts on individual well-being: insights from a post-event survey across differently exposed groups in Marche region, Italy",2026,Natural Hazards,flood,EXCLUDE,flood: EXCLUDE [wrong_design] - Cross-sectional post-event survey with no within-unit variation; wrong design.,EXCLUDE,,EXCLUDE,,,cross sectional
D0059954,Untangling the Complexity in Urban Health Disparities: Understanding Health Determinants Shaping Local Health and Well-Being Outcomes Using Explainable Machine Learning,2026,Sustainable Development,temperature,REVIEW,"temperature: INCLUDE - Extreme heat and mental wellbeing are plausible; design unclear, needs review.",EXCLUDE,,EXCLUDE,,,No disaster correlation
D0061659,Psychiatric disturbance with acute onset and offset in a Darwin evacuee.,1975,Medical Journal of Australia,cyclone,EXCLUDE,cyclone: EXCLUDE [wrong_design] - Case report of one Darwin evacuee; no within-unit temporal comparison.,EXCLUDE,EXCLUDE,,,Ditto,
D0063126,Consequences of the July 1996 floods on the conception of home and the biopsychosocial health of pre-retirees and retirees,2001,Canadian Journal on Aging,flood,EXCLUDE,flood: EXCLUDE [wrong_design] - Qualitative interview study without repeated quantitative measurement; cannot identify within-unit hazard effect.,EXCLUDE,EXCLUDE,,,,
D0064091,Humoral response to hsp 65 in multiple sclerosis and other neurologic conditions,1994,Neurology,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0066316,Ethnic differences in smoking withdrawal effects among adolescents,2003,Addictive Behaviors,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0066623,Kidney cancer,2011,JNCCN Journal of the National Comprehensive Cancer Network,,EXCLUDE,No eligible registered hazard identified.,,REVIEW,EXCLUDE,,,
D0066725,"Seven-year neurodevelopmental scores and prenatal exposure to chlorpyrifos, a common agricultural pesticide",2011,Environmental Health Perspectives,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0067736,Influence of compensation satisfaction on change of health-related quality of life after a flood,2010,European Neuropsychopharmacology,flood,INCLUDE,"flood: INCLUDE - Longitudinal cohort with pre/post flood data on depression, PTSD, and HRQOL; eligible flood hazard and mental health outcomes.",EXCLUDE,,INCLUDE,,,
D0069689,CYP2B6 Genotype Alters Abstinence Rates in a Bupropion Smoking Cessation Trial,2007,Biological Psychiatry,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0070340,Role of a host rehabilitation society in a large scale natural disaster-the PARM experience in typhoon Haiyan-a project report,2014,PM and R,cyclone; flood,EXCLUDE,"cyclone: EXCLUDE [not_human_empirical] - Project report on rehabilitation aid missions; no measured mental-health outcome, not an empirical study. | flood: EXCLUDE [not_human_empirical] - Project report of aid missions; no mental-health outcome measured; not a research study.",,EXCLUDE,EXCLUDE,,,Not mental
D0071210,The disruptive effects of pain on complex cognitive performance and executive control,2013,PLoS ONE,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0071537,A pilot study of an endoscopic surgical stapler for the treatment of gerd-five year follow up results,2013,United European Gastroenterology Journal,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0072728,Effects of traffic related air pollution on respiratory and allergic diseases in children: The moceh study,2012,Epidemiology,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0072924,Prenatal polycyclic aromatic hydrocarbon (PAH) exposure and child behavior at age 6-7 years,2012,Environmental Health Perspectives,,EXCLUDE,No eligible registered hazard identified.,,REVIEW,EXCLUDE,,,
D0075345,Erectile dysfunction medication use in veterans eligible for medicare part D,2016,Journal of Managed Care and Specialty Pharmacy,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0076325,18F Labeling of a new naphthalene derivative as potential alzheimer disease PET imaging agent. Synthesis and preclinical studies,2015,European Journal of Nuclear Medicine and Molecular Imaging,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0076484,Impact of pharmacist intervention on antibiotic use and prophylactic antibiotic use in urology clean operations,2015,Journal of Clinical Pharmacy and Therapeutics,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0077042,Multimorbidity in heart failure: A community perspective,2015,American Journal of Medicine,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0078537,Determining Value in Health Technology Assessment: Stay the Course or Tack Away?,2019,PharmacoEconomics,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0080956,“A country boy can survive:” Rural culture and male-targeted suicide prevention messaging,2021,Social Science and Medicine,wildfire,EXCLUDE,"wildfire: EXCLUDE [wrong_outcome] - Study examines interpretation of suicide prevention campaigns, not measured mental-health outcomes; qualitative design also ineligible.",EXCLUDE,,EXCLUDE,,,Qualitative interview
D0080976,"The importance of adaptive coping, peer support, psychological input, team resilience, and supportive management among fire and rescue service workers in maintaining wellbeing throughout the COVID-19 pandemic: a cross-sectional survey",2021,The Lancet,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0082276,Infant rhinorrhea and watery eyes and adolescent Attention Deficit Hyperactivity Disorder,2021,Journal of Allergy and Clinical Immunology,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0083437,"Risk assessment of temperature and air pollutants on hospitalizations for mental and behavioral disorders in Curitiba, Brazil",2020,Environmental Health: A Global Access Science Source,temperature,INCLUDE,temperature: INCLUDE - Time series study linking ambient temperature to hospital admissions for mental/behavioral disorders.,,INCLUDE,INCLUDE,,,
D0084757,NEW ONSET REFRACTORY STATUS EPILEPTICUS IN LIMBIC ENCEPHALITIS RESPONSIVE TO ANAKINRA AND BRIVARACETAM: CASE REPORT,2022,Neurological Sciences,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0085607,Human mood and cognitive function after different extreme cold exposure,2022,International Journal of Industrial Ergonomics,temperature,INCLUDE,"temperature: INCLUDE - Within-subject climate chamber cold exposure; mood measured as outcome, so eligible.",,EXCLUDE,EXCLUDE,,,"No specific disaster, lab creates cold environment"
D0086013,Potential Circumstances Associated With Moral Injury and Moral Distress in Healthcare Workers and Public Safety Personnel Across the Globe During COVID-19: A Scoping Review,2022,Frontiers in Psychiatry,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,Review,
D0087248,Characterization of phosphorylated TDP-43 aggregates induced under several conditions,2022,Clinical Neurology,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0088570,The Incidence of Post Traumatic Stress Disorder Amongst Cyclone Survivors in a Rural Hamlet of West Bengal,2023,BJPsych Open,cyclone,EXCLUDE,cyclone: EXCLUDE [wrong_design] - Cross-sectional post-disaster survey with no within-unit variation in exposure.,,EXCLUDE,EXCLUDE,,,One-wave
