conflict_group,reason,dedup_id,source,source_id,doi,title,year,first_author
comparison of occupational and home accidents as a cause of severe burns the experience of a large burn center in an ind,first_author_conflict,D0102220,Scopus,2-s2.0-0024656017,,Comparison of occupational and home accidents as a cause of severe burns. The experience of a large burn center in an industrial city,1989,Romano C.
comparison of occupational and home accidents as a cause of severe burns the experience of a large burn center in an ind,first_author_conflict,D0102221,Embase,L22882799,,Comparison of occupational and home accidents as a cause of severe burns. The experience of a large burn center in an industrial city,1989,Romano
piracetam in the treatment of soft tissue rheumatism,first_author_conflict,D0102222,PubMed,2656442,,[Piracetam in the treatment of soft tissue rheumatism].,1989,Glas-Schöttl R
piracetam in the treatment of soft tissue rheumatism,first_author_conflict,D0102223,Embase,L19424778,,Piracetam in the treatment of soft tissue rheumatism,1989,Glas-Schöttl
homicidal psychosis during the combined use of cocaine and an over the counter cold preparation,first_author_conflict,D0102225,PubMed,2925605,,Homicidal psychosis during the combined use of cocaine and an over-the-counter cold preparation.,1989,Strauss A
homicidal psychosis during the combined use of cocaine and an over the counter cold preparation,first_author_conflict,D0102226,Embase,L19117714,,Homicidal psychosis during the combined use of cocaine and an over-the-counter cold preparation,1989,Strauss
disparate effects of mental stress on plasma noradrenaline in young normotensive and hypertensive subjects,first_author_conflict,D0102229,PubMed,2723430,,Disparate effects of mental stress on plasma noradrenaline in young normotensive and hypertensive subjects.,1989,Lenders JW
disparate effects of mental stress on plasma noradrenaline in young normotensive and hypertensive subjects,first_author_conflict,D0102230,Embase,L19128747,,Disparate effects of mental stress on plasma noradrenaline in young normotensive and hypertensive subjects,1989,Lenders
posttraumatic adjustment of australian firefighters,first_author_conflict,D0102231,PubMed,2703830,,Posttraumatic adjustment of Australian firefighters.,1989,Lyons JA
posttraumatic adjustment of australian firefighters,first_author_conflict,D0102232,Embase,L19401688,,Posttraumatic adjustment of Australian firefighters.,1989,Lyons
the failed revolution in health care the role of management,first_author_conflict,D0102239,PubMed,10292515,,The failed revolution in health care--the role of management.,1989,Herzlinger RE
the failed revolution in health care the role of management,first_author_conflict,D0102240,Scopus,2-s2.0-0024636215,,The failed revolution in health care--the role of management.,1989,Herzlinger R.
the failed revolution in health care the role of management,first_author_conflict,D0102241,Embase,L19419325,,The failed revolution in health care--the role of management.,1989,Herzlinger
knowledge and concerns about acquired immunodeficiency syndrome and their relationship to behavior among adolescents wit,first_author_conflict,D0102243,PubMed,2783626,,Knowledge and concerns about acquired immunodeficiency syndrome and their relationship to behavior among adolescents with hemophilia.,1989,Overby KJ
knowledge and concerns about acquired immunodeficiency syndrome and their relationship to behavior among adolescents wit,first_author_conflict,D0102244,Scopus,2-s2.0-0024495423,,Knowledge and concerns about acquired immunodeficiency syndrome and their relationship to behavior among adolescents with hemophilia,1989,Overby K.
knowledge and concerns about acquired immunodeficiency syndrome and their relationship to behavior among adolescents wit,first_author_conflict,D0102245,Embase,L19048686,,Knowledge and concerns about acquired immunodeficiency syndrome and their relationship to behavior among adolescents with hemophilia,1989,Overby
nutrition an essential element of primary health care,first_author_conflict,D0102247,PubMed,2726585,,Nutrition: an essential element of primary health care.,1989,Rao KS
nutrition an essential element of primary health care,first_author_conflict,D0102248,Scopus,2-s2.0-0024618467,,Nutrition: an essential element of primary health care.,1989,Rao K.
the use of an in vitro flooding package in the treatment of traumatized adolescents,first_author_conflict,D0102249,PubMed,2647789,,The use of an in vitro flooding package in the treatment of traumatized adolescents.,1989,Saigh PA
the use of an in vitro flooding package in the treatment of traumatized adolescents,first_author_conflict,D0102250,Embase,L19391150,,The use of an in vitro flooding package in the treatment of traumatized adolescents.,1989,Saigh
implications of a nicotine free society,first_author_conflict,D0102254,PubMed,7580225,,Implications of a nicotine-free society.,1989,Warner KE
implications of a nicotine free society,first_author_conflict,D0102255,Embase,L125123081,,Implications of a nicotine-free society.,1989,Warner
implications of a nicotine free society,first_author_conflict,D0102256,PsycINFO,618140050,,Implications of a nicotine-free society,1989,Warner
suicide by fire,title_short_or_generic,D0102260,PubMed,2735647,,[Suicide by fire].,1989,Bourgeois M
suicide by fire,title_short_or_generic,D0102261,Embase,L7109729,,Suicide by fire,1976,Newton
the promoter of alzheimer s disease amyloid a4 precursor gene,first_author_conflict,D0102263,PubMed,2690103,,The promoter of Alzheimer's disease amyloid A4 precursor gene.,1989,Salbaum JM
the promoter of alzheimer s disease amyloid a4 precursor gene,first_author_conflict,D0102264,Embase,L20793108,,The promoter of Alzheimer's disease amyloid A4 precursor gene.,1989,Salbaum
the promoter of alzheimer s disease amyloid a4 precursor gene,first_author_conflict,D0102265,Embase,L18823248,,The promoter of Alzheimer's disease amyloid A4 precursor gene.,1988,Salbaum
klebocins k6 and k150 production and activity in various experimental conditions,first_author_conflict,D0102266,PubMed,2664876,,[Klebocins K6 and K150: production and activity in various experimental conditions].,1989,Finola M
klebocins k6 and k150 production and activity in various experimental conditions,first_author_conflict,D0102267,Scopus,2-s2.0-0024531210,,Klebocins K6 and K150: production and activity in various experimental conditions,1989,Finola M.
klebocins k6 and k150 production and activity in various experimental conditions,first_author_conflict,D0102268,Embase,L19453089,,Klebocins K6 and K150: production and activity in various experimental conditions,1989,Finola
psychophysiological investigations of posttraumatic stress disorder imagery,first_author_conflict,D0102269,PubMed,2626518,,Psychophysiological investigations of posttraumatic stress disorder imagery.,1989,Pitman RK
psychophysiological investigations of posttraumatic stress disorder imagery,first_author_conflict,D0102270,Scopus,2-s2.0-0024842408,,Psychophysiological investigations of posttraumatic stress disorder imagery,1989,Pitman R.
psychophysiological investigations of posttraumatic stress disorder imagery,first_author_conflict,D0102271,Embase,L20260252,,Psychophysiological investigations of posttraumatic stress disorder imagery,1989,Pitman
endogenous opioids stress induced analgesia and posttraumatic stress disorder,first_author_conflict,D0102272,PubMed,2626517,,"Endogenous opioids, stress induced analgesia, and posttraumatic stress disorder.",1989,van der Kolk BA
endogenous opioids stress induced analgesia and posttraumatic stress disorder,first_author_conflict,D0102273,Scopus,2-s2.0-0024837090,,"Endogenous opioids, stress induced analgesia and posttraumatic stress disorder",1989,Kolk B.A.
endogenous opioids stress induced analgesia and posttraumatic stress disorder,first_author_conflict,D0102274,Embase,L20260250,,"Endogenous opioids, stress induced analgesia and posttraumatic stress disorder",1989,Kolk
the stressors and the post traumatic stress syndrome after an industrial disaster,first_author_conflict,D0102275,PubMed,2624132,,The stressors and the post-traumatic stress syndrome after an industrial disaster.,1989,Weisaeth L
the stressors and the post traumatic stress syndrome after an industrial disaster,first_author_conflict,D0102276,Embase,L20071431,,The stressors and the post-traumatic stress syndrome after an industrial disaster,1989,Weisaeth
ubiquitin and heat shock proteins in cultured nervous tissue after different stress conditions,first_author_conflict,D0102279,PubMed,2557643,,Ubiquitin and heat shock proteins in cultured nervous tissue after different stress conditions.,1989,Morandi A
ubiquitin and heat shock proteins in cultured nervous tissue after different stress conditions,first_author_conflict,D0102280,Embase,L20793164,,Ubiquitin and heat shock proteins in cultured nervous tissue after different stress conditions.,1989,Morandi
the current treatment of epistaxis,first_author_conflict,D0102281,PubMed,2528788,,[The current treatment of epistaxis].,1989,Ionescu N
the current treatment of epistaxis,first_author_conflict,D0102282,Scopus,2-s2.0-0024308637,,The current treatment of epistaxis,1989,Ionescu N.
the current treatment of epistaxis,first_author_conflict,D0102283,Embase,L19484480,,The current treatment of epistaxis,1989,Ionescu
a retrospective analysis of air evacuated hypothermia patients,first_author_conflict,D0102287,PubMed,3202789,,A retrospective analysis of air-evacuated hypothermia patients.,1988,Fox JB
a retrospective analysis of air evacuated hypothermia patients,first_author_conflict,D0102288,Scopus,2-s2.0-0023796547,,A retrospective analysis of air-evacuated hypothermia patients,1988,Fox J.
a retrospective analysis of air evacuated hypothermia patients,first_author_conflict,D0102289,Embase,L18263769,,A retrospective analysis of air-evacuated hypothermia patients,1988,Fox
the action of smoking on the eye,first_author_conflict,D0102290,PubMed,3071890,,[The action of smoking on the eye].,1988,Mozherenkov VP
the action of smoking on the eye,first_author_conflict,D0102291,Embase,L19404890,,The action of smoking on the eye,1988,Mozherenkov
cystic parathyroid cancer case report,first_author_conflict,D0102294,PubMed,3212384,,Cystic parathyroid cancer. Case report.,1988,Zbranca E
cystic parathyroid cancer case report,first_author_conflict,D0102295,Scopus,2-s2.0-0024099581,,Cystic parathyroid cancer. Case report.,1988,Zbranca E.
cystic parathyroid cancer case report,first_author_conflict,D0102296,Embase,L19356557,,Cystic parathyroid cancer. Case report.,1988,Zbranca
a double blind controlled clinical trial of benzoctamin tacitin and imipramine tofranil in the treatment of internal hea,first_author_conflict,D0102307,PubMed,2901947,,A double blind controlled clinical trial of benzoctamin (Tacitin) and imipramine (Tofranil) in the treatment of 'internal heat' and its association symptoms.,1988,Ahmed MH
a double blind controlled clinical trial of benzoctamin tacitin and imipramine tofranil in the treatment of internal hea,first_author_conflict,D0102308,Scopus,2-s2.0-0023993432,,A double blind controlled clinical trial of benzoctamin (Tacitin) and imipramine (Tofranil) in the treatment of 'internal heat' and its association symptoms.,1988,Ahmed M.
a double blind controlled clinical trial of benzoctamin tacitin and imipramine tofranil in the treatment of internal hea,first_author_conflict,D0102309,Embase,L18815549,,A double blind controlled clinical trial of benzoctamin (Tacitin) and imipramine (Tofranil) in the treatment of 'internal heat' and its association symptoms.,1988,Ahmed
exogenous factors in panic disorder clinical and research implications,first_author_conflict,D0102313,PubMed,3276668,,Exogenous factors in panic disorder: clinical and research implications.,1988,Roy-Byrne PP
exogenous factors in panic disorder clinical and research implications,first_author_conflict,D0102314,Scopus,2-s2.0-0023874424,,Exogenous factors in panic disorder: Clinical and research implications,1988,Roy-Byrne P.
exogenous factors in panic disorder clinical and research implications,first_author_conflict,D0102315,Embase,L18060337,,Exogenous factors in panic disorder: Clinical and research implications,1988,Roy-Byrne
exogenous factors in panic disorder clinical and research implications,first_author_conflict,D0102316,PsycINFO,617513091,,Exogenous factors in panic disorder: Clinical and research implications,1988,Roy-Byrne
the effect of low temperature on antarctic endolithic green algae,first_author_conflict,D0102319,PubMed,11538352,,The effect of low temperature on Antarctic endolithic green algae.,1988,Meyer MA
the effect of low temperature on antarctic endolithic green algae,first_author_conflict,D0102320,Scopus,2-s2.0-0024274929,,The effect of low temperature on Antarctic endolithic green algae.,1988,Meyer M.A.
the effect of low temperature on antarctic endolithic green algae,first_author_conflict,D0102321,Embase,L126288703,,The effect of low temperature on Antarctic endolithic green algae.,1988,Meyer
microvibration test under vibration and cold stresses in pss,first_author_conflict,D0102322,PubMed,3404746,,[Microvibration test under vibration and cold stresses in PSS].,1988,Maeda M
microvibration test under vibration and cold stresses in pss,first_author_conflict,D0102323,Scopus,2-s2.0-0023706499,,Microvibration test under vibration and cold stresses in PSS,1988,Maeda M.
microvibration test under vibration and cold stresses in pss,first_author_conflict,D0102324,Embase,L18781693,,Microvibration test under vibration and cold stresses in PSS,1988,Maeda
training and conditioning in atopic patients following high altitude climate therapy,first_author_conflict,D0102326,PubMed,3252624,,[Training and conditioning in atopic patients following high altitude climate therapy].,1988,Schuh A
training and conditioning in atopic patients following high altitude climate therapy,first_author_conflict,D0102327,Scopus,2-s2.0-0024201284,,Training and conditioning in atopic patients following high altitude climate therapy,1988,Schuh A.
training and conditioning in atopic patients following high altitude climate therapy,first_author_conflict,D0102328,Embase,L19446863,,Training and conditioning in atopic patients following high altitude climate therapy,1988,Schuh
no difference in general well being during antihypertensive treatment with atenolol or metoprolol cr,first_author_conflict,D0102329,PubMed,3250317,,No difference in general well-being during antihypertensive treatment with atenolol or metoprolol CR.,1988,Dahlöf C
no difference in general well being during antihypertensive treatment with atenolol or metoprolol cr,first_author_conflict,D0102330,Scopus,2-s2.0-0024271911,,No difference in general well-being during antihypertensive treatment with atenolol or metoprolol CR,1988,Dahlof C.
no difference in general well being during antihypertensive treatment with atenolol or metoprolol cr,first_author_conflict,D0102331,Embase,L19107229,,No difference in general well-being during antihypertensive treatment with atenolol or metoprolol CR,1988,Dahlof
the sauna and the psyche,first_author_conflict,D0102334,PubMed,3168845,,[The sauna and the psyche].,1988,Sorri P
the sauna and the psyche,first_author_conflict,D0102335,Scopus,2-s2.0-0023808645,,The sauna and the psyche,1988,Sorri P.
depression by fc gamma receptor ligands of srbc induced igm pfc generation in human blood mononuclear cell cultures,first_author_conflict,D0102336,PubMed,2975532,,Depression by Fc gamma receptor ligands of SRBC-induced IgM-PFC generation in human blood mononuclear cell cultures.,1988,Gabrielli A
depression by fc gamma receptor ligands of srbc induced igm pfc generation in human blood mononuclear cell cultures,first_author_conflict,D0102337,Scopus,2-s2.0-0024244223,,Depression by Fc gamma receptor ligands of SRBC-induced IgM-PFC generation in human blood mononuclear cell cultures,1988,Gabrielli A.
depression by fc gamma receptor ligands of srbc induced igm pfc generation in human blood mononuclear cell cultures,first_author_conflict,D0102338,Embase,L19012116,,Depression by Fc gamma receptor ligands of SRBC-induced IgM-PFC generation in human blood mononuclear cell cultures,1988,Gabrielli
lower cardiovascular responsiveness in men with a positive family history of hypertension who remain normotensive in mid,first_author_conflict,D0102341,PubMed,3439429,,Lower cardiovascular responsiveness in men with a positive family history of hypertension who remain normotensive in middle age.,1987,Slabý A
lower cardiovascular responsiveness in men with a positive family history of hypertension who remain normotensive in mid,first_author_conflict,D0102342,Embase,L18711838,,Lower cardiovascular responsiveness in men with a positive family history of hypertension who remain normotensive in middle age.,1987,Slabý
lower cardiovascular responsiveness in men with a positive family history of hypertension who remain normotensive in mid,first_author_conflict,D0102343,PsycINFO,617512458,,Lower cardiovascular responsiveness in men with a positive family history of hypertension who remain normotensive in middle age,1987,Slabý
fire on the unit,year_gap_gt_1,D0102344,PubMed,3681778,,Fire on the unit.,1987,Freilich R
fire on the unit,year_gap_gt_1,D0102345,Embase,L18674757,,Fire on the unit.,1987,Freilich
fire on the unit,year_gap_gt_1,D0102346,Embase,L15719208,,Fire on the unit.,1985,Tousley
assessment of the hemodynamic state of ischemic heart disease patients following aortocoronary shunting in relation to i,first_author_conflict,D0102350,PubMed,3501033,,[Assessment of the hemodynamic state of ischemic heart disease patients following aortocoronary shunting in relation to indices during surgery].,1987,Rakhumaa IE
assessment of the hemodynamic state of ischemic heart disease patients following aortocoronary shunting in relation to i,first_author_conflict,D0102351,Scopus,2-s2.0-0023409315,,Assessment of the hemodynamic state of ischemic heart disease patients following aortocoronary shunting in relation to indices during surgery,1987,Rakhumaa I.
assessment of the hemodynamic state of ischemic heart disease patients following aortocoronary shunting in relation to i,first_author_conflict,D0102352,Embase,L18683100,,Assessment of the hemodynamic state of ischemic heart disease patients following aortocoronary shunting in relation to indices during surgery,1987,Rakhumaa
alcohol as a risk factor for injuries or death due to fires and burns review of the literature,first_author_conflict,D0102354,PubMed,3116577,,Alcohol as a risk factor for injuries or death due to fires and burns: review of the literature.,1987,Howland J
alcohol as a risk factor for injuries or death due to fires and burns review of the literature,first_author_conflict,D0102355,Embase,L17156798,,Alcohol as a risk factor for injuries or death due to fires and burns: Review of the literature,1987,Howland
an unusual compartment syndrome,first_author_conflict,D0102359,PubMed,3615606,,[An unusual compartment syndrome].,1987,Janbon C
an unusual compartment syndrome,first_author_conflict,D0102360,Scopus,2-s2.0-0023324178,,An unusual compartment syndrome,1987,Janbon C.
lower extremity burns related to sensory loss in diabetes mellitus,first_author_conflict,D0102362,PubMed,3806025,,Lower extremity burns related to sensory loss in diabetes mellitus.,1987,Katcher ML
lower extremity burns related to sensory loss in diabetes mellitus,first_author_conflict,D0102363,Scopus,2-s2.0-0023093507,,Lower extremity burns related to sensory loss in diabetes mellitus,1987,Katcher M.L.
lower extremity burns related to sensory loss in diabetes mellitus,first_author_conflict,D0102364,Embase,L17011113,,Lower extremity burns related to sensory loss in diabetes mellitus,1987,Katcher
lower extremity burns related to sensory loss in diabetes mellitus,first_author_conflict,D0102365,PsycINFO,619304282,,Lower extremity burns related to sensory loss in diabetes mellitus,1987,Katcher
immigrant women at the health center monitoring of pregnancy and contraception,first_author_conflict,D0102366,PubMed,3645839,,[Immigrant women at the health center. Monitoring of pregnancy and contraception].,1987,Austveg B
immigrant women at the health center monitoring of pregnancy and contraception,first_author_conflict,D0102367,Scopus,2-s2.0-0023662674,,Immigrant women at the health center. Monitoring of pregnancy and contraception,1987,Austveg B.
the press and family planning,first_author_conflict,D0102369,PubMed,12281466,,[The press and family planning].,1987,Abraham De D'ornellas R
the press and family planning,first_author_conflict,D0102370,Scopus,2-s2.0-0023641703,,The press and family planning,1987,Abraham De D'ornellas R.
evaluation of heat production during propagation of the depression wave,first_author_conflict,D0102371,PubMed,3814633,,[Evaluation of heat production during propagation of the depression wave].,1987,Pasechnik VI
evaluation of heat production during propagation of the depression wave,first_author_conflict,D0102372,Scopus,2-s2.0-0023070554,,Evaluation of heat production during propagation of the depression wave,1987,Pasechnik V.
evaluation of heat production during propagation of the depression wave,first_author_conflict,D0102373,Embase,L17705748,,Evaluation of heat production during propagation of the depression wave,1987,Pasechnik
role of dietary and environmental factors in drug abuse,first_author_conflict,D0102376,PubMed,3535815,,Role of dietary and environmental factors in drug abuse.,1987,Asghar K
role of dietary and environmental factors in drug abuse,first_author_conflict,D0102377,Embase,L17186627,,Role of dietary and environmental factors in drug abuse,1987,Asghar
biophysical and physiological integration of proper clothing for exercise,first_author_conflict,D0102378,PubMed,3297725,,Biophysical and physiological integration of proper clothing for exercise.,1987,Gonzalez RR
biophysical and physiological integration of proper clothing for exercise,first_author_conflict,D0102379,Embase,L17762251,,Biophysical and physiological integration of proper clothing for exercise.,1987,Gonzalez
hemodynamic effects of acute and prolonged administration of nitrendipine in essential hypertension,first_author_conflict,D0102381,PubMed,2455112,,Hemodynamic effects of acute and prolonged administration of nitrendipine in essential hypertension.,1987,Gregorini L
hemodynamic effects of acute and prolonged administration of nitrendipine in essential hypertension,first_author_conflict,D0102382,Embase,L18113833,,Hemodynamic effects of acute and prolonged administration of nitrendipine in essential hypertension,1987,Gregorini
acral rewarming i normal data of a healthy adult population,first_author_conflict,D0102384,PubMed,2445033,,"[Acral rewarming. I: ""Normal data"" of a healthy adult population].",1987,Lacoste V
acral rewarming i normal data of a healthy adult population,first_author_conflict,D0102385,Scopus,2-s2.0-0023074462,,"Acral rewarming. I: ""Normal data"" of a healthy adult population",1987,Lacoste V.
acral rewarming i normal data of a healthy adult population,first_author_conflict,D0102386,Embase,L17823672,,"Acral rewarming. I: ""Normal data"" of a healthy adult population",1987,Lacoste
alzheimer s neurofibrillary tangles contain unique epitopes and epitopes in common with the heat stable microtubule asso,first_author_conflict,D0102387,PubMed,2433949,,Alzheimer's neurofibrillary tangles contain unique epitopes and epitopes in common with the heat-stable microtubule associated proteins tau and MAP2.,1987,Yen SH
alzheimer s neurofibrillary tangles contain unique epitopes and epitopes in common with the heat stable microtubule asso,first_author_conflict,D0102388,Embase,L17007955,,Alzheimer's neurofibrillary tangles contain unique epitopes and epitopes in common with the heat-stable microtubule associated proteins tau and MAP2,1987,Yen
coming in from the cold,first_author_conflict,D0102390,PubMed,3642549,,Coming in from the cold.,1986,Smith C
coming in from the cold,first_author_conflict,D0102391,Scopus,2-s2.0-0023052039,,Coming in from the cold.,1986,Smith C.
reactivity to mental stress and cold provocation during long term treatment with metoprolol propranolol or hydrochloroth,first_author_conflict,D0102394,PubMed,3475414,,"Reactivity to mental stress and cold provocation during long-term treatment with metoprolol, propranolol or hydrochlorothiazide.",1986,Eliasson K
reactivity to mental stress and cold provocation during long term treatment with metoprolol propranolol or hydrochloroth,first_author_conflict,D0102395,Embase,L17765868,,"Reactivity to mental stress and cold provocation during long-term treatment with metoprolol, propranolol or hydrochlorothiazide.",1986,Eliasson
gasoline explosions gasoline sniffing an epidemic in young adolescents,first_author_conflict,D0102396,PubMed,3429487,,"Gasoline explosions, gasoline sniffing: an epidemic in young adolescents.",1986,Cole M
gasoline explosions gasoline sniffing an epidemic in young adolescents,first_author_conflict,D0102397,Embase,L17231905,,"Gasoline explosions, gasoline sniffing: An epidemic in young adolescents",1986,Cole
the smoking problem,title_short_or_generic,D0102399,PubMed,3791901,,[The smoking problem].,1986,Trojani FT
the smoking problem,title_short_or_generic,D0102400,PubMed,3742980,,[The smoking problem].,1986,Tarentini Trojani F
the young chronic client in mental health today,first_author_conflict,D0102404,PubMed,3092191,,The young chronic client in mental health today.,1986,Brunger JB
the young chronic client in mental health today,first_author_conflict,D0102405,Scopus,2-s2.0-0023000362,,The young chronic client in mental health today,1986,Brunger J.
problems related to the detection of myocardial ischemia caused by coronary vasospasm,first_author_conflict,D0102407,PubMed,3756583,,Problems related to the detection of myocardial ischemia caused by coronary vasospasm.,1986,Waters DD
problems related to the detection of myocardial ischemia caused by coronary vasospasm,first_author_conflict,D0102408,Scopus,2-s2.0-0022556963,,Problems related to the detection of myocardial ischemia caused by coronary vasospasm,1986,Waters D.
problems related to the detection of myocardial ischemia caused by coronary vasospasm,first_author_conflict,D0102409,Embase,L16000887,,Problems related to the detection of myocardial ischemia caused by coronary vasospasm,1986,Waters
china s industrial growth spews pollution problems beekeepers stung by lead fumes,first_author_conflict,D0102411,PubMed,12314566,,China's industrial growth spews pollution problems. Beekeepers stung by lead fumes.,1986,Woodruff JE
china s industrial growth spews pollution problems beekeepers stung by lead fumes,first_author_conflict,D0102412,Scopus,2-s2.0-0023057409,,China's industrial growth spews pollution problems. Beekeepers stung by lead fumes.,1986,Woodruff J.
circulatory stress responses in middle age and manifestations of essential hypertension,first_author_conflict,D0102413,PubMed,3708671,,[Circulatory stress responses in middle-age and manifestations of essential hypertension].,1986,Slabý A
circulatory stress responses in middle age and manifestations of essential hypertension,first_author_conflict,D0102414,Embase,L16706377,,Circulatory stress responses in middle-age and manifestations of essential hypertension,1986,Slabý
dietary mutagenicity and stomach cancer epidemiology,first_author_conflict,D0102416,PubMed,3747144,,[Dietary mutagenicity and stomach cancer epidemiology].,1986,Kamiyama S
dietary mutagenicity and stomach cancer epidemiology,first_author_conflict,D0102417,Scopus,2-s2.0-0022708864,,Dietary mutagenicity and stomach cancer epidemiology,1986,Kamiyama S.
various problems of the etiology and pathogenesis of lung abscesses review of the literature,first_author_conflict,D0102418,PubMed,3523011,,[Various problems of the etiology and pathogenesis of lung abscesses (review of the literature)].,1986,Vishnevskiĭ AA
various problems of the etiology and pathogenesis of lung abscesses review of the literature,first_author_conflict,D0102419,Embase,L16722774,,Various problems of the etiology and pathogenesis of lung abscesses (review of the literature),1986,Vishnevskii
a 26 year old male with mental retardation habitus marfanoid cold thyroid nodule and digestive tract hemorrhage,first_author_conflict,D0102423,PubMed,2874602,,"[A 26-year-old male with mental retardation, habitus marfanoid, cold thyroid nodule and digestive tract hemorrhage].",1986,Ponce de León-Rosales S
a 26 year old male with mental retardation habitus marfanoid cold thyroid nodule and digestive tract hemorrhage,first_author_conflict,D0102424,Embase,L16739736,,"A 26-year-old male with mental retardation, habitus marfanoid, cold thyroid nodule and digestive tract hemorrhage",1986,Ponce de León-Rosales
the relative importance of various enteropathogens as a cause of diarrhoea in hospitalized children in chiang mai thaila,first_author_conflict,D0102426,PubMed,3794260,,"The relative importance of various enteropathogens as a cause of diarrhoea in hospitalized children in Chiang Mai, Thailand.",1986,Poocharoen L
the relative importance of various enteropathogens as a cause of diarrhoea in hospitalized children in chiang mai thaila,first_author_conflict,D0102427,Scopus,2-s2.0-0022688319,,"The relative importance of various enteropathogens as a cause of diarrhoea in hospitalized children in Chiang Mai, Thailand.",1986,Poocharoen L.
agoraphobia relative and combined effectiveness of therapist assisted in vivo exposure and imipramine,first_author_conflict,D0102428,PubMed,3512534,,Agoraphobia: relative and combined effectiveness of therapist-assisted in vivo exposure and imipramine.,1986,Mavissakalian M
agoraphobia relative and combined effectiveness of therapist assisted in vivo exposure and imipramine,first_author_conflict,D0102429,Scopus,2-s2.0-0022626615,,Agoraphobia: Relative and combined effectiveness of therapist-assisted in vivo exposure and imipramine,1986,Mavissakalian M.
agoraphobia relative and combined effectiveness of therapist assisted in vivo exposure and imipramine,first_author_conflict,D0102430,Embase,L16166351,,Agoraphobia: Relative and combined effectiveness of therapist-assisted in vivo exposure and imipramine,1986,Mavissakalian
the role of brown fat in diet induced thermogenesis,first_author_conflict,D0102441,PubMed,3460973,,The role of brown fat in diet-induced thermogenesis.,1986,Stock MJ
the role of brown fat in diet induced thermogenesis,first_author_conflict,D0102442,Embase,L16733605,,The role of brown fat in diet-induced thermogenesis.,1986,Stock
specificity and lack of specificity in psychiatric diseases,first_author_conflict,D0102443,PubMed,2431474,,[Specificity and lack of specificity in psychiatric diseases].,1986,Heimann H
specificity and lack of specificity in psychiatric diseases,first_author_conflict,D0102444,Scopus,2-s2.0-0022462921,,Specificity and lack of specificity in psychiatric diseases,1986,Heimann H.
